,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37433355855270645,0.37433355855270645,0.0030568456058983587,0.0030568456058983587
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31079377174176104,0.7650602195456925,0.002935626248661084,0.003983550147506293
0,sett_cutoff,,,,,,,,,0.07993288925122505,0.07993288925122505,0.001710028796321965,0.001710028796321965
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007426445465290336,0.7811266547355922,0.0008745874422106735,0.004038698343648148
25,sett_exclude_features,sett_model,,,,,,,,0.006194934477963904,0.01226373604059448,0.000731589921725009,0.0007730619747063912
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0059922230637120474,0.8090693881132598,0.0012481266389144353,0.005069997849017869
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005953647806870847,0.10472512674548634,0.0003752146370453858,0.0018865558146467238
36,sett_model,sett_preprocess_income,,,,,,,,0.005835937972176788,0.009388406834803102,0.0007457768818076164,0.0009244061990427804
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005355407734745297,0.08809117474810618,0.0004659562038224848,0.00170768974679085
2,sett_exclude_features,,,,,,,,,0.005319210462140088,0.005319210462140088,0.0004301512175099067,0.0004301512175099067
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0050856570775945145,0.13060114166579134,0.0006607692654148217,0.002032891171719103
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0045145987311337125,0.0250291719791791,0.00036317161683221944,0.0014434373685180471
12,sett_cutoff,sett_model,,,,,,,,0.00409477511784204,0.08477725546955758,0.00040915943024692097,0.0019040370338009535
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004048795108066362,0.8111418218640246,0.0005691830553280816,0.0037372777533463022
