,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3764648507455817,0.3764648507455817,0.0031010257779599494,0.0031010257779599494
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30995973526292214,0.7668288214522261,0.002519344004951928,0.004038134018213417
0,sett_cutoff,,,,,,,,,0.08040423544372219,0.08040423544372219,0.0018516440305388815,0.0018516440305388815
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007398165069302545,0.8106744294060092,0.0010015868204210573,0.004427584968512376
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007050335782082314,0.7822694375395685,0.0006714092183558075,0.003940314707078238
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006447873847395176,0.10593739075533068,0.0006058403495608892,0.002193897798192057
25,sett_exclude_features,sett_model,,,,,,,,0.0055952818942849765,0.011611182349130677,0.0005733071145085913,0.0006911642970427551
36,sett_model,sett_preprocess_income,,,,,,,,0.005498954576692942,0.009690117778337396,0.0005944046252565636,0.000950897404943212
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005232594539303439,0.0890318370326007,0.0003027897114460579,0.0018664606088738588
2,sett_exclude_features,,,,,,,,,0.00521974430277632,0.00521974430277632,0.0005118181308731088,0.0005118181308731088
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004938413884747273,0.13200693527594665,0.0006842565632281886,0.0037873041678981928
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004689985154360898,0.025151450863412916,0.0006269648722293286,0.0021173673896386722
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004282263378062877,0.8133903062328158,0.0006286068431071201,0.0037789057608970922
12,sett_cutoff,sett_model,,,,,,,,0.00416256914657249,0.08536296074236406,0.00032602790013768395,0.0020193867071127986
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0038618007250500437,0.10049361695598855,0.00047589710107840604,0.0024283710870111495
37,sett_model,sett_scale,,,,,,,,0.00375780619637398,0.008061527969021475,0.0005092427344098459,0.0007323642050403461
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0035824525088184052,0.3966918983074834,0.0006190407252919622,0.0029229765518481708
7,sett_scale,,,,,,,,,0.003507565620578117,0.003507565620578117,0.00033594495803827867,0.00033594495803827867
42,sett_preprocess_income,sett_scale,,,,,,,,0.003505976113762527,0.010408548783915717,0.0004932665171458909,0.0010407391652983993
38,sett_model,sett_stratify_split,,,,,,,,0.003431555006618207,0.38069256190426937,0.0005596228853604794,0.002791324367808583
6,sett_preprocess_income,,,,,,,,,0.0033950070495750756,0.0033950070495750756,0.0004469956585698027,0.0004469956585698027
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031181022353931956,0.011237361042613317,0.0003600076424234318,0.0008937713323990982
3,sett_exclude_subgroups,,,,,,,,,0.0028995145044438003,0.0028995145044438003,0.0003193556881525041,0.0003193556881525041
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002784906221007073,0.7797443288248271,0.00043394793769295747,0.003745793627922623
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024348537532541165,0.8399345152916693,0.00047124391650321803,0.00487390799318766
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024093306378932273,0.7769316251880559,0.0002561046452093628,0.0038138198120262336
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023034727888239497,0.7964865289728691,0.00042732745803892083,0.003863172626515278
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021282832287678613,0.3930064462817608,0.0003526522273345316,0.0027486755106379025
