,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37268551908365105,0.37268551908365105,0.002748735371626449,0.002748735371626449
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3114428618228693,0.7645952281869275,0.003158276545278025,0.005213025188891556
0,sett_cutoff,,,,,,,,,0.0804668472804072,0.0804668472804072,0.0014852917136927513,0.0014852917136927513
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0066361729454011715,0.7795042741434334,0.0005010003999789343,0.0053970432438504275
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006524820142446604,0.10644830618994014,0.0004962617185701437,0.001456957037737565
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006217989178146442,0.8056332469689811,0.0010505861513713016,0.006449774586237846
25,sett_exclude_features,sett_model,,,,,,,,0.005748535252220549,0.011374924078707582,0.0009230543543055144,0.0010446229430671975
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00573360668282738,0.08934425731801325,0.0005571018413325383,0.0013764868606219013
36,sett_model,sett_preprocess_income,,,,,,,,0.005567637865693991,0.009633840146575052,0.0006642322049602419,0.0005352170792150942
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0054196233719040945,0.13398656699365682,0.0005061555833418928,0.002447489338031187
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004828396226189056,0.025570528617799175,0.0005416110474560198,0.001843698255432474
2,sett_exclude_features,,,,,,,,,0.004703989900384644,0.004703989900384644,0.00032830516579018197,0.00032830516579018197
12,sett_cutoff,sett_model,,,,,,,,0.004089191937683912,0.08547843814419351,0.00033009102086372396,0.0015899896928735107
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004081662378901249,0.10172683353762385,0.0005045289232030848,0.0016462610522098233
42,sett_preprocess_income,sett_scale,,,,,,,,0.003952905792033758,0.010638640763019937,0.0006143915326612721,0.0008875799655968366
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003874881764937719,0.8109984058679178,0.0005912491706889211,0.004463726063405958
37,sett_model,sett_scale,,,,,,,,0.0036134548367938004,0.008077785379103699,0.00037894920178665196,0.0006184698624459102
7,sett_scale,,,,,,,,,0.0035419316162075077,0.0035419316162075077,0.00030515029766904465,0.00030515029766904465
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003515370377921178,0.011442704760519293,0.00047870093484490356,0.0008709405032421089
38,sett_model,sett_stratify_split,,,,,,,,0.0032612821473184603,0.37686920015707187,0.00034744480385645924,0.0026725161201223394
3,sett_exclude_subgroups,,,,,,,,,0.0032233444822134727,0.0032233444822134727,0.0003644635545215002,0.0003644635545215002
6,sett_preprocess_income,,,,,,,,,0.0031438033547786714,0.0031438033547786714,0.0003853128249585751,0.0003853128249585751
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031291811499273856,0.39226740317740705,0.0005824985675811702,0.003182060788899825
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002932370493245121,0.778269587012587,0.0005343325072547878,0.004433805635778294
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025818078495536837,0.7944789536477606,0.0005294136818676706,0.005167712064230136
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002542143112247463,0.8357603199838737,0.0004989941840756187,0.007191320331903533
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0022716709383214222,0.7743285350669264,0.0003537097724437899,0.005508489561278938
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002207686142725239,0.3897763218052056,0.0004199477621365765,0.002925461184940505
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019887802755221224,0.7726440166002158,0.0004716280206113924,0.0051153641472212255
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0018645782948082663,0.37769390073323794,0.00040558495258911394,0.002735055028527145
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018524331257466068,0.3892976527980994,0.00042976260937676507,0.002412859349938886
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018399096619151842,0.8447582971930632,0.00040087528603923497,0.004172422933782917
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0018386848108210149,0.005984428219136877,0.00020300455723493076,0.0005221488188961557
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018164967178026256,0.37920600570183827,0.0003462942114743123,0.0028742182915465456
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017232009806407605,0.38527834553125456,0.000320346966057471,0.002525842530776096
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016931640819973456,0.7933431147094385,0.0004969334341754613,0.004001539959068718
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001668935168415665,0.7908281717607959,0.00033126993034306,0.005600299573684983
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001655334716190989,0.409671211805649,0.00032840889438540344,0.004152459122105448
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016239151005074547,0.3775327786663719,0.0002889074435201533,0.0026224510865182995
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016162720172218483,0.021568595766885097,0.00035176432413257144,0.0019912118598911918
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015661103672513356,0.8421203770280856,0.00043694864594106235,0.005192386492261629
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0014866794651889176,0.7827442733736578,0.0004073760498915536,0.005699049413848792
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0012999603652541496,0.09817207298554319,0.0003363753838060964,0.0019026239724384032
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012942101492191414,0.09473411117888204,0.00018660872271656178,0.0014038170375669755
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012127485550451752,0.08490294031766585,0.00013145862556294347,0.0014697877361126515
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011136585504828173,0.8300206622996793,0.0002872624508234542,0.004290084914574592
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0011053420244137946,0.8801460750183976,0.0002335587044597839,0.006575394714776024
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0010588565915190804,0.09512230651098108,0.00021159232681918706,0.001822350205820271
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009740047838001187,0.8174636345940258,0.0003227531997220875,0.004991625569088218
