,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37369572369576043,0.37369572369576043,0.00304043218343175,0.00304043218343175
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3092739412452271,0.7633935212377781,0.004188938246380783,0.005291327812715105
0,sett_cutoff,,,,,,,,,0.0804238562967906,0.0804238562967906,0.00209073994458583,0.00209073994458583
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007404487729956178,0.7794594389295476,0.0006631964802101115,0.005529318998496734
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006748233226523068,0.8080985054270562,0.0009413054149546063,0.005604767170549284
25,sett_exclude_features,sett_model,,,,,,,,0.006183574495132386,0.012111131796973377,0.0006144353929325451,0.0005929256947707608
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005735510523845791,0.10477255384968305,0.0004984583647234224,0.0019453124862260584
36,sett_model,sett_preprocess_income,,,,,,,,0.005449860327228274,0.009318071872657572,0.00079648759087208,0.0009025305797593049
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005111525847362139,0.08847809166380005,0.0007530826594275917,0.0017932041040406312
2,sett_exclude_features,,,,,,,,,0.005002055276059009,0.005002055276059009,0.0003764516069576666,0.0003764516069576666
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004838326149677096,0.1294270841662325,0.0005818580934209484,0.0030885506271166115
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004213741469016406,0.023249842350132357,0.0005098035505111989,0.0018998056066013254
12,sett_cutoff,sett_model,,,,,,,,0.0041835893090269565,0.08553294763159952,0.0003706687532086738,0.0022793629200272953
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003931374689226188,0.09957879510868865,0.0005528644760880626,0.0022214505906095567
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003927077558676365,0.808495865735912,0.0007105485334189074,0.00544412664844418
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0038834843120085782,0.39512338046876383,0.00048692374852317096,0.0031055034095257834
38,sett_model,sett_stratify_split,,,,,,,,0.0035523386270044557,0.3781735643485469,0.00043245304071983366,0.00297393899232498
7,sett_scale,,,,,,,,,0.0032692073357688204,0.0032692073357688204,0.00032363804855016113,0.00032363804855016113
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032501291681197282,0.009462046023535864,0.0005034264326144908,0.001005593652680927
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032134540897730103,0.011307895617009633,0.0003470626041327164,0.0008069865063710867
37,sett_model,sett_scale,,,,,,,,0.0031986925045698325,0.007393401866120635,0.0004574730170173631,0.000595670771790357
3,sett_exclude_subgroups,,,,,,,,,0.0030923862511776147,0.0030923862511776147,0.00045414677778693376,0.00045414677778693376
6,sett_preprocess_income,,,,,,,,,0.0029427095196473143,0.0029427095196473143,0.0003385182178748106,0.0003385182178748106
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0028309301764046857,0.8386098278790894,0.0004664934357367688,0.005017282718779007
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002347666677017555,0.7736020876900012,0.0003431250964548964,0.00522394082033581
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002323018778936585,0.7752325345398268,0.0005701364000369489,0.004453990448096585
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002282923288883862,0.7935600558843809,0.0004487803490939806,0.005226992036686327
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.002156476108869941,0.022516852616356307,0.0003758991737820518,0.0016187469676505457
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002092038201930713,0.4127204059748365,0.0005525368348934134,0.003843866329645019
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002084965094565279,0.39011285844609034,0.00043136785752776,0.002911434477634398
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019871683611669246,0.39021100779383416,0.00026370288004928485,0.0031664653985500057
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001943404369562363,0.00596129264652196,0.00032984858674608996,0.0007338776377206977
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001890009707774305,0.8389095705835266,0.0004509636857640297,0.006119081649765113
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0018883001858273308,0.7892528075580005,0.00030121044527227586,0.004845941103490436
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018807020370170179,0.38057848100883646,0.0002552296075718829,0.003020845275353829
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017725800407119097,0.3863214530928789,0.00043204277192857574,0.002868517466975503
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017568940094274026,0.8426057463536487,0.0003768995159880717,0.005986036046728729
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017201768114349409,0.7707367374079226,0.00031503364695248517,0.005064835956672655
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00161520801162137,0.09931192787654172,0.00042655207454536545,0.0021377603790641853
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0016023670371850519,0.7829379988820595,0.0003120029598789328,0.005808275611005189
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014979855543788391,0.8821600345951559,0.0003540268387405087,0.004210244898069712
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014617591561025436,0.3781001923715103,0.00028169428993634314,0.002913047285704237
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0013395180828801498,0.37812762802981825,0.00024513555174236567,0.0030675304150939334
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013030667483974905,0.09395390647210955,0.00018719051426205772,0.0021713079569222857
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012217648394159967,0.8265465720858347,0.000273580455514035,0.004701763479970314
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0012185810610876892,0.09511961046166897,0.0001806797013431314,0.0021288076154297665
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001191135024651651,0.08470737757261987,0.00022026512260177165,0.002143249387229314
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.001120709937298846,0.8144456896906083,0.00020537583092863302,0.005688448327505914
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010700430283149317,0.8561713847003619,0.00020448656341282115,0.006418078751506372
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010374011516447695,0.8155770181886716,0.00019140194930937122,0.005845072213926215
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001023757312139724,0.11390961517933446,0.00022104808332619385,0.0028535006644201818
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0010122503720636097,0.7883503391691451,0.0002894309607303369,0.004102705957559974
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.00100508870338266,0.9071216144080964,0.00018799192076934704,0.0038616491389618975
10,sett_cutoff,sett_exclude_features,,,,,,,,0.000978142462129417,0.08640405403497903,0.00016854628400457273,0.002011194554909897
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009778011264208347,0.014326095056833094,0.0002176339005865232,0.0009969175111269439
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009604179762135044,0.03430496690616917,0.0001873291363489658,0.0021367800559710603
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009574608852298367,0.864782214680899,0.00020108354341910384,0.005047760858144273
4,sett_model,,,,,,,,,0.0009255020257819823,0.0009255020257819823,0.0001847677599120739,0.0001847677599120739
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0009191014435516471,0.007280695030498083,0.00017331778575666344,0.0006319806936540279
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.000897956587764183,0.8061317403559192,0.00026675781084687506,0.0038363415498413214
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0008970541070860241,0.017241198161993623,0.00016340145048109693,0.0009093573899489943
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008802757132020788,0.4295480374796846,0.00021831859152453967,0.004452228976505495
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008760616016702255,0.40903254008898093,0.00018044244767331677,0.0030132720094312505
