,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37206474515095345,0.37206474515095345,0.003677345159684212,0.003677345159684212
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31187971053266283,0.7666595373265569,0.005143305667150461,0.005251511690795035
0,sett_cutoff,,,,,,,,,0.08271508164294053,0.08271508164294053,0.001314476161955271,0.001314476161955271
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007188489550772682,0.7824922810663884,0.0007811818988795072,0.005705806449163887
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006371161658601252,0.10914763845919649,0.0006952555711114776,0.0017281607791290719
36,sett_model,sett_preprocess_income,,,,,,,,0.006054304347261289,0.010174929471462948,0.0006694418643233758,0.000752935343038309
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006000809033786884,0.809502760541081,0.0009375204050075258,0.007062423386412874
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0056071909809779375,0.0915509965351328,0.0005151510743478807,0.0013552456203135437
25,sett_exclude_features,sett_model,,,,,,,,0.005552792257288356,0.011361840196504082,0.0008100397763498295,0.0008363948927755114
2,sett_exclude_features,,,,,,,,,0.004917146726228391,0.004917146726228391,0.00039964022090541987,0.00039964022090541987
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004903015948631904,0.02610396760503516,0.0006214985143820493,0.0013639004391745786
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00489414265637886,0.1354309728276134,0.0006300869183648939,0.0019845849084125654
12,sett_cutoff,sett_model,,,,,,,,0.00427927470521383,0.0878862575611417,0.00030650554966360944,0.001420109846438192
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004038499911873286,0.8143537423307428,0.0006629575091634393,0.005273453717805182
42,sett_preprocess_income,sett_scale,,,,,,,,0.003842482386698997,0.01064174538373966,0.00047649462710043364,0.0009237610097443967
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003709353155071357,0.3924107807858879,0.0008935463554166263,0.0037277322913849054
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003671168797388905,0.1031676751427852,0.0005500310449644857,0.0016859930131331322
37,sett_model,sett_scale,,,,,,,,0.0036130007124149694,0.008075441011228642,0.0003981375602065235,0.0004928616417540003
7,sett_scale,,,,,,,,,0.0035705390858263384,0.0035705390858263384,0.0003517089911931,0.0003517089911931
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003509474409269663,0.7803639994792149,0.0010538451135659493,0.00483991146110499
38,sett_model,sett_stratify_split,,,,,,,,0.0034730782708575435,0.3764297246347984,0.0004113372655015273,0.0032990828303173817
6,sett_preprocess_income,,,,,,,,,0.003228723911214324,0.003228723911214324,0.0004170143835244049,0.0004170143835244049
