,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3732721342031884,0.3732721342031884,0.003560751542681465,0.003560751542681465
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3117537850797912,0.7655289562615955,0.0036900591168656824,0.005091548573555455
0,sett_cutoff,,,,,,,,,0.08050303697861576,0.08050303697861576,0.0017349710377984981,0.0017349710377984981
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007237731981736087,0.7815356438586173,0.0005561711812020166,0.00491416735840752
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006672329906150505,0.80902279964755,0.0012084122743631683,0.00516313676024359
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0065458276217242725,0.10546194301115332,0.00044563688885540563,0.0017587179895261987
25,sett_exclude_features,sett_model,,,,,,,,0.005585375051083374,0.011422046287661303,0.0005261098886621894,0.0005522711178451839
36,sett_model,sett_preprocess_income,,,,,,,,0.005493001499607692,0.009496448520389575,0.0007816602591189444,0.0008461249332816083
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005206835342389695,0.1313862631576173,0.0008486336968690444,0.003006602220139146
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004920026482640585,0.08838964721549927,0.0006683696590282951,0.0015650507594077289
2,sett_exclude_features,,,,,,,,,0.004799807970038967,0.004799807970038967,0.0004075707907125769,0.0004075707907125769
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004666677838628626,0.024606901956561032,0.0005473204708712409,0.0015322271262642243
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004291171628597081,0.812097666843056,0.0007392081337624733,0.0046206369578836995
12,sett_cutoff,sett_model,,,,,,,,0.003996603407783119,0.08553650365293784,0.0004019638521102547,0.0016792407131900147
38,sett_model,sett_stratify_split,,,,,,,,0.00373548894096377,0.3780444864106911,0.0005237631749808958,0.0031780869242938868
