,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3766332709015431,0.3766332709015431,0.003015497509438558,0.003015497509438558
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31217761900868535,0.7711486922691204,0.0027756501125239257,0.004298240870623716
0,sett_cutoff,,,,,,,,,0.08233780235889196,0.08233780235889196,0.0016611285759229484,0.0016611285759229484
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00807949852583243,0.7875939836500611,0.0008084944268575232,0.0045353438230180156
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006444002587471189,0.10725494206155342,0.0005834837396595368,0.001939857558073849
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005815893886509341,0.8142688424739479,0.000964946401705129,0.005585864091718434
25,sett_exclude_features,sett_model,,,,,,,,0.00577810627062225,0.011811110329539394,0.0004465376135323679,0.000579713193806437
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005239996499512858,0.1339195381544994,0.0005741774655861274,0.003320269820372614
36,sett_model,sett_preprocess_income,,,,,,,,0.00519580663044549,0.009482848165618677,0.0004068789027956468,0.0006441837502180607
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005164993520472064,0.09087750869134102,0.0005196376789219259,0.0014918301311380789
2,sett_exclude_features,,,,,,,,,0.00512067533572096,0.00512067533572096,0.0003117380169979996,0.0003117380169979996
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004769588608889358,0.025421843609057488,0.00048612495497617675,0.0015919534473247962
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0044864174395089,0.8179476357410546,0.0007588624154323758,0.0031481557662120115
7,sett_scale,,,,,,,,,0.003840404906355706,0.003840404906355706,0.0003435853985018819,0.0003435853985018819
12,sett_cutoff,sett_model,,,,,,,,0.0038252954290995274,0.08707542651118766,0.00032649861943543886,0.0017597588838950146
37,sett_model,sett_scale,,,,,,,,0.003779016110280571,0.00853174973983246,0.0002961845607272764,0.0005947529864561684
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0037020249136780013,0.10244888292641113,0.0003843544217356849,0.0017039283715458422
38,sett_model,sett_stratify_split,,,,,,,,0.0036281687028125124,0.3811737683275518,0.0004956946174974707,0.003104295284715149
