,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3738177723761048,0.3738177723761048,0.005019603485144352,0.005019603485144352
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31200129512433217,0.7680466524988748,0.002564938394703844,0.006348186050207199
0,sett_cutoff,,,,,,,,,0.0822275849984378,0.0822275849984378,0.0022619058184325147,0.0022619058184325147
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007162239441078679,0.783479901179269,0.0005690758270345624,0.006053523920280856
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006259533101889382,0.10809434120748829,0.00045714372809693205,0.002595536484386378
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006013995412794283,0.8088043073742841,0.0007692325463862481,0.005336525588352876
2,sett_exclude_features,,,,,,,,,0.005520766293158251,0.005520766293158251,0.0005269958177880459,0.0005269958177880459
36,sett_model,sett_preprocess_income,,,,,,,,0.005380842867841299,0.010045896163186897,0.0005232921977772301,0.0006487455624775291
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0053678233349012516,0.09139255269258402,0.0005429181241880995,0.0019103215298694935
25,sett_exclude_features,sett_model,,,,,,,,0.005001855195140508,0.011390530424399394,0.0006360943793295878,0.0009150970070964297
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0049659564302728535,0.026219227019189724,0.0006949204209246775,0.0016960642127529049
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0049611808392546475,0.13531549734028248,0.0005244694635125183,0.0035828799175423496
12,sett_cutoff,sett_model,,,,,,,,0.004193503609072948,0.08728899754361139,0.0004083342986282306,0.0023952454494980398
42,sett_preprocess_income,sett_scale,,,,,,,,0.0041411076542630845,0.011499515923016328,0.0004794447829188067,0.0008976949672047781
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004099182929072572,0.8143193107424297,0.0005980278506291182,0.0061445636563444775
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004035345786058931,0.1038631505166206,0.00039712293116675267,0.0022442154759500393
6,sett_preprocess_income,,,,,,,,,0.003797144359244963,0.003797144359244963,0.0004099162727463871,0.0004099162727463871
7,sett_scale,,,,,,,,,0.0035612639095082815,0.0035612639095082815,0.00043465187372846266,0.00043465187372846266
37,sett_model,sett_scale,,,,,,,,0.0035050028619586096,0.007934175707567524,0.00044714759927018296,0.0006081926061376879
38,sett_model,sett_stratify_split,,,,,,,,0.0032095966941420094,0.3778952780063475,0.0003440206472115429,0.00491939422604065
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003122429440173696,0.011722383000685024,0.0003730016402989764,0.0008960859289688896
3,sett_exclude_subgroups,,,,,,,,,0.0030791872673530786,0.0030791872673530786,0.00035849279677951137,0.00035849279677951137
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00297158061474871,0.39310844383055277,0.0005895089272738253,0.004454444807368054
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028502504976375214,0.7815110591372731,0.0005242129390754136,0.005939849374782276
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00246113841745758,0.8367476000731151,0.0004628569969528172,0.004806383996416768
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002101678168049459,0.7759797266862458,0.00041110236329320086,0.00605762233207792
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020760541476646834,0.797441075862533,0.0003885812330612087,0.005698705087628053
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0019852444408166824,0.7781023811569445,0.00026742944251578824,0.0060213241032376205
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018350238143764385,0.847878072023061,0.0003452445723555323,0.006675732989056706
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017815745361983515,0.4092739349113404,0.00044566496597200857,0.004862745651961088
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001718963721157843,0.3810575023904209,0.00031301334673197306,0.004784720645379259
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017135631807183448,0.390532971067581,0.0002523143237367224,0.004748078826177239
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0016471706725801792,0.005594266876033891,0.0003278915262154924,0.0004888124513364167
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0016354440259590671,0.3901578977060073,0.0003549962429592819,0.005083324981478003
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016333747253467821,0.38581529946054244,0.000336918983337124,0.005112508463474957
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016279024695022657,0.020867220274008613,0.000341474897892412,0.0016773553335464033
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0015718025390810352,0.7933433219742114,0.000249811196444246,0.005418506168063506
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0015671667883777015,0.7966590033216486,0.00044709671887661786,0.005547886045764823
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015602887889149607,0.3784572484323729,0.0002794775556661099,0.0051485288556731455
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015484752385825744,0.8446236626639947,0.0003949190445352737,0.005153882100733865
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014491884466144998,0.3790641051819643,0.00033827552673465017,0.005099517946040903
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.001351918113423824,0.786687224456146,0.0002202220133126362,0.006081213357243953
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001325139678096866,0.8323965524517236,0.0002668830055941648,0.0055347848387713615
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013184181772715334,0.09640656296655607,0.0001910485233678058,0.002557472895265489
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001284193656966395,0.8811238862466056,0.0003091400674009365,0.0039795487305252925
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0012812463142617887,0.09992361954910883,0.00028458828604883003,0.0021223685650514222
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0011919199630534426,0.08649869222884433,0.0002459603123270613,0.0023014119334122387
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0010737302904208932,0.8145574856665354,0.00021277511680617436,0.005852524893448833
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0010682917011464114,0.8641371787417219,0.0001979518570177487,0.005274767146790597
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010652841947869115,0.8577030634934771,0.00036508638778101035,0.006130239588797128
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010355965505794399,0.8214866754174691,0.0002829693996399203,0.006104118291067725
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009885629653825585,0.7867352317707179,0.00029985221956650346,0.006083916344255152
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009292699713200666,0.8145229430657299,0.0002656441432022296,0.005538766896296004
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0009000714699229871,0.09687271363503615,0.0001038537347614254,0.002286518268327793
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0008793832608117627,0.017785310224056095,0.00015615193580615982,0.0011657858379157066
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0008792473184074884,0.03266874220204072,0.00018986179692598057,0.002393194712468691
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008710026787949627,0.795081401683646,0.000215933138083638,0.0061689397883935996
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008707058905470053,0.9037619432773896,0.0001913962322739569,0.005790577855456447
4,sett_model,,,,,,,,,0.000867908936100633,0.000867908936100633,0.00022718279530161334,0.00022718279530161334
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008425874734718657,0.4073349332578249,0.00020180441138774097,0.004515156231654685
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008383018510252693,0.42617678850075885,0.00022737460237963196,0.005729947998146423
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008307542029368896,0.08857910549453295,0.00020583734997884113,0.0021206585935400727
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0008301829478330296,0.0074706341246943905,0.00014957951352041974,0.000561122843768768
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00080991733016612,0.8438400429818671,0.00018974987290856419,0.005335341229051603
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0008037483841031238,0.7841062099711512,0.00033695387147333146,0.006220579367809508
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0008036359625130203,0.11296743774450879,0.00016647797771377458,0.0025703061802556304
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.000792657075601516,0.014283373670935327,0.00022396334074030103,0.0010023717059984298
28,sett_exclude_features,sett_scale,,,,,,,,0.000792097105217995,0.009874127307884529,0.00018911789294118758,0.0007587194027025884
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0007551729747705276,0.8114944884773722,0.00017501304722907573,0.004407151679129281
15,sett_cutoff,sett_scale,,,,,,,,0.0007328804742062645,0.08652172938215236,0.00014094551858379826,0.002353125408271407
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0007318736273929881,0.8060165401973923,0.00019413781200503582,0.005332914976973686
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007313336130768565,0.7838146762734414,0.00020132504419206217,0.005865342539933909
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007184324356642994,0.3989948507991241,0.00014789851509313428,0.004891859742153718
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.000710654599472739,0.8247677675635879,0.00015875017726906928,0.0054728244406886655
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007053892102493517,0.7908470393821085,0.00017734030817530885,0.0055757646347586644
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006931436914935369,0.3969503128991112,0.00020834262025286478,0.005312462665808265
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0006859072917153173,0.8463833844745756,0.00013218701324045474,0.005090605084945124
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0006756023246455768,0.3839807305980926,0.00015991211275115933,0.005131838587639681
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.000675205574105806,0.4264312000209423,0.0001550455204188835,0.004695772923282316
