,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37325587619915057,0.37325587619915057,0.0030118506068928805,0.0030118506068928805
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3113622523842392,0.7668581712110054,0.002365563389779971,0.004596493616863773
0,sett_cutoff,,,,,,,,,0.08224004262761558,0.08224004262761558,0.0022115391045594095,0.0022115391045594095
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00662821218984678,0.7819683298641469,0.0004694461224297154,0.004386697511118965
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006620754864992202,0.8090400880721763,0.0009272316234158444,0.004574718204350272
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006328522508900742,0.10775144283209369,0.0005303367467105804,0.0024306993241128253
36,sett_model,sett_preprocess_income,,,,,,,,0.005771956637599615,0.009890456271801303,0.0006705488460635053,0.0007986066491223029
2,sett_exclude_features,,,,,,,,,0.005338115012519478,0.005338115012519478,0.00038120499764264753,0.00038120499764264753
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005184815887418632,0.13447620744156483,0.0005447718525263555,0.0034659254188236363
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005135993457265785,0.09082558568348256,0.0006563552543048454,0.00226358924517471
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004954168691821248,0.0256784977705681,0.0007484703043072895,0.0015640006335380615
25,sett_exclude_features,sett_model,,,,,,,,0.0048968741601843335,0.010903939208304288,0.0005362609496712111,0.0007251865163345037
12,sett_cutoff,sett_model,,,,,,,,0.004156427966510284,0.08706542062972634,0.00042406376889559603,0.0021399149001512215
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0038235950180496754,0.10246418173874039,0.00032523554783058596,0.0025895185676750206
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037673149123640566,0.8125131960765024,0.0007113491534018582,0.003929875477987358
7,sett_scale,,,,,,,,,0.003736974415477664,0.003736974415477664,0.00022141796527610293,0.00022141796527610293
38,sett_model,sett_stratify_split,,,,,,,,0.0036565684611840087,0.3775813946959351,0.0004320242756043622,0.0027976388112877087
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035655136378716077,0.010752037651950479,0.0004044567798598304,0.0007663853138048211
37,sett_model,sett_scale,,,,,,,,0.0035313847535962807,0.007937309204674423,0.0003150917343628238,0.0003969168319533892
6,sett_preprocess_income,,,,,,,,,0.003449549598601207,0.003449549598601207,0.00038497094328395496,0.00038497094328395496
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032977711016800703,0.39306459859444776,0.0006043485036076319,0.00263144691275531
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.00328096667763844,0.011836991930334492,0.0003955741120728695,0.0009081058230978148
3,sett_exclude_subgroups,,,,,,,,,0.0032179102401765757,0.0032179102401765757,0.0003946154470447094,0.0003946154470447094
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00288394256036102,0.7798602651493123,0.0005929050200142504,0.004299210555877105
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025658789872684655,0.796479453760826,0.0006516217133532531,0.0038739994495125118
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002467879900454297,0.7775461378721316,0.00040898683227923367,0.004339822843336274
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023984266584690297,0.8385914263198782,0.0003815989284610772,0.005357951630303381
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002090305308189538,0.3907548472714878,0.00027388123953864973,0.002743292303977166
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001950443624128746,0.3805444348357988,0.00036713170186458043,0.0028766457839783867
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0019174860543539145,0.3860572181596311,0.00033307436418674423,0.0026741114780606612
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018907105687168365,0.41064049580053164,0.0004745977692051289,0.0033161531661702556
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0018380911878431141,0.02096010427344351,0.0004724091894352637,0.0019229589684912804
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018288615535889655,0.8453599124558376,0.0004047311661635705,0.005110982419613073
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017409945703622132,0.774478773590848,0.00033620047765884535,0.004242994762540529
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0017191969594810884,0.005606057235258144,0.00029908161027820675,0.0006759614191864971
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0016749782151841352,0.3900104874693989,0.0003648726264525413,0.0029107549091454614
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016251280794374575,0.7931847004400259,0.00024161074757803988,0.0037440056248210277
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016212302096844419,0.37809501664901163,0.00024041601504256807,0.002848473891949988
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0015683914200466437,0.09980032934650043,0.00042303367592749276,0.0022072203213894808
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015338774524265059,0.8444817072756805,0.0003962212012148499,0.0037358972872859964
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0015326083220788883,0.3782380341198307,0.00020824674815116893,0.0029726841020322626
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001497050618600063,0.7940973493378357,0.0006483483420472937,0.004772220811169041
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0014658816402144492,0.7852486548275851,0.00034520821999442085,0.0043440547346604306
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014157992213771468,0.09626209200403629,0.00021094076132680388,0.0021926513185031335
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001373636802522267,0.8824356185632527,0.0004419145687040972,0.005090382707764922
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012282066197588115,0.8309918132593369,0.00022217262840275897,0.0036052738596424757
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0010404673596195058,0.08649842022741167,0.00015188001975721492,0.0020713921450356844
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.001028244409168497,0.8198418596837123,0.0002497450212020865,0.004087589211672748
