,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3771010664805396,0.3771010664805396,0.0037386379640980097,0.0037386379640980097
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31123013812981226,0.7695501985577968,0.003632380688943161,0.005367606696949436
0,sett_cutoff,,,,,,,,,0.08121899394744493,0.08121899394744493,0.001664676017103013,0.001664676017103013
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00719054764036386,0.7850357146511735,0.0006281751178430823,0.00571655559826347
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006201286229379993,0.10614294733842392,0.000676348483866504,0.002246312963521098
36,sett_model,sett_preprocess_income,,,,,,,,0.005872946688277392,0.009800971791945638,0.000717809873994425,0.0007664709120087989
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0057565608717686624,0.8113473295788343,0.001010734423837948,0.006978024529751923
25,sett_exclude_features,sett_model,,,,,,,,0.005443804998766954,0.01145768468828693,0.0007683071720751419,0.0008183411508243516
2,sett_exclude_features,,,,,,,,,0.005148118068813923,0.005148118068813923,0.0005273222867512313,0.0005273222867512313
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004958897260971686,0.0892401546913788,0.0006146634434616671,0.0015891635123504472
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004758619966736674,0.13132362740203157,0.0006710545894446409,0.0038960242123430694
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004455630065852218,0.02535623514467395,0.0007663792125965221,0.0018025132773811096
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004395510437052204,0.8152953874715062,0.0008035362846640354,0.00501403475421622
12,sett_cutoff,sett_model,,,,,,,,0.003962798108681673,0.08604755367683264,0.0003074221650607285,0.0017709517236887966
37,sett_model,sett_scale,,,,,,,,0.003858487778806591,0.008389584735965563,0.0004775141387263087,0.0006256954065340611
7,sett_scale,,,,,,,,,0.0036653353364529185,0.0036653353364529185,0.0002684311843246426,0.0002684311843246426
42,sett_preprocess_income,sett_scale,,,,,,,,0.003575810171616584,0.010303408991031692,0.00045477926501628126,0.0007480281715172635
38,sett_model,sett_stratify_split,,,,,,,,0.003466408723625064,0.38143323682487074,0.0004940885269200101,0.0038795825635430567
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0033167351483302052,0.10025928433230501,0.0004749268538864337,0.0020561702833580557
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031516179562033697,0.3969446508127227,0.0005235629944892123,0.0042116253589349175
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031429447141183976,0.011336331963255796,0.000428195672787758,0.0009067521232834324
6,sett_preprocess_income,,,,,,,,,0.0030622634829621906,0.0030622634829621906,0.0003830151812103824,0.0003830151812103824
3,sett_exclude_subgroups,,,,,,,,,0.0030452691803234773,0.0030452691803234773,0.0003556661146111855,0.0003556661146111855
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002665748693185358,0.7815730372567334,0.0005330935488153346,0.004887756608291536
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025311081857259097,0.7799077691461689,0.00032685342950354064,0.005320532432554284
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021362896670347104,0.8471121807925626,0.0004931072808498257,0.0065242446515733285
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0020734187185124852,0.838048289898628,0.0006434667432441492,0.006109522236919114
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020469788353635913,0.798264246757802,0.0003546318626781655,0.005421929509000604
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001978977792134697,0.7770910875489223,0.0003267488316871155,0.0053018793050586665
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017678729640677308,0.3840170575134212,0.0003264878795767119,0.00364251055926524
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017670907666865194,0.3934714670246142,0.00040143055391144556,0.0036911366608740454
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017160509398290163,0.02090296933632677,0.000243199345834946,0.0012331701673532623
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0016207239636068672,0.3931935438436801,0.0003393976145675473,0.0034572190154539503
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001608213847838161,0.412417213881589,0.00025172594489944277,0.004085501471098785
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016056573114831046,0.7947111923727451,0.00031563626203579524,0.004691370162326862
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016020605125497283,0.09915200862672785,0.0004143508090784477,0.002494470758931748
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015444168777242488,0.8469354826922252,0.00040195961196680256,0.006514359812074763
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015410198137689474,0.005452050614798479,0.00020263649289185853,0.0004651804927270914
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014307921371713422,0.3888178664283446,0.00019654676683253893,0.00373715617562156
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0014029943113869998,0.787883866774699,0.000338264731467785,0.005824328462355643
