,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37128393692571987,0.37128393692571987,0.003065818724928234,0.003065818724928234
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3119732167756547,0.7642696309725623,0.0022097163553124835,0.003622364099094035
0,sett_cutoff,,,,,,,,,0.08101247727118768,0.08101247727118768,0.0015270534397242867,0.0015270534397242867
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007217527682936265,0.8091868914312279,0.0009833509207195171,0.0038287458359457876
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00707905158955063,0.7803820658085183,0.0006249563310373841,0.003417465406572651
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006625900134321473,0.10669228088146498,0.0005899772060417772,0.001825025240951113
36,sett_model,sett_preprocess_income,,,,,,,,0.005835706328088838,0.009936402465176679,0.0005155873408363643,0.0006856057409792359
25,sett_exclude_features,sett_model,,,,,,,,0.005679384407411477,0.011886764993935471,0.000626611341098463,0.0008452997842676184
2,sett_exclude_features,,,,,,,,,0.005279319654199759,0.005279319654199759,0.0003639985862100501,0.0003639985862100501
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004948482939522491,0.13253294191075832,0.0006133349239560172,0.002677378201175626
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004851928874598179,0.02565361282545535,0.00039401125023472654,0.0015363983254425108
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004840826059416926,0.08902593853536822,0.00030690663058818244,0.0013594746688430598
12,sett_cutoff,sett_model,,,,,,,,0.004276674951362209,0.08621721315487413,0.0002789371719181221,0.0015631304632257044
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004205457133758529,0.811091876242997,0.0009311681980728125,0.002882708373508427
38,sett_model,sett_stratify_split,,,,,,,,0.003828647362719053,0.3760406452207632,0.0004897220649321975,0.0029025232271774628
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0037965660182928147,0.3930386678389177,0.0005555105241844934,0.002874755497889543
37,sett_model,sett_scale,,,,,,,,0.0036841371587785898,0.008213893606377334,0.00024345837658617134,0.00046955681574317206
7,sett_scale,,,,,,,,,0.0036016955152745078,0.0036016955152745078,0.00034860129599065444,0.00034860129599065444
