,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37363780038236516,0.37363780038236516,0.002781131645071258,0.002781131645071258
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3112636579034326,0.7638790114788394,0.002397268898423242,0.0035190991204244303
0,sett_cutoff,,,,,,,,,0.0789775531930417,0.0789775531930417,0.0014500031296526233,0.0014500031296526233
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006895859884388438,0.779261067892286,0.0007018485627362526,0.003752649626737532
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006834561636944118,0.10565581207265798,0.0007079120087198527,0.001721746074997728
36,sett_model,sett_preprocess_income,,,,,,,,0.006293728074688828,0.010177903790919183,0.0007988629707156001,0.0008392735870584005
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006067396105511897,0.8068690283598723,0.0009984637563085256,0.003947668394351287
25,sett_exclude_features,sett_model,,,,,,,,0.0060242481688950415,0.012192868820240878,0.0006446861854352439,0.0008570525709477735
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00551263852155663,0.08755308999648655,0.0005920262344282578,0.0016977431695142829
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0053621718003004516,0.13236055045338008,0.0004090666495888002,0.0032724933272673135
2,sett_exclude_features,,,,,,,,,0.0053473432170037015,0.0053473432170037015,0.000569082795051403,0.000569082795051403
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0048118979052375315,0.8122905238581262,0.0008367916405576651,0.004077070171051792
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004759702502452983,0.025570146924600457,0.0006406471645726998,0.0022928975704803864
12,sett_cutoff,sett_model,,,,,,,,0.004153154930196355,0.08395198555758018,0.00024965588475115634,0.0014055456141401092
42,sett_preprocess_income,sett_scale,,,,,,,,0.003923503280802308,0.010296635473159848,0.0006757066708369259,0.0010159567119045717
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0037958681219867367,0.09920021160688584,0.0005461956467945911,0.00239164196661388
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0037070324188821563,0.39484558056265734,0.000551854088646612,0.0029030026335351016
38,sett_model,sett_stratify_split,,,,,,,,0.0035117641645195925,0.3779708419812268,0.00046865582621727564,0.0030141854740406687
37,sett_model,sett_scale,,,,,,,,0.003398803439956662,0.007530314784768115,0.0004628169680975472,0.000737373864187069
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003357199902680344,0.011719150541451074,0.00045543686352539993,0.0009307676164676398
7,sett_scale,,,,,,,,,0.0033102339104693194,0.0033102339104693194,0.0004270373629348466,0.0004270373629348466
6,sett_preprocess_income,,,,,,,,,0.0030628982818882208,0.0030628982818882208,0.0003006002616013951,0.0003006002616013951
3,sett_exclude_subgroups,,,,,,,,,0.0030146074217670287,0.0030146074217670287,0.0001872178980846965,0.0001872178980846965
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025199941880431373,0.7769676863168642,0.0006257839384816728,0.003420998101864766
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023127642264057025,0.835766589946445,0.00048584470410303963,0.005740067347037656
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021660374013692755,0.3908743700661762,0.0003791032803541027,0.0027044760736632248
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0021606701595253547,0.7740687065818154,0.0003456722026256018,0.0033334192913449553
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021454326694467655,0.793128847541079,0.00038654994824200583,0.003941906098707143
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002000593510944985,0.3913212056952856,0.00035751844786941416,0.002982959627380228
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019931438465367445,0.3786938425107901,0.00027160536082052717,0.0027268427296193672
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0019778251662932347,0.022414955249172346,0.00039707923443709164,0.001879394540456628
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019060503987140224,0.8454280097700021,0.00046587525326805554,0.005190757036103264
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0018724539381908612,0.005708338794300024,0.00039106479363061326,0.0005410861568111574
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018042295581737811,0.41223750643965573,0.00038273885826970296,0.0040636193041932575
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018029434161430343,0.8460864773688586,0.000607783858024635,0.004779438078393226
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017961147766495937,0.3807812583760184,0.00028525510043467234,0.002495782621255172
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017404525504318734,0.7713422096936517,0.00025900612776269153,0.0035950608750259763
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016616614705215037,0.7915165583564214,0.0006847235566030142,0.003853784609417991
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016443055241827684,0.3860574758297086,0.00037094091736674636,0.003199876670846544
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016195886713213112,0.09782873256459748,0.00044642095226586555,0.0020113428690521056
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015552669643411057,0.3782076747684733,0.00021978286441294467,0.002830323282791857
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.001536939027612709,0.0928154782327598,0.0002479058772031377,0.0015824497908827914
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013869925245165709,0.7824154442771292,0.00025670965488914447,0.0038378450611452207
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0013551121064617707,0.7895013352134501,0.0002670188792497938,0.0036724113982526726
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012292780884721683,0.8825879008167763,0.0002716538697136451,0.005901290354862516
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001152871278272279,0.083145031893081,0.00015723146239306597,0.0015076903013456035
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001126402701961088,0.41079635469480247,0.00042148638221687837,0.002803983052243096
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0010910810063111446,0.09382622296887343,0.00021445997508738157,0.0019430336456803582
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.000999700351848132,0.8188867624874272,0.00020367035325522456,0.003950792902301304
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009830765756861305,0.8295049305259696,0.00015191627739148916,0.0039340660642697345
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009709604808450375,0.03424996902147952,0.0001615730655666762,0.0018646351167845533
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0009655325700844062,0.11200269315035721,0.0002253978260435156,0.0030121897327848052
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009519521221335265,0.8628363465394844,0.00020899830378646515,0.005311443199056759
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009463226302622981,0.8584966560558069,0.0002509351639784981,0.0048323125485261395
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009318406533691075,0.014140509598472517,0.0001634299187169178,0.0008828014561420836
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009210604623500737,0.017547035240186533,0.00018115960586095696,0.0009902480309740527
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009026658765852375,0.812725987830054,0.0002249696655072973,0.004202681380668031
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008937058108925993,0.42919382704400744,0.00025847684764356514,0.004151164828447011
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008855669497972344,0.08521046335984264,0.00017507268847219022,0.0016360088276764849
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008769371978903722,0.8097855959233322,0.0002667513109981962,0.004106229825010156
4,sett_model,,,,,,,,,0.0008212774343421346,0.0008212774343421346,0.00027425220217926465,0.00027425220217926465
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008139792713044338,0.7892530388364272,0.00021505871236624242,0.0033604023359202493
28,sett_exclude_features,sett_scale,,,,,,,,0.0008052975255386609,0.00946287465301168,0.00019561248621418527,0.0006726801693342285
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008025527129741553,0.903757039587044,0.00018732683406122937,0.007122638446458979
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007962762359298108,0.39898856694746826,0.000208083027554607,0.002553257371406476
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.000791292800377404,0.007116134132613752,0.0001559087801548045,0.0005134107496965639
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0007644920330709759,0.7823290885974313,0.00026358290022026167,0.0037854050017999846
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007423893021604445,0.09073430749797079,0.00016368475547331155,0.0014459550020035742
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007280597251629892,0.3967980939054859,0.00017645024327683247,0.0032287448695682663
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007267178573060816,0.8400139517159961,0.000153673059625116,0.003925046214248456
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0007125674047026007,0.8074012178800323,0.00019537856993329995,0.0035113219774695046
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0007089047252829586,0.12148031153863026,0.00024783151934148595,0.0017295250293337093
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0007055244994009109,0.020412728195606432,0.0002338210029813246,0.0008332215635622509
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006944123162515164,0.7904706906946941,0.0001370027144797594,0.003800594001620769
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0006879204154119623,0.7688967284125071,0.0001377376729284696,0.0034113309038812023
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0006857787977549939,0.778764538453706,0.0001790774994789342,0.0035683797052298615
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006835643579236677,0.8191553121291824,0.00019647285614944685,0.004431980559494054
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006809087930279242,0.8016987874295005,0.00013882714376466185,0.0034744390579076042
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.000668403807388577,0.7794475864039391,0.00017726880027978717,0.0033913893103639306
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.0006630743653849318,0.10802045250841702,0.0002520317116304848,0.0018466059276362613
