,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3758040538891527,0.3758040538891527,0.0031768236918513475,0.0031768236918513475
16,sett_cutoff,sett_stratify_split,,,,,,,,0.310521868238538,0.765876146284081,0.0030252497311392965,0.003676678372290473
0,sett_cutoff,,,,,,,,,0.07955022415639022,0.07955022415639022,0.0018413106853951064,0.0018413106853951064
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007123439049005682,0.7817826998113975,0.0007275424930413204,0.003708836416502699
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006248121290292402,0.8093021751128512,0.0008342063837101861,0.0038857818764552817
25,sett_exclude_features,sett_model,,,,,,,,0.006142312533253124,0.012201993259523538,0.0009429727474913865,0.0009676649180488984
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006140257381519658,0.10490466233994088,0.000499140630312096,0.0019637482587564646
36,sett_model,sett_preprocess_income,,,,,,,,0.005790420354231582,0.009790310653193426,0.0005487855469215883,0.0007599217514475091
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005536645669071165,0.08794660893801783,0.0005448850972156939,0.0018871919015139497
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005102582086227266,0.13124555479183006,0.0004513077340697164,0.0030043864014746846
2,sett_exclude_features,,,,,,,,,0.004919529539865008,0.004919529539865008,0.0004466514320800324,0.0004466514320800324
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0046181395823134425,0.02560374914572417,0.0005116463729576432,0.0017350180164076184
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004139408810519666,0.8125149966777012,0.0006551455445847954,0.003871422938624864
42,sett_preprocess_income,sett_scale,,,,,,,,0.003909629641935861,0.010436090911611618,0.0005330482886150492,0.0010600376567134959
12,sett_cutoff,sett_model,,,,,,,,0.003887224479766395,0.08457759982256202,0.000315090362240947,0.0019793341246229544
38,sett_model,sett_stratify_split,,,,,,,,0.0037557388121389813,0.38069994388769707,0.0003855731952130211,0.002934886507430902
7,sett_scale,,,,,,,,,0.003666722157119319,0.003666722157119319,0.0003785935618470035,0.0003785935618470035
37,sett_model,sett_scale,,,,,,,,0.003618947111162123,0.008425820454686848,0.00035486946589091553,0.0006024592463067357
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003607482545500377,0.09974849380350272,0.0004270670543333234,0.002304238170413193
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0035464817049241557,0.39722595943027106,0.0005464709205493948,0.003118948629482759
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003302750532910983,0.01143976543062276,0.00041533082436948424,0.000886874004816555
3,sett_exclude_subgroups,,,,,,,,,0.003217485357846769,0.003217485357846769,0.0003476836711940833,0.0003476836711940833
6,sett_preprocess_income,,,,,,,,,0.002859739112556438,0.002859739112556438,0.0005081755977480215,0.0005081755977480215
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027023267192281654,0.7787423546024526,0.00043338312248526495,0.003949681246589227
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023644178839243115,0.7964821958732954,0.00035087687334701224,0.004119899899467881
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0022951357683791297,0.8388467788778949,0.0003744469042368753,0.004955307659870501
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002136483919589082,0.7758106235804394,0.0002858555695310769,0.0035919380891472194
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020614599779703972,0.7741016032073784,0.00046702582707751773,0.0037197813493659417
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002061049326280898,0.39276993511605157,0.0004628188034886616,0.0034998625836154817
