,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.377321868797624,0.377321868797624,0.0031432038890155957,0.0031432038890155957
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3110805674580125,0.7688806846577991,0.0034210861032132073,0.005230389857805062
0,sett_cutoff,,,,,,,,,0.08047824840216267,0.08047824840216267,0.001655630162466695,0.001655630162466695
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006981083768479396,0.7841270599896153,0.0006898510963876529,0.004422930208904715
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0064767797980357636,0.8133740734895811,0.0009103958644416899,0.004268853753570799
25,sett_exclude_features,sett_model,,,,,,,,0.006193984317722242,0.011684278176808819,0.0007795792642790967,0.0008083832250977857
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0059443477975063145,0.10424144625168152,0.0006186454254993596,0.0018064076300077123
36,sett_model,sett_preprocess_income,,,,,,,,0.005219475774514752,0.009091856337530695,0.0006428512189021816,0.0006942924991225525
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00507800237491362,0.08870169083218213,0.0006183770463897797,0.0017025925580636237
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00488236138368134,0.8145060968437301,0.0007855007048302214,0.0045267321098031305
2,sett_exclude_features,,,,,,,,,0.004763353351176474,0.004763353351176474,0.0005635926418803131,0.0005635926418803131
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004602209692007826,0.12886363669607587,0.0005260350781419271,0.0026487494100133624
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004432983412858638,0.023789166661849395,0.0003323015848405193,0.0012333304502404664
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.004002327648506113,0.39894032530888124,0.0006307820364182936,0.0031831884963376637
38,sett_model,sett_stratify_split,,,,,,,,0.003889359715858366,0.3819381690213925,0.00044790077128117813,0.002865580814468323
12,sett_cutoff,sett_model,,,,,,,,0.0036489913395682375,0.084854180249641,0.00034076032349645636,0.0016193394407262468
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003602949121102467,0.09996330040261675,0.0005967030059307605,0.002151146654231557
7,sett_scale,,,,,,,,,0.003570163272913426,0.003570163272913426,0.00036713621869741044,0.00036713621869741044
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035387558140946842,0.01025435914211395,0.00045986022445730754,0.0010221003870897645
3,sett_exclude_subgroups,,,,,,,,,0.0032079877278836807,0.0032079877278836807,0.00035809922472009655,0.00035809922472009655
37,sett_model,sett_scale,,,,,,,,0.003155407824451952,0.00745251160527548,0.00032200132065743456,0.0005902374342880228
6,sett_preprocess_income,,,,,,,,,0.003145440055105841,0.003145440055105841,0.00047359379206718795,0.00047359379206718795
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002877879181545618,0.7812980542027016,0.0006147947771710526,0.004991684020228527
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0028312179306413943,0.010802559009701548,0.0004055358719449654,0.0008831989946423748
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026764688987720477,0.8414770350413942,0.00031578376228723733,0.004520860112713414
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002593890557532468,0.7794300243205521,0.0007658598423504411,0.005310113134391531
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0023235677148146098,0.8463303566622065,0.00044008028885738037,0.004652053201559014
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002320915278312693,0.7769660811124954,0.000449261567861016,0.005369121301479751
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002279003249985528,0.7980827210631175,0.0004139392785228814,0.00431822541436715
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0020424909700839755,0.3841277131188845,0.0004704019857428895,0.0032814113855377954
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002024582072948762,0.09898570477544855,0.00036253395743469224,0.0016511579500470403
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019154823535100492,0.3935346151378605,0.0003056982182857673,0.0029044832719415767
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018783795984195987,0.39344180496541503,0.00039684587634667464,0.0032599993884046743
