,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37454769679065913,0.37454769679065913,0.0006728779331878014,0.0006728779331878014
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3127634851661306,0.7687371506397876,0.0004730702201928174,0.0009553126178058677
0,sett_cutoff,,,,,,,,,0.08142596868299795,0.08142596868299795,0.0002963258962369588,0.0002963258962369588
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007698266394390722,0.8152233475820905,0.00026175696565079693,0.000940384791433485
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006867405859777333,0.7845287309270017,0.0001877219756572065,0.0007289729603364609
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006829973888426409,0.10882032037229852,0.00015868175385382052,0.000314180019871357
36,sett_model,sett_preprocess_income,,,,,,,,0.006681100316367137,0.010787873380869045,0.00015519568989153028,0.0001770999601356388
25,sett_exclude_features,sett_model,,,,,,,,0.006456077153004783,0.012449586462289835,0.00015111550802279831,0.0001401495655237763
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005749188980184327,0.02860267255918724,0.00012178125201491056,0.00023842047411916942
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00542884771565714,0.09003294600275531,0.00010459403179192205,0.00031657083701611713
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005383423218671527,0.13764503033216138,9.688196961615777e-05,0.0003106092703217306
2,sett_exclude_features,,,,,,,,,0.005064865848883363,0.005064865848883363,8.92944154437133e-05,8.92944154437133e-05
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004870077613644079,0.8184046974861899,0.00013085339528153464,0.0006752466914480099
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.004403234264610343,0.39683034038188036,0.00013843096140176325,0.0005822223327414339
12,sett_cutoff,sett_model,,,,,,,,0.004347656704347974,0.08670226884774762,4.851202152983139e-05,0.0003019613290060078
42,sett_preprocess_income,sett_scale,,,,,,,,0.004186484755722917,0.011239408685623314,9.32043798634925e-05,0.0002255208313451612
37,sett_model,sett_scale,,,,,,,,0.004004331116610768,0.008807768902812638,7.315259847010292e-05,0.00012187562709355342
7,sett_scale,,,,,,,,,0.0038747943258001802,0.0038747943258001802,7.941365844304476e-05,7.941365844304476e-05
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036665919716744933,0.10232136519024475,9.891509855339781e-05,0.0003866716507082794
38,sett_model,sett_stratify_split,,,,,,,,0.0036478742626870836,0.3791242145137479,9.28533444333938e-05,0.000606813554312354
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0036173038565824635,0.012002124204478526,9.50513310140941e-05,0.00016014314218631563
3,sett_exclude_subgroups,,,,,,,,,0.003319954499012699,0.003319954499012699,9.6195023431659e-05,9.6195023431659e-05
6,sett_preprocess_income,,,,,,,,,0.003178129604100218,0.003178129604100218,0.0001256677366926846,0.0001256677366926846
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002759556333048111,0.7818940503619293,0.00012723354386454715,0.0009751107368368518
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002337915018608909,0.3931117255221602,9.642207677918894e-05,0.0005225687321801989
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023050678010430327,0.39228617759565027,7.99569758749121e-05,0.0006915328883120403
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0023016215446057895,0.7788650453945917,7.191304432864274e-05,0.000948987518556675
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021495161603216992,0.7990652402364257,0.00010298275097994248,0.0007439228738152153
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002119927680095987,0.8450596486504298,8.207603445267675e-05,0.0011510181253297457
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0021034611488975692,0.023222060796564865,6.919465500593572e-05,0.00026712339005270847
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002090705671819422,0.7770455586772247,7.897286708312667e-05,0.0009325738419032556
