,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3371949484859522,0.3371949484859522,0.023219891858541165,0.023219891858541165
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2521469624704762,0.6614832586065342,0.03378444274256131,0.04667825637596513
0,sett_cutoff,,,,,,,,,0.07214134765010578,0.07214134765010578,0.013580311336624856,0.013580311336624856
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.010091294508396274,0.6900056914280334,0.00790280392484236,0.046899505038990416
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0075837665683157795,0.08515498200479925,0.005677233835066337,0.013629766375497789
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007131928304532749,0.6801199545595753,0.005159772726128097,0.04571893061672789
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0068204836782139126,0.683299980049858,0.00597919396072602,0.052449243366119634
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006079625161977662,0.677668054844194,0.004583511084887403,0.04610113366319916
3,sett_exclude_subgroups,,,,,,,,,0.00576800430318811,0.00576800430318811,0.00486753289931837,0.00486753289931837
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005586562451105495,0.7283662585339774,0.004483018335328476,0.047476948725108194
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0054966073012604096,0.1026154078642781,0.004503818585425668,0.019065728496106722
6,sett_preprocess_income,,,,,,,,,0.005429867786377699,0.005429867786377699,0.002424391804890167,0.002424391804890167
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.005417503958409429,0.34804232023073933,0.0038959182365765734,0.019399857542632563
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005034056405547166,0.08294340835884105,0.0031382084094646427,0.016702627461044017
12,sett_cutoff,sett_model,,,,,,,,0.004737933574891788,0.07962242590632004,0.002941758303252045,0.0130611652171625
36,sett_model,sett_preprocess_income,,,,,,,,0.004482740302004168,0.012655752769704341,0.005458685422708506,0.008561665753573311
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004194177056374551,0.3471571298455149,0.00498184825028377,0.02401719648695417
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.004157961098532776,0.36344985570489285,0.0038097286624407525,0.019020957800950665
38,sett_model,sett_stratify_split,,,,,,,,0.004023689392294092,0.3439617825595688,0.0015379145010751532,0.023271333692884703
2,sett_exclude_features,,,,,,,,,0.004009455383294305,0.004009455383294305,0.0038576923640549522,0.0038576923640549522
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0036888378989420067,0.09644743020666803,0.004262042854759825,0.01984572039461959
7,sett_scale,,,,,,,,,0.0035705395794743957,0.0035705395794743957,0.0036317335187372006,0.0036317335187372006
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0035462837279658013,0.7170913763472466,0.0037864619978590953,0.04496226377469894
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003494242719783691,0.7110392400630297,0.003161435438770758,0.054108517115413896
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003456926322667038,0.7134675939852408,0.0029699618814373885,0.055430181158119214
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0034529069297309432,0.7226269531488757,0.0023487505270138936,0.050232047223051156
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0034480766566457083,0.09598409326093355,0.0026832479572112865,0.01718168079594451
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0033022927479932048,0.09751942558902735,0.005187702592419884,0.013386205586670289
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0031793344287534817,0.10097317860621208,0.0029201876012865634,0.01608322511414411
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0031624859182795583,0.07931328895167963,0.0019139713849217232,0.013060139896432467
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0031323801055888854,0.7063323975586047,0.0023677635365438147,0.04671042649896925
