,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36381992846024125,0.36381992846024125,0.029604687027983256,0.029604687027983256
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2603156636924329,0.7109539836579617,0.033684856966419284,0.05252553696938605
0,sett_cutoff,,,,,,,,,0.08681839150528745,0.08681839150528745,0.014004353082909796,0.014004353082909796
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009383005831699365,0.7311089423760038,0.0056115599821622815,0.049586406992951915
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006998745912924494,0.7287436365848792,0.00398023330273702,0.05582471276074106
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004902629829318182,0.7219155359349022,0.00459189638192407,0.0539415289203799
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004818003978221665,0.7256491381850632,0.0032603007101638017,0.05023705126707089
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004714893481207103,0.37143140412408504,0.0036762308912378,0.028110073410251787
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00470396849634156,0.7243419135090713,0.002231054021082612,0.05000146980278239
12,sett_cutoff,sett_model,,,,,,,,0.004337220774004426,0.09367011584072328,0.0026708450820346987,0.013384785329141056
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004056245915209328,0.7624024483944862,0.001992178202690137,0.053466039665222974
38,sett_model,sett_stratify_split,,,,,,,,0.003920228550906828,0.3702546605725795,0.0027722204717649385,0.029068821873420164
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0035451961180900373,0.1064241308076639,0.0027170848089803214,0.013469483615392595
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0034852546909712656,0.7554487700911576,0.002581828925048067,0.04274039951985792
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003467098851223474,0.09338030874069929,0.0019280998808431178,0.013531611378353472
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0034243360487545946,0.756975296259256,0.003006687257690726,0.04551793994085
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.00331523331346803,0.37022998015789765,0.002619885692659913,0.027876175538327302
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0032866333058007052,0.1058654889762502,0.00338500157667666,0.01169934198827764
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0031794313501493482,0.09289440503807342,0.001973022103003945,0.014018169581790672
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003177573521345432,0.3700643615214666,0.0026043953183335837,0.027933746865534313
36,sett_model,sett_preprocess_income,,,,,,,,0.0031328053160645996,0.008543891060132643,0.002389176947160553,0.004439918737956385
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0031234803537992023,0.10416815855262915,0.002606289384815967,0.01262725787800294
3,sett_exclude_subgroups,,,,,,,,,0.0030948183841883695,0.0030948183841883695,0.002407147519783223,0.002407147519783223
2,sett_exclude_features,,,,,,,,,0.003066859539879891,0.003066859539879891,0.002398953377042593,0.002398953377042593
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0029504489688796935,0.7488613527239452,0.0015277467725174107,0.044152941019288953
6,sett_preprocess_income,,,,,,,,,0.002896582182636625,0.002896582182636625,0.0028424201315601486,0.0028424201315601486
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0028757021584009035,0.7516605905360496,0.0017592208684918133,0.05536462521873651
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0028428582569275354,0.3682169732437995,0.0022261004712789195,0.03044251926310423
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027696057422011257,0.3837685472946889,0.0015010857756039486,0.026226099200987327
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0026005898871225563,0.3814387744732788,0.002125647406271739,0.026450202674836883
