,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3567921488868591,0.3567921488868591,0.02291162842492684,0.02291162842492684
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2570140183724703,0.7204450807997533,0.03686897195356578,0.0453008662920194
0,sett_cutoff,,,,,,,,,0.10663891354042404,0.10663891354042404,0.015594230555418915,0.015594230555418915
6,sett_preprocess_income,,,,,,,,,0.013272664711913948,0.013272664711913948,0.005606179288699934,0.005606179288699934
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.007724673908491351,0.7526037381143205,0.004688470063664338,0.046926853965690685
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0076097917265099445,0.7383348324489853,0.0047763641590160685,0.04161079298534206
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006910957902440463,0.12682253615477845,0.0042874564106004445,0.01621707925773189
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0054254907756970715,0.786699602715695,0.0038068271607598616,0.04606754162169406
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0049116935259570695,0.7786440634539508,0.0033501311279618986,0.04267368365053592
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004777204480195077,0.7338245071954206,0.0025785060581245524,0.04229423047746568
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0044530773019069315,0.14098446519093735,0.003088979313086607,0.014468672477166855
12,sett_cutoff,sett_model,,,,,,,,0.004260500401068099,0.1130407403366109,0.00299030745013877,0.013648294348456148
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0042503607917212145,0.3743151743904943,0.002633229946475072,0.021961195575010663
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0039741693256592145,0.7706125369714856,0.004544069367451136,0.04958528721148097
38,sett_model,sett_stratify_split,,,,,,,,0.003878133126534994,0.3628116084085129,0.003089840887512951,0.021903852185688348
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0034928663831184405,0.1123959208445435,0.001722096139674964,0.016377000825514684
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.003410932535001076,0.7288393874500649,0.0024312589181965227,0.04652100688163822
36,sett_model,sett_preprocess_income,,,,,,,,0.0033070249380650974,0.018721016045097814,0.0022030620278689675,0.0070472869169882395
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0031839976690273644,0.1379176161987478,0.0020214438769829606,0.017775729564089404
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003059612006249373,0.7310201462851496,0.0024344300902853803,0.04350015120095487
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030205199364735716,0.38666217878668674,0.0015873672342638305,0.02176369767874643
2,sett_exclude_features,,,,,,,,,0.0030061424898517037,0.0030061424898517037,0.0017971641796678442,0.0017971641796678442
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0029690163939265247,0.7717690614157965,0.0023937139012093754,0.04410441802313742
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0028951437007722495,0.11254019973104801,0.0025365700531428913,0.01550630393653581
