,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.38914000642875424,0.38914000642875424,0.02216189355072357,0.02216189355072357
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2667280970216448,0.7459594972435554,0.04522495703188433,0.0343482187869011
0,sett_cutoff,,,,,,,,,0.09009139379315635,0.09009139379315635,0.012169167541645336,0.012169167541645336
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.010581180797181924,0.7679380526242401,0.00795809777265396,0.034160290879027375
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009004577012560083,0.7724578428279522,0.007524846357076493,0.033425962803544595
6,sett_preprocess_income,,,,,,,,,0.007198344368786289,0.007198344368786289,0.005123557327147191,0.005123557327147191
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006170344912789541,0.7642539780928095,0.0036058345409910922,0.037165227331162856
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0060723409326181,0.10336207909456074,0.00295603255692827,0.016362005462522387
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005105838471423441,0.7599115262788039,0.0042605266823350476,0.03496151838225512
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004747144293331528,0.7979482035559713,0.0038729531855671165,0.038731133546411986
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004727578172966266,0.11921739500734219,0.004494987608807468,0.021043063205063276
12,sett_cutoff,sett_model,,,,,,,,0.004369948669093299,0.09735718324003462,0.0026451630079776995,0.013845537873782102
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004345068156530504,0.09803861986898638,0.002541620787128821,0.012645800723101
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004304825488150591,0.810245484501878,0.003514166291127885,0.03629219214183774
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004223083270432408,0.40056143406797295,0.002961404675979519,0.0252165505723934
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0041769098606346325,0.39691907420868844,0.0037577960353926197,0.02039963529875176
38,sett_model,sett_stratify_split,,,,,,,,0.004131585136624531,0.39616743234316376,0.003143884114044914,0.02474767112855719
36,sett_model,sett_preprocess_income,,,,,,,,0.003861948292936909,0.013956133439508162,0.004894401649937022,0.009342769401608147
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0038054722387765726,0.11022068905970302,0.0032090844911126996,0.013757286461674048
