,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3467231680508874,0.3467231680508874,0.02970993665332656,0.02970993665332656
16,sett_cutoff,sett_stratify_split,,,,,,,,0.246807951524182,0.6703451921526495,0.032822294960948614,0.04443794274905906
0,sett_cutoff,,,,,,,,,0.07681407257758016,0.07681407257758016,0.014186185981095686,0.014186185981095686
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.010903691867438808,0.6910959724010562,0.007307740241599173,0.042492158774435206
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.010111565907224462,0.6954689977477699,0.005633970903121238,0.04079097822290596
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.008069598464152518,0.6912733195998143,0.005923011111617247,0.04303790902762317
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.007768572824318883,0.6936325337014504,0.005647450964347224,0.0415845577737153
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006702429541426614,0.08851880495167225,0.004412458769529836,0.013461947231587402
2,sett_exclude_features,,,,,,,,,0.005621726807059923,0.005621726807059923,0.003126133612692839,0.003126133612692839
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.005617445592721572,0.7371453226655997,0.004386758750522109,0.03790994753095259
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005530491164818178,0.3570477790085945,0.0032613951355919164,0.03033089011532942
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00534368146858233,0.7329185084960246,0.0037555749028298814,0.04349603691829252
6,sett_preprocess_income,,,,,,,,,0.005002302832665478,0.005002302832665478,0.004526815237399328,0.004526815237399328
3,sett_exclude_subgroups,,,,,,,,,0.004794119792889005,0.004794119792889005,0.003175474537426445,0.003175474537426445
12,sett_cutoff,sett_model,,,,,,,,0.0047335533430765235,0.0831092897314549,0.0038872848999192953,0.014518470493723483
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004687628730188707,0.08629582110065787,0.0035376147017692453,0.015205957344198764
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.004563920913303463,0.37468506156265124,0.004196904000960702,0.03136835564291892
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004297647484243147,0.1022019634639934,0.005226796724597292,0.020774951884919637
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.004257022457697811,0.014053445083252295,0.003686842736478816,0.008893768914539779
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0042307302522160296,0.35657562511016333,0.002442958590823188,0.028533999871883018
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004154678305067539,0.7254233678263887,0.00322858267440643,0.03900218113314452
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004079953560971981,0.7227007821296653,0.0038931922338096363,0.04186160446422381
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0039624387613864595,0.7294843576915555,0.00223257201788399,0.03516835608022277
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003950594405306026,0.10620817033775379,0.002865360744455478,0.016738897726951384
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0038993581999682515,0.37378029041613503,0.002393261167322984,0.031011876344219022
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0038140363503899643,0.35553950723394284,0.002538475280285895,0.028367303743928374
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0037161242920346364,0.09928011076946854,0.002733382692018348,0.016784475353590435
38,sett_model,sett_stratify_split,,,,,,,,0.003551871227093234,0.3518367030887789,0.0018876942622963815,0.02927615612421896
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003324986738610193,0.7255378562353707,0.0020834359427767653,0.03964525005258259
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0030060719237362584,0.08544187130837633,0.0015409513031022358,0.015450362420879599
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002980696148296217,0.013396542748245144,0.0025232191740642306,0.00615590970101193
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002972948222901276,0.009328731826588516,0.002883937211350455,0.004130045252461962
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.002836082563770572,0.6782928249116627,0.0017423670032515137,0.044784523068520404
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.002805964245253212,0.3706467328426018,0.0021027522059833886,0.02748817667274047
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0026130684190564203,0.3677473306884438,0.0015838326291528883,0.028673019324125325
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0025592400190343405,0.09591505205324541,0.002953248196598811,0.01573765190994418
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002542531734775586,0.7111752562140343,0.0022903724239668865,0.041308673098656414
36,sett_model,sett_preprocess_income,,,,,,,,0.0024735577395856422,0.009037524383049358,0.0022586557805137093,0.005015198547061728
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0024488043041298114,0.013072833943855212,0.002530840558855049,0.007112994924357889
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002418765129477844,0.36572664884949263,0.001750817761845525,0.028686870677506367
7,sett_scale,,,,,,,,,0.0024132371842353804,0.0024132371842353804,0.0032359895607006195,0.0032359895607006195
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002397439798762247,0.10199284778536048,0.001529772431500606,0.016490587542534636
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002355032749118876,0.09964261259425151,0.0015495847469238443,0.014020583731629512
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0022542847963708795,0.0933867260755521,0.0023931108989675882,0.017807086098908437
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0021923913556255747,0.1307398973171549,0.001933761209598651,0.02249551527252155
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0021343494970978236,0.793227014975403,0.0010951961914428866,0.04003324805571035
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0020785738729246356,0.08021592467690655,0.0014380959394682293,0.014422051613696842
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020567850827593924,0.36518338509417936,0.0014152417125465847,0.02693558525096626
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.001984841375661866,0.09534001794951007,0.002155295537672566,0.013291232672280976
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0019435523878233423,0.7083138142248793,0.0010354498093485397,0.04322296464121572
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0018808315502342383,0.12761590951485474,0.001957404761213921,0.02184908488760322
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0017899778728577836,0.6767973087595406,0.002374984918120029,0.0443164949750181
