,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.310292791811026,0.310292791811026,0.049967379037488144,0.049967379037488144
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2553998411960081,0.6357541217089391,0.05355167227497309,0.0747555992633284
0,sett_cutoff,,,,,,,,,0.07006148870190496,0.07006148870190496,0.016776875820591886,0.016776875820591886
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.01091372436815359,0.6702977849675387,0.007658529723751837,0.06922349200324845
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.009128304655243656,0.3254585730599898,0.01081603875042962,0.047372873614973283
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009070256811149657,0.6626085004664116,0.006497195846565139,0.0813047564115217
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.008464157641482114,0.08456312293710727,0.005032997152960328,0.013439280695709667
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.008022059282143022,0.6585858490442548,0.008210315792463754,0.06518223800613011
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.007863229337395033,0.08345131532641764,0.006790990259477798,0.019781143108505903
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007826540714966235,0.6564184372604827,0.004875827816185805,0.07614513875255423
3,sett_exclude_subgroups,,,,,,,,,0.006037476593720218,0.006037476593720218,0.0031566696593949,0.0031566696593949
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005976517406778066,0.7016941818471509,0.004247305811419414,0.08884821561497297
10,sett_cutoff,sett_exclude_features,,,,,,,,0.00563155210668676,0.08118613923612536,0.0069876598548123895,0.02124636854175748
6,sett_preprocess_income,,,,,,,,,0.005526597287117677,0.005526597287117677,0.004485257501967569,0.004485257501967569
2,sett_exclude_features,,,,,,,,,0.005493098427533659,0.005493098427533659,0.0041661251695698336,0.0041661251695698336
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005451860364758869,0.7087634987712057,0.00497212037040428,0.06012995185551881
12,sett_cutoff,sett_model,,,,,,,,0.005089969458210732,0.07923571296916453,0.004076571467732881,0.016946529696989766
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004403636341663721,0.6467655471976157,0.0034399519477613127,0.06980168438078883
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004402028029201007,0.10134964186564646,0.0034050245105251586,0.02525615215286988
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004394295321810111,0.32021368441995374,0.003955227560075642,0.05211110868865185
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004368022402952972,0.7037364335596988,0.0037208885615610363,0.07210351151611595
36,sett_model,sett_preprocess_income,,,,,,,,0.004322074242768208,0.013932926338934741,0.004679731501014835,0.008703889649586238
4,sett_model,,,,,,,,,0.004084254809048856,0.004084254809048856,0.003074970042828945,0.003074970042828945
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.003879549481169768,0.102749300611529,0.003999327392389057,0.021477769182462
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037207461504485074,0.3360043101915371,0.003333222834451836,0.054487090961983765
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003685017518952249,0.31947090775751186,0.0031747437961007936,0.04691234771546454
