,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.39674053677274207,0.39674053677274207,0.02998009964887943,0.02998009964887943
16,sett_cutoff,sett_stratify_split,,,,,,,,0.239964848829927,0.6991191137401922,0.038649747661706486,0.05599319347441243
0,sett_cutoff,,,,,,,,,0.06241372813752322,0.06241372813752322,0.014905322272056612,0.014905322272056612
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.008643484238766876,0.7230910326594914,0.007277744618532192,0.053150803400418944
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.007309535863749805,0.7196451373048955,0.004697758355177148,0.0530711461606463
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0072786648224442835,0.7176784187170919,0.003869220109519453,0.05553519921830352
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006820568859481474,0.7164407297990449,0.002883336452210522,0.0525277833477086
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0066876308065206246,0.40800343437074094,0.0071370471676981935,0.029082407932783633
2,sett_exclude_features,,,,,,,,,0.005648782983649882,0.005648782983649882,0.00277118606540803,0.00277118606540803
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0049977751073589285,0.7499501116494747,0.003186122514671727,0.04859185671313184
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004658446749455264,0.08730500130122874,0.0019322777922619915,0.013649961323282448
6,sett_preprocess_income,,,,,,,,,0.004575266791478252,0.004575266791478252,0.0045464001144415265,0.0045464001144415265
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004500479681412969,0.7536878350191473,0.0017228985934810788,0.051353300641283586
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0042915324763170394,0.7481829669851112,0.0027615457101762227,0.05365063233858005
38,sett_model,sett_stratify_split,,,,,,,,0.004258798593429916,0.4033390061206601,0.005007851577782115,0.028692146091713815
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0041131910446374625,0.7538883468808867,0.0043520330440862945,0.04947335620663282
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004065537082533323,0.0710545320115348,0.0030170720497374607,0.016967929208639078
3,sett_exclude_subgroups,,,,,,,,,0.0040402478109564975,0.0040402478109564975,0.002356210679371766,0.002356210679371766
12,sett_cutoff,sett_model,,,,,,,,0.0039025778514532004,0.06865597674346453,0.0029846681595372465,0.012666477304684011
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003827367201709385,0.4062166869581013,0.0025676548936960438,0.029190272524801813
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0037403375155941965,0.07180284863676731,0.0017941693760881107,0.014228842049017346
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003718379751180701,0.07017235569966043,0.001900362508704034,0.014509393140158474
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003561334314202626,0.08249941230182246,0.003166078976127753,0.013387134200152355
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003522012592318262,0.4043027971760168,0.0019011812239488081,0.031410330281996086
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0032548659983596554,0.7075085351399801,0.0020293025146710477,0.053533604131492385
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0032393879536147833,0.4201034136678598,0.001576944533594434,0.030845746550790254
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030850783528689816,0.01277410914747536,0.0014779494538289407,0.00405883544384314
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.002924770551170946,0.7321281937754498,0.0030177954340192214,0.04776361996229348
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.00280659173662884,0.4162313319425818,0.0018355286522596325,0.03187187416976008
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00280302020602756,0.41809787324482783,0.002053907550299828,0.02680234848057925
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00272702804756828,0.7500359436899418,0.0013064497400483482,0.04688940991022996
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0027028662395589924,0.08322766021504852,0.0017649517509109552,0.011552707156077839
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0026083218256581775,0.08351271142411534,0.002950854002332384,0.0170468672524982
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0026035268584428052,0.7509477054456615,0.0014938050693994267,0.05001609008260917
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0025344396995872973,0.734803514754321,0.0020129566416693914,0.0507575211076148
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002523473682018107,0.008903392247462717,0.00198576315550498,0.0043644034115225055
25,sett_exclude_features,sett_model,,,,,,,,0.002479696732780913,0.010468150470918907,0.001988559679660153,0.003906761038787687
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0024611252082218952,0.41926833755598236,0.0021160754368443353,0.028801463622834613
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002442598434758006,0.805444562647564,0.0009766008128176563,0.04963511122191701
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0024291767314045176,0.4007156628267748,0.0016596035586580237,0.028278004238852295
4,sett_model,,,,,,,,,0.0023396707544881116,0.0023396707544881116,0.0015977269866651973,0.0015977269866651973
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.002267643510463822,0.421496197077303,0.001924747369918584,0.02915102584758545
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.002264278049412027,0.10886931941313924,0.0015688188382680349,0.012832870620255848
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0022298330867060226,0.08173192233328368,0.0015859592104836785,0.01528955892260884
36,sett_model,sett_preprocess_income,,,,,,,,0.0022053086291015387,0.0091202461750679,0.0020188254659700756,0.00557345423833719
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0021414870908518613,0.08433410861236967,0.0010773244123805463,0.01798519663967712
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002091230024785178,0.010706744627219926,0.002432363892157064,0.00540193603634188
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0020485632883013908,0.7367729720589712,0.002150002113212312,0.049600444434668337
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0019959007740632537,0.10789868088893292,0.001581243430789417,0.0185008763690961
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019942891003841977,0.419651213899185,0.001218720436835079,0.03026047955197896
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0019876584522198694,0.8039814454618847,0.0010290203711373533,0.041534929982988265
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001961021400658968,0.7316042667963942,0.0017113029589714015,0.05176952838006521
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.001912634584685921,0.4102658167414043,0.0020006297173659326,0.0266830460010794
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018432384915548592,0.7994658987506655,0.001344468911557237,0.039635675189958426
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017904204879965232,0.02190737080475902,0.0016095392647774592,0.00703401609677325
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001771524102504433,0.44087660996373423,0.0008537302753225936,0.03163996605495891
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0017489690107389496,0.011973018785867082,0.0012166561459323567,0.006213400194684308
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0017307766606148205,0.1035772966763025,0.002733305954753714,0.017404343499299747
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.001580518967477255,0.07725751035817542,0.0008927717363496209,0.01345234732520459
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0015716102736027314,0.019346807966430415,0.002211820047858092,0.009528050257416192
5,sett_preprocess_age,,,,,,,,,0.0015459493226281872,0.0015459493226281872,0.000942674837610636,0.000942674837610636
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0015234998600702305,0.102734992281483,0.0016363416884716806,0.01619901008557358
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0014852332986660015,0.41284581039470725,0.001029138258944798,0.02684896479817738
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0014753419118001604,0.41431984678526645,0.0016918870390249736,0.02670473487184182
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.001429180677622385,0.09733218801417975,0.0016604461706280955,0.012655699656763513
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0014215874587345948,0.07382199285424842,0.0011801968885970563,0.010767155201357634
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0014025068435975737,0.4422379167434236,0.0009692349113353523,0.030493281180439247
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013980268276683034,0.7730441416675315,0.0015861737741920256,0.0484533437938795
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0013721364887214274,0.07516507897773428,0.0013006198401204958,0.01312089082063307
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0013669669875951748,0.022556541962072914,0.0012841675630010697,0.007246761275302884
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.00136072580334104,0.7026239378629004,0.0011870453133705273,0.05607238907697232
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013555939556307815,0.7759641048133341,0.001185894585289231,0.04552410527537634
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0013530376675446629,0.7789277426442338,0.0011821877475900403,0.04852209538869972
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0013371755066807647,0.439154968283357,0.0013448462182454408,0.033798873561406394
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013310496466152032,0.7970461607727921,0.0012666372130086593,0.04264349491987682
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0012880606708053155,0.41048119202018357,0.0011405092902531577,0.029078024662756677
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0012651136870225322,0.44032636140332976,0.000888551793932739,0.02747464567680704
51,sett_cutoff,sett_encode_categorical,sett_stratify_split,,,,,,,0.0012094825946998213,0.701543897830299,0.0014905993485959232,0.055941993992371424
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001168764083907202,0.008363496390185271,0.0007014818998765337,0.0035584320835601686
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0011613574231112422,0.7302801298262753,0.001146436487379825,0.05535014272542021
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0011594293473954792,0.06511910680754689,0.0010961802585012892,0.01400509730248257
139,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0010761542459304196,0.7227198331271785,0.0015933776908544006,0.05607829024503837
35,sett_model,sett_preprocess_age,,,,,,,,0.0010390499820256344,0.0049246700591419335,0.0008980759778761654,0.0022917080748259657
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0010174305149543064,0.02001512541719195,0.0009206362303324601,0.00746557133987047
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0010151830546245514,0.07420849506713455,0.0010981432646148357,0.01816335553272208
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.000926320975657857,0.037410474012673,0.0014934133622747218,0.013435220339476715
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0009209475961844755,0.7260151147241607,0.0007546023223893855,0.05313198262536074
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009166492711894059,0.426880903045121,0.000954617549908049,0.030029243300820473
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0009152081193287637,0.006501405252913449,0.0007268306769658299,0.0025278415830747186
226,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0009068854451091466,0.43069869104557934,0.0007614263397219723,0.027893580331315365
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0009026683508978524,0.07552852348114897,0.0007106954503835625,0.0170462134387524
134,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_stratify_split,,,,,,0.0008902918547398169,0.7240884886440591,0.0015933728383617203,0.05365313553155274
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0008884537908353707,0.09259528220338804,0.0007852963665073235,0.01122047508608465
56,sett_cutoff,sett_exclude_features,sett_scale,,,,,,,0.0008739020150648553,0.07453345478335499,0.0009884943442654563,0.01432053235147149
39,sett_preprocess_age,sett_preprocess_income,,,,,,,,0.0008659444486926458,0.006987160562799084,0.0008877109207209755,0.005163462906299663
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0008642973174585702,0.7774305986929901,0.0008242886204183941,0.04703210421838579
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008596944858149341,0.7224959490731037,0.001077825142615099,0.05299409551016195
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0008559997058703222,0.017260030379209833,0.0008240372744989931,0.00507013925909677
237,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0008360413804811054,0.4320604069675392,0.0009520915184793193,0.026499704010699912
15,sett_cutoff,sett_scale,,,,,,,,0.0008226131446448799,0.0638037648074142,0.0007275751777470236,0.01511002047181022
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0008000687031335981,0.7236007004288207,0.0006744046251062892,0.05532433398400467
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0007589892352557082,0.4108326521118031,0.0007399973678163251,0.02942455583274572
103,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0007577587126564457,0.016311435353751562,0.0010531078671380447,0.0071788698548701565
44,sett_scale,sett_stratify_split,,,,,,,,0.0007540616494761983,0.3980620219474644,0.0009702907189810413,0.0296705335755786
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0007496563560147453,0.4289922066394958,0.0005796729520711855,0.02438308719548375
42,sett_preprocess_income,sett_scale,,,,,,,,0.0007487433310842124,0.005891433647808572,0.0007963008383931138,0.004862445898860653
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007378113862202657,0.08991817871613936,0.0008068363146431279,0.014998623573180906
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007253446788895123,0.7735360073177222,0.0007366379453847768,0.03904563718014351
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0007197655071716309,0.09127538094829968,0.0005532813109530335,0.010747827818349301
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0007139815557656759,0.07118508741091542,0.0010175919327440372,0.013167958405893647
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007003947257220502,0.4744955925602617,0.0006588935933579943,0.035302191896976184
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.000699376129616805,0.7725412905637508,0.0005245355713468109,0.04423839188001045
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0006731394924964884,0.8799137235508485,0.0006082468798856406,0.028629397012127005
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006683591972653552,0.42926828295619024,0.0006640163142985774,0.027021902906604923
83,sett_encode_categorical,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0006503907881974826,0.4059813077860549,0.000883893348539849,0.03175489028815857
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.000633384759072729,0.764195639544696,0.000645206124629113,0.051020216402829915
159,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006332589523896023,0.09294840079841435,0.0007094445224834754,0.018824811430760195
19,sett_encode_categorical,sett_model,,,,,,,,0.0006328688156731518,0.0031418754939594776,0.0013202588564968955,0.0019783468783049945
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0006325056539575926,0.14130028465550853,0.0006364622915660747,0.020931653557559462
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0006243812705853413,0.40667167434002205,0.0005581359718762553,0.03126087221091562
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0006109645742787622,0.07169807929444975,0.0007021449054153854,0.014700123542307847
