,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36849239416530344,0.36849239416530344,0.029676998906606692,0.029676998906606692
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2547422074971373,0.7058379183794808,0.0460499829615689,0.0583077539972726
0,sett_cutoff,,,,,,,,,0.08260331671704016,0.08260331671704016,0.012979006258623535,0.012979006258623535
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.011092015420945303,0.7294028751161922,0.0059639466588517105,0.05933981081521549
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006835843971069604,0.7237258463809924,0.005176238356102843,0.05983488690326149
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.005632595740111878,0.7614542258663735,0.0038706459920566354,0.062178361062101214
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.005285903560237573,0.7177088627341146,0.004313786345915128,0.05417173055636624
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005206364958624431,0.09067735950919564,0.0046938624143290225,0.014124534270831922
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005175954600475303,0.7224129338786915,0.002402676728193887,0.05804155260837509
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0051725971170267695,0.7211210242797224,0.002883796016794396,0.05911690185922633
12,sett_cutoff,sett_model,,,,,,,,0.005121150298689221,0.09004665960825259,0.0030253473507800945,0.012663337341370633
38,sett_model,sett_stratify_split,,,,,,,,0.0050295984245536125,0.3758441851823803,0.003059735884902008,0.029526186669685563
3,sett_exclude_subgroups,,,,,,,,,0.004491142451955395,0.004491142451955395,0.0027982487735896556,0.0027982487735896556
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004409178741691593,0.7590701119382433,0.002808833307233281,0.05995417393253284
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0040510537781010105,0.10504976297262239,0.002897812981989092,0.013850396905257953
2,sett_exclude_features,,,,,,,,,0.003990444794006643,0.003990444794006643,0.0018621208655346078,0.0018621208655346078
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0037500083464582306,0.09034376985750502,0.0025511758413712267,0.0134909710210944
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0037147572718120307,0.10402166209189832,0.002631242233534057,0.01444703088130494
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0036718730938969843,0.3900602347054336,0.002707091582926523,0.028594010876633966
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003595924832051325,0.3765794614493101,0.0024437648415661668,0.02810586851464086
