,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.35232682377914126,0.35232682377914126,0.03662748119724048,0.03662748119724048
16,sett_cutoff,sett_stratify_split,,,,,,,,0.25708495004051685,0.6849719881933796,0.04480741848247317,0.06152020615028937
0,sett_cutoff,,,,,,,,,0.07556021437372146,0.07556021437372146,0.012559670624371636,0.012559670624371636
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.011133234861744255,0.7072795348554493,0.009740171844973514,0.06395072541895667
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009595119801797966,0.709642785459137,0.005540540818007843,0.06352183375957017
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.009173935206905601,0.08700354628260541,0.004741281049020056,0.012661534060759748
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.007575421625199494,0.7074615828661713,0.004007806640171444,0.06456704088142069
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005756947638464375,0.7497042121502497,0.003982921327287912,0.07096850959464238
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0056844418686189235,0.7455031958030266,0.005514437372573257,0.07012751663421747
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.005085127179614026,0.36238153337732465,0.0027028702024585872,0.037939151821853936
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005034922237645417,0.10386874520070505,0.004598748275044605,0.014117448777208516
2,sett_exclude_features,,,,,,,,,0.004969582418569368,0.004969582418569368,0.003678531793969136,0.003678531793969136
10,sett_cutoff,sett_exclude_features,,,,,,,,0.00485946344940887,0.08538926024169971,0.003178574244011268,0.014496956995250668
12,sett_cutoff,sett_model,,,,,,,,0.004790165359076157,0.0834591002914391,0.003031046265703361,0.011402715562238217
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004086127096610325,0.6954137239731915,0.004563555403297901,0.059495953434157034
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004043913838897635,0.741430765367739,0.00298378046138352,0.06274686771876997
36,sett_model,sett_preprocess_income,,,,,,,,0.003931390762736591,0.009309508023356408,0.0033271348848539855,0.004649407072744827
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0036665706870377896,0.6965200092909207,0.0019458026700681808,0.06126099816252023
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0036323455550755336,0.35822856603619513,0.0020916791048459183,0.03521722307739113
38,sett_model,sett_stratify_split,,,,,,,,0.0032754258826077783,0.3587109702203905,0.0022478070700799463,0.03739628902796364
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0031684713393927617,0.10165770072194415,0.0031816441683493223,0.01531584539821323
4,sett_model,,,,,,,,,0.0031087205586414765,0.0031087205586414765,0.0027162768984645065,0.0027162768984645065
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003096310379343748,0.35714282559406063,0.0029749236823553397,0.036552023587688526
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0030654485955840085,0.08034535440488111,0.0016266260220258494,0.012684398005470771
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030306193901966203,0.3715747226303776,0.0018169501394439673,0.037629422955104706
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0029076214779409975,0.35667523122416256,0.002333448889292737,0.03575862131729201
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028612652311183874,0.3728011780974646,0.0019880464920480523,0.03691304503036046
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.00284381100709958,0.725575474573948,0.003994429086979535,0.06117865154811537
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0027988633327938953,0.7284801934257894,0.001602585143390257,0.06327516178628
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0026249529588516125,0.7275837128102175,0.0019913513974556597,0.06243945092958112
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0026011889861077917,0.37380736449011404,0.0022156114945506454,0.03698176669178641
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002576037329060223,0.09830467917390992,0.0018404701191968933,0.013830935196958077
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.002552286027318847,0.7275860437549369,0.002432169002531405,0.05930030894147677
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002497138173882897,0.09482284023334908,0.0024277291949767956,0.018148099412140926
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002493688586524918,0.7146410419883353,0.00262006180172926,0.05962264006480524
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.002444798514106679,0.094277199572256,0.002763715482748009,0.014865659558934477
25,sett_exclude_features,sett_model,,,,,,,,0.0024404956854323697,0.010518798662643214,0.0019306607809824487,0.004098287902582121
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.002417941950556804,0.09225256598670788,0.0014354033419989205,0.01338918648588983
6,sett_preprocess_income,,,,,,,,,0.002269396701978341,0.002269396701978341,0.0021328406654282173,0.0021328406654282173
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.002195709025241066,0.7240394587000889,0.002200835433118254,0.060666663920468156
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0021812600215487163,0.3701452167416852,0.0027001976397345575,0.03611615419610364
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002151301786606829,0.00884057564075183,0.003143984741955769,0.006532054472977986
