,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3536506950231489,0.3536506950231489,0.033891741389956626,0.033891741389956626
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2634130025906255,0.6977579297732546,0.0389653081946653,0.05366259125921491
0,sett_cutoff,,,,,,,,,0.08069423215948021,0.08069423215948021,0.01227623893170987,0.01227623893170987
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007194058362931629,0.7130548433141216,0.004767642592034483,0.04979035867201069
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006931523998573454,0.7169089907829844,0.003714340950760038,0.05041054739955561
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006888602519814807,0.7149215623538008,0.005976302164576627,0.05045115780326915
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006136643119410513,0.7150785307811205,0.0035742807744821533,0.05462925161304738
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005078985215733698,0.7429984041850255,0.00532323812548924,0.04398484302275003
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004532662160764828,0.7442012472033641,0.004770599920463929,0.04235194912932271
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.00448769834431251,0.745297617479947,0.00534439508882226,0.04447426835829452
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004310426943720758,0.36186593025269875,0.0037535290464493836,0.03351274744689534
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004241910294568012,0.7103066926842382,0.005689740438976583,0.05657139524604723
2,sett_exclude_features,,,,,,,,,0.004218954286286848,0.004218954286286848,0.0026359475203365105,0.0026359475203365105
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.00414803845325004,0.0877937964975503,0.0022410678748496548,0.010747863100872012
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004084393550385392,0.3606866144583543,0.0024011434837014176,0.034414349099476924
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.004073107504005444,0.744810580284752,0.0019039058396931204,0.05273291374109689
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004004301781606483,0.0886033422269158,0.002275845038357624,0.013388498728054397
6,sett_preprocess_income,,,,,,,,,0.0039048082858291026,0.0039048082858291026,0.0025339291321916134,0.0025339291321916134
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0036148520460869125,0.7414181193084433,0.002565108996652194,0.051671899895610406
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.003567790979433959,0.73950151960066,0.0037872551560603563,0.05835207421094972
38,sett_model,sett_stratify_split,,,,,,,,0.003532889855403346,0.3589401701337439,0.0033487333079455783,0.031682339968137616
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003279009168997784,0.3611486584784335,0.0026966572621811937,0.03332479361896681
