,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.34311552606444884,0.34311552606444884,0.03200852589113164,0.03200852589113164
16,sett_cutoff,sett_stratify_split,,,,,,,,0.27832390259743434,0.7049820757021975,0.04325494077320787,0.05076669011549912
0,sett_cutoff,,,,,,,,,0.08354264704031437,0.08354264704031437,0.018045888408559172,0.018045888408559172
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.010339750731794106,0.726851125478652,0.005446665423634121,0.049704575275459725
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006597369399310693,0.7228769513245461,0.005379092568925846,0.04759339453425924
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006241794409196784,0.7215076910892559,0.003965309105710123,0.052818916700699624
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0052580145038512004,0.7564126714004371,0.005391793006566281,0.053861206734450134
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00491041801547013,0.7181701348000633,0.0036059289686859665,0.04580623566396296
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004893431068425687,0.7157975616129952,0.004958274593580438,0.05301145902482724
12,sett_cutoff,sett_model,,,,,,,,0.004774390971319759,0.090549786100717,0.0018987673204454378,0.018075160824173733
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004536232735572904,0.09070121465735193,0.0039586958437563885,0.019017838351909146
38,sett_model,sett_stratify_split,,,,,,,,0.004522159984257781,0.34987043413778945,0.0021473394393431437,0.030957376947987933
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004490475643066259,0.3510453044117887,0.002568547132938088,0.032319852049185624
2,sett_exclude_features,,,,,,,,,0.003750182693846767,0.003750182693846767,0.002888550142901752,0.002888550142901752
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.003722521100673174,0.7148306891103307,0.004485360006761286,0.052385716290151686
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0036248031810777953,0.7467402120200056,0.0026799393476888787,0.03928201514332214
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0034415762507994654,0.7469848295080141,0.0038630301419748164,0.05730625697673569
3,sett_exclude_subgroups,,,,,,,,,0.0034393027042736407,0.0034393027042736407,0.0027850481399021715,0.0027850481399021715
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00343765382572502,0.751009870550323,0.0038783716685786194,0.042937458611028226
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003367727875697985,0.090349677620286,0.002218279306059451,0.015506604513712382
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003318576216095281,0.7548592085869128,0.001731378208593906,0.046450561086089165
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0031419382273337963,0.10258917209628246,0.0032499010675945384,0.019517135703798736
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.003125253360824163,0.3488631143067376,0.002201068510599556,0.03400116383006083
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0030431117763257166,0.0984482702396764,0.0031589117527994906,0.014078458004493978
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028970976523474542,0.36025400018361986,0.0023226032251377655,0.03358552988325026
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.002809943095734355,0.10199892196651655,0.0019800805482331563,0.015827281916340905
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0027795530249828584,0.1020295428466989,0.003055272370012572,0.016417788024358407
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002745620175034707,0.09830996025875408,0.004729550502884216,0.020931890604067884
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0026811480063127684,0.7422743638181686,0.0028657536779158202,0.05006831981828192
6,sett_preprocess_income,,,,,,,,,0.0026223348814646474,0.0026223348814646474,0.0028013149254694594,0.0028013149254694594
7,sett_scale,,,,,,,,,0.002598312056960545,0.002598312056960545,0.002569747272278698,0.002569747272278698
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0025734650783163183,0.08724828351561409,0.0018617941875092394,0.01770437962909663
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0025656744678074577,0.7474241860181211,0.002109643644430805,0.04724979720003468
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0025179956682572172,0.08981082540241836,0.0017491443431077675,0.015904195391311757
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0024917401214897095,0.10128540608579818,0.002346958636135022,0.014586141237775605
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002481269757393728,0.10062138830851486,0.0028945347510495553,0.016685449221363436
25,sett_exclude_features,sett_model,,,,,,,,0.0024320253588950725,0.008414956141824706,0.0021536843774106035,0.0047901863466344695
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0023949735652659286,0.7393750558574941,0.003129523380702843,0.05301101241624416
