,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3717684529380757,0.3717684529380757,0.03713506852881212,0.03713506852881212
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2796798921057144,0.7415661137180409,0.03312194114196942,0.04836865419417177
0,sett_cutoff,,,,,,,,,0.09011776867425075,0.09011776867425075,0.020934578879502095,0.020934578879502095
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008779002529870187,0.7702101903482287,0.004196589210054354,0.04379291957108689
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.008291190764907332,0.3874078166964364,0.007506752155150377,0.03401508514688416
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008200500856316255,0.7590956554600414,0.003875295729565635,0.046261047476464943
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.008023549398489965,0.7587773813308906,0.007471026949536542,0.049507573688019973
3,sett_exclude_subgroups,,,,,,,,,0.007348172993453377,0.007348172993453377,0.003940796079444349,0.003940796079444349
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006158632298237796,0.756666737251281,0.0030391394495086696,0.04516795124781953
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.005985227545725038,0.8037528968766794,0.003926208060116092,0.04074037374589365
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.004847563045989046,0.7997401960290238,0.004019981323531835,0.045746639678618146
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004830479191274278,0.09684675893665472,0.0033886740622455155,0.020085652903320976
12,sett_cutoff,sett_model,,,,,,,,0.004767455748575767,0.09635591179563387,0.002400537875415767,0.020906945134253983
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004280793457027859,0.11427286125777025,0.0034951388817735674,0.020165312791710608
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004225710341956837,0.10169165200966097,0.0021837944683597544,0.019955185274384096
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004023614539171555,0.7843096495458386,0.0030056237699399254,0.042242868919746206
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0036848711139991918,0.39771654561724235,0.0027478725209380806,0.033206814757370785
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0036441611993444233,0.7967887261747,0.0034026930619507215,0.037271532352276794
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003639151408509877,0.3995403988900642,0.004276176238432251,0.0330845401555211
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003591364217982037,0.7861673125958091,0.002680461103823554,0.04788943610830623
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0032010222521023242,0.3780405796529125,0.0024624538925594403,0.03636618253744923
38,sett_model,sett_stratify_split,,,,,,,,0.0030908977643010977,0.37633003807518417,0.0014659213263581274,0.03635764389152957
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003088926958708677,0.10745074260900021,0.003232525818868713,0.02012063837204334
2,sett_exclude_features,,,,,,,,,0.003071104462734428,0.003071104462734428,0.001203730792204985,0.001203730792204985
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002995679813784874,0.1132625193996612,0.002724702396091209,0.019052659918609306
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.00297735475639935,0.748682720918465,0.0022355950478437827,0.048228835221149485
10,sett_cutoff,sett_exclude_features,,,,,,,,0.002669864520165463,0.09585873765715067,0.0017468900878396898,0.020095466292381473
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0026292978943602465,0.39624055092769345,0.0020874379573393937,0.033487041680423546
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002458727951955728,0.37612569196116113,0.0014835741358123742,0.03692033717975392
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.002305023540844375,0.7800442781934811,0.0014819904714138477,0.04497100770042774
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002258325353291241,0.7840694017826351,0.001654168500343622,0.043629524916941075
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022213040702810808,0.012640581526468886,0.002326502959433412,0.004775226756842816
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002195031834666808,0.38652536757344436,0.002657700639530701,0.035465347682793476
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002166553229962286,0.10599160495725264,0.002120788813281503,0.02029553604033498
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.002127376241203817,0.1073733975209561,0.0027909024963628224,0.021404321548796762
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002062272669698315,0.010881133035959025,0.0015273026086767517,0.004503684530437473
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001973295615095889,0.11162722067793784,0.0018012792286897185,0.02018242621673249
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0019345642523098546,0.10521219476507532,0.001700041180693811,0.018265463903577823
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001903184753973523,0.3838673754444968,0.0013944657489396652,0.03611809274240205
6,sett_preprocess_income,,,,,,,,,0.0018985110711296754,0.0018985110711296754,0.001719127419794811,0.001719127419794811
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0018461973138113898,0.011092881378394443,0.0019019113519851154,0.005055954300188584
