,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3310880687155511,0.3310880687155511,0.04108611254798739,0.04108611254798739
16,sett_cutoff,sett_stratify_split,,,,,,,,0.24626453986431573,0.6603802274432274,0.03815443708059502,0.06268741036624749
0,sett_cutoff,,,,,,,,,0.08302761886336069,0.08302761886336069,0.012731251032097046,0.012731251032097046
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.01109651720812067,0.10178581260445715,0.005763708319591834,0.014209979213060896
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00974455662670415,0.6943486007611702,0.004967346986037376,0.056163171970928315
6,sett_preprocess_income,,,,,,,,,0.007661676532975796,0.007661676532975796,0.006467280062995646,0.006467280062995646
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007329023133553175,0.6778846308528274,0.0048121526586247685,0.06561758009171394
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006388321718747276,0.6767134718491108,0.003799934116456319,0.0606445978879224
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005947969701076675,0.11990437122535674,0.0035527823098748254,0.020723455001591454
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005571348042847099,0.7323470055262733,0.005263194532236679,0.06773079601241029
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.005465622950142047,0.34421536819866894,0.00262777437998072,0.038763273649181765
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.005044391803053303,0.7262355189726872,0.004174820527548767,0.05110579606096727
36,sett_model,sett_preprocess_income,,,,,,,,0.0048609949539710475,0.015942609536115208,0.0026616720911759244,0.007884515194558522
42,sett_preprocess_income,sett_scale,,,,,,,,0.004374333753062882,0.015289156198295658,0.0038609877052542966,0.009559545194454934
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.00411368865760859,0.35947577616961174,0.003840285367865883,0.04101587787804116
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003998913811811505,0.33865740814731277,0.006179832613401185,0.03618440063814183
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003969412487271555,0.6748617451077976,0.00242429822380762,0.05376269633078116
12,sett_cutoff,sett_model,,,,,,,,0.0038896559166834935,0.09033721282921255,0.0034648309884368384,0.015021758945866371
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003877643730779127,0.11561074397510188,0.0028704640428706876,0.01403200718930979
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003801036457450993,0.351692483683275,0.007088087362736166,0.03273068739561284
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0035709141696194675,0.014704174429337705,0.003087775389864772,0.006911409639269909
2,sett_exclude_features,,,,,,,,,0.003570425619950164,0.003570425619950164,0.004148341101478802,0.004148341101478802
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0035685492168898774,0.3381282016591834,0.0025243308213150663,0.03935196535525627
3,sett_exclude_subgroups,,,,,,,,,0.0034715837267424413,0.0034715837267424413,0.002064439212465733,0.002064439212465733
4,sett_model,,,,,,,,,0.0034199380491683634,0.0034199380491683634,0.0023343632798209406,0.0023343632798209406
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0033491836139655,0.11441075019461242,0.002961190578016318,0.014111219626896496
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003324024029332539,0.7046785970589018,0.002267347023115202,0.06431861337027948
7,sett_scale,,,,,,,,,0.00325314591225698,0.00325314591225698,0.004007114420519334,0.004007114420519334
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00310085564462915,0.702575607414439,0.0026570256711412233,0.06139096136433357
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030607241021819607,0.35788713941410266,0.0015439742442990075,0.036795652221267454
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0029427657455369247,0.08954081022884777,0.0017365465725639386,0.012816399516814302
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.002904789743503681,0.08940399233360681,0.0019211601234837448,0.013235713670631194
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002902131352866951,0.102193250560113,0.003256237541444775,0.01865293984481865
38,sett_model,sett_stratify_split,,,,,,,,0.002865786310194814,0.3373737930749142,0.0018593662578148564,0.04162664150342638
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0027497297942228388,0.7020754204039152,0.002572492357459033,0.0432307324328699
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.002723749520401722,0.6688545602562506,0.0015328875102630592,0.06355871911397344
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.00256564065366041,0.1014396913619863,0.0015323924643626749,0.01694590032564866
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.002534762472967767,0.714483631948614,0.002718249190926192,0.046035187078591805
25,sett_exclude_features,sett_model,,,,,,,,0.0024407150125463975,0.009431078681664927,0.002541262445487828,0.005406396055252547
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0024246561784945736,0.08711567670542888,0.0022169563418311966,0.011986658102792648
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0024225281259883033,0.6933072493605961,0.002918813556523597,0.06141257194140121
