,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3758916173547421,0.3758916173547421,0.02879464871528844,0.02879464871528844
16,sett_cutoff,sett_stratify_split,,,,,,,,0.22585039356657013,0.6774878600167837,0.03157409366859103,0.05116354404137224
0,sett_cutoff,,,,,,,,,0.07574584909547172,0.07574584909547172,0.017579633823580295,0.017579633823580295
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007856277425320883,0.6943029266254714,0.002648671216369229,0.05143082011327927
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.005493444879750781,0.6907486778691734,0.005982272149338857,0.048438989581204975
2,sett_exclude_features,,,,,,,,,0.005372640573537925,0.005372640573537925,0.003860808590298689,0.003860808590298689
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005095226574059846,0.694952971229938,0.0032212552796713834,0.0511123543695368
7,sett_scale,,,,,,,,,0.005087499806787368,0.005087499806787368,0.004386086594288869,0.004386086594288869
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005002374375466207,0.6925843517652099,0.002888039023761194,0.0496337840127001
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004988247688989463,0.7263001044235264,0.0029461777902160874,0.052357685651381526
44,sett_scale,sett_stratify_split,,,,,,,,0.004437152236736141,0.38541626939826557,0.004513746703646875,0.03116618462716349
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.004094316923155034,0.692435614380413,0.004547188732866816,0.049307430092927866
38,sett_model,sett_stratify_split,,,,,,,,0.003947555872253504,0.38174699145226365,0.002310764317551166,0.02887776867187184
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0037581872619691253,0.7220266108765274,0.0042722738841843326,0.05196621902490576
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0037542583392399845,0.6887359431495332,0.0018640699738880172,0.04980181797139352
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0037498901932813728,0.09628699246087633,0.002715883227739737,0.01602774080173958
3,sett_exclude_subgroups,,,,,,,,,0.003713929210738042,0.003713929210738042,0.0030820788852123607,0.0030820788852123607
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0037012947282393264,0.08481978439724897,0.0019588856676165532,0.016506554680170083
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.003679678202492257,0.09823699615419823,0.0036090129572109663,0.016962557163300862
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0034038304746810814,0.7193997878286116,0.00218851720072537,0.047576239311237035
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.003339412092269251,0.08279919039847901,0.0015984856430620133,0.016305345918024076
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003295949337317091,0.38456020726559703,0.0030706343621342007,0.027489748618350813
