,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.33870849774215717,0.33870849774215717,0.047635130439363293,0.047635130439363293
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30351342442856244,0.7284485037202929,0.042241325312574775,0.04996799925554829
0,sett_cutoff,,,,,,,,,0.08622658154957333,0.08622658154957333,0.027319253557314252,0.027319253557314252
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00899027567558093,0.7566194325341417,0.006477862634340025,0.04146340498492549
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.008044107045564007,0.10066801824282497,0.006575077704724527,0.034933303695700454
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00741540385908554,0.7493375002145073,0.00508533528427023,0.05386878260321421
3,sett_exclude_subgroups,,,,,,,,,0.006397329647687638,0.006397329647687638,0.005602178461701287,0.005602178461701287
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0063097250937396605,0.740222883183385,0.0032777021608725496,0.05006606043714896
2,sett_exclude_features,,,,,,,,,0.005200990744464851,0.005200990744464851,0.005348726566804247,0.005348726566804247
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005195647964849343,0.7451469582067796,0.0030134989556919074,0.046448917850266246
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004739216445016184,0.34984504383486104,0.0038958918523449913,0.04230412527432002
6,sett_preprocess_income,,,,,,,,,0.0047017701889006305,0.0047017701889006305,0.003343364552580669,0.003343364552580669
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004625321055613052,0.095553672794087,0.0038235824154146452,0.02776132218978231
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.004290882753748198,0.7889299434591597,0.005129555853191874,0.03917995313754139
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004146501390615095,0.3475567693216729,0.0020982560043585597,0.048713629773825394
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003670019297682639,0.7699883805688815,0.00255425480592344,0.05576701169387635
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0035288079288535073,0.09495638022289168,0.0020907709647186795,0.028781813842630483
7,sett_scale,,,,,,,,,0.003331126707895409,0.003331126707895409,0.004562913760174668,0.004562913760174668
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003077726770346183,0.11483250875009907,0.0035616250423722703,0.03948441751874458
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.002993660923722737,0.7646259097629757,0.002514174379645489,0.05026837726061795
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002897407308629343,0.7644034090620297,0.0020081858513225676,0.048419537056564745
