,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.38375314545930433,0.38375314545930433,0.03134613842976818,0.03134613842976818
16,sett_cutoff,sett_stratify_split,,,,,,,,0.24462163200267853,0.6913320899114437,0.04129673210268902,0.04961719087830815
0,sett_cutoff,,,,,,,,,0.06295731244946086,0.06295731244946086,0.01862839713857709,0.01862839713857709
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.010784000782933952,0.7144146776684126,0.005328827925669964,0.05053450405510925
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00816955697118665,0.7128947201292337,0.005759758662386518,0.050788101919807496
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0077342432511233235,0.7103881518950219,0.005553443803701943,0.04433932223771885
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0070642020527356165,0.7117145898626746,0.005902614664220065,0.04748497785635967
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.006836792582851427,0.7056715605794424,0.0074352685720627445,0.047399840770010346
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006263250159566509,0.07171467584597817,0.004323348256543642,0.020396584705874778
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0060814056605528475,0.7422348305636395,0.00781182926019779,0.05389330871049808
38,sett_model,sett_stratify_split,,,,,,,,0.005707878852240642,0.392118815943894,0.004047391013540421,0.030776802255917696
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0052305306685229164,0.7488260998381607,0.003972581923197934,0.04874457630469029
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0050033799275410054,0.7470567642123087,0.005028648942502509,0.056733715635480915
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004969414107732471,0.07234582239341408,0.003242174927017152,0.01766189855327558
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004801343059462914,0.7482051877209868,0.003748610010867759,0.055348791003213764
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0046357098500860415,0.3908829685463412,0.003649814044412026,0.031835598358282265
3,sett_exclude_subgroups,,,,,,,,,0.004419095836220759,0.004419095836220759,0.003493351344954766,0.003493351344954766
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004311476221853918,0.7458089178460799,0.003161992376855623,0.04616698306555309
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0042481708123171796,0.3919773006649975,0.0025481758867966125,0.03172582034528717
2,sett_exclude_features,,,,,,,,,0.003975984393376014,0.003975984393376014,0.0037428214510355547,0.0037428214510355547
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0039442039703895555,0.0856085553067254,0.006339313047997285,0.02149253999598562
12,sett_cutoff,sett_model,,,,,,,,0.003932916489445215,0.06954802057125509,0.002053024916800583,0.018102226245792143
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003929787954541939,0.39210202925006704,0.002718215341636604,0.03104917394941445
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0035543530572047107,0.7407561615540553,0.0022833510112879,0.04309949282611259
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0035322799496918487,0.07975918221448419,0.003713375059514979,0.016385263851777316
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003450930518128201,0.08437268109925539,0.002229628648862066,0.017042615969333565
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0033622409659474248,0.405815160766523,0.0024980189143117095,0.029951011640758935
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.003347338376964247,0.40490105532921566,0.0033700240155032576,0.033635208027942606
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003343989098925332,0.08340747332305844,0.0023138543109901366,0.021278459790190093
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0031576236597098406,0.7422231605560494,0.0031421444986333663,0.04122866717749943
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0031139911913387218,0.06797203309701651,0.0028148684827762776,0.017518293133156254
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0031069612121912915,0.08653201161727024,0.0032877988227256855,0.023246709124085673
