,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3676314968805541,0.3676314968805541,0.028076125977895106,0.028076125977895106
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2706801760641036,0.7257698044396059,0.04652706390430669,0.047152482181390176
0,sett_cutoff,,,,,,,,,0.08745813149494819,0.08745813149494819,0.014880484155864791,0.014880484155864791
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008271259932451256,0.7497938779573459,0.004599457287363079,0.04374425855020538
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006666131501643637,0.7409376703070297,0.004099092734051367,0.051638097665934204
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0062539561997924376,0.7397784864932281,0.00527747094115718,0.04878626015963507
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005595930658339985,0.09818505584152333,0.00429796927578381,0.014882851319295063
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0051550970481987965,0.7387674184108259,0.003118849450444233,0.04693303972936017
3,sett_exclude_subgroups,,,,,,,,,0.005130993688235153,0.005130993688235153,0.0024599390323922776,0.0024599390323922776
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.005081254304995992,0.7409389245491576,0.003715056185065756,0.04770409596749163
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005025889238713611,0.3777883798075028,0.0028140551601884022,0.026812543358942814
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.004619638925971765,0.3740308750628604,0.0022616895636295383,0.027503341219532556
12,sett_cutoff,sett_model,,,,,,,,0.004573863381816928,0.09379638107048167,0.004331216477680705,0.0158689682925277
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004437199909365572,0.7776470548608038,0.0023095667514330064,0.05097684196479368
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003855811198912165,0.7774112839153497,0.002020480122169605,0.04068130202863683
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003830988488883675,0.11024371553912943,0.0028257673781158866,0.016632796406967604
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003688487622249258,0.09292635837353205,0.003030985549503735,0.014042399202822147
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0036747454524831916,0.10972408589534716,0.0027541860192564767,0.014243071482034686
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0036462538831490733,0.7660540186145648,0.00461278007752963,0.06032584965957335
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.003572039050950738,0.09266707253773135,0.002808115752988872,0.014666325903012947
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003539633492158999,0.7736545980371113,0.002680929541199081,0.04221257601146977
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0034146497697051742,0.10441511572487241,0.0048065512139196225,0.02037536259947616
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0031342919618674767,0.7737286907139282,0.0020738668995485,0.04176835276453935
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.003057539469235611,0.10841494695221861,0.002577309218953149,0.01771608133016831
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0028329203149952647,0.7642351880232714,0.002080652826789148,0.0536315050057928
2,sett_exclude_features,,,,,,,,,0.0027416907988079358,0.0027416907988079358,0.0016519896292012805,0.0016519896292012805
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002712368322722273,0.37308555600208426,0.0017522236595836004,0.0281493705467403
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002556785126232922,0.7625783221261713,0.0027384793811337147,0.05603534290236254
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.002545784811046587,0.3718141836834331,0.001754487189868976,0.02755402083704309
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0025277010045959046,0.3861333734292509,0.0015955160273801049,0.02736746670495899
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.002521671474300189,0.38910548718686616,0.0017467891465043606,0.025984675228161083
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0023960577227567937,0.009306790667326537,0.0017648835977382544,0.003455101110007146
10,sett_cutoff,sett_exclude_features,,,,,,,,0.002388457801491096,0.09258828009524722,0.0016068877072105052,0.015599552565283505
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0023216940997366955,0.1079340811191535,0.001682766186323935,0.01364615589422997
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0022517545062456716,0.3864412112517378,0.0017466591581932604,0.02648009028385971
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.002223737763112794,0.12646629711454885,0.002706020896356029,0.014991190859726779
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002223730105990105,0.38750837207618377,0.001946895124010633,0.027202314379102213
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.002218390135110298,0.008986285815177885,0.0019515531904280134,0.0026153524067556917
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0022065769770355367,0.10311963228639771,0.0026874285293886904,0.017400272259471824
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0022046805911050222,0.7607521662630203,0.0019010127210545365,0.046631548863530006
38,sett_model,sett_stratify_split,,,,,,,,0.0021634847902466826,0.3715593678645173,0.0010267940181405428,0.02877518313101177
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0020516187591562715,0.379788817268455,0.0018980884502022993,0.02868379843967024
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0020422030411606324,0.009914887528203721,0.001671159736908581,0.004148767432905375
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002003063918620184,0.10297077025355572,0.001427277676911272,0.015602884005806918
35,sett_model,sett_preprocess_age,,,,,,,,0.001995143841902396,0.005396432027451387,0.002522807053968395,0.004314997521198116
25,sett_exclude_features,sett_model,,,,,,,,0.001986525638581471,0.006492602631105965,0.0024144019307554224,0.0032543470632397024
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0018931501060716058,0.3808931027307006,0.0021018595480721057,0.03157711732944196
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0018904612847722804,0.10117501003060321,0.0019494224483696584,0.015704273500070292
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0018894216331889336,0.008784801515140645,0.001125465630089902,0.0027665108812239057
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0018785039614698429,0.7611582029695197,0.001768526810002597,0.04866962814379888
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0018171518831047475,0.10130149413857387,0.001833417378892602,0.012901425092757858
6,sett_preprocess_income,,,,,,,,,0.0017797392563345892,0.0017797392563345892,0.0013034367860571632,0.0013034367860571632
4,sett_model,,,,,,,,,0.001764386193716559,0.001764386193716559,0.0015673908334576452,0.0015673908334576452
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0017228104457074657,0.8155748892110313,0.001228784785211872,0.05459469726662482
36,sett_model,sett_preprocess_income,,,,,,,,0.0017030983858700032,0.005247223835921151,0.0014334443445940192,0.0028026765774441277
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0016760033121337287,0.8142744130655443,0.001470759862481559,0.03790382609488092
5,sett_preprocess_age,,,,,,,,,0.0016369019918324327,0.0016369019918324327,0.0013949829442507524,0.0013949829442507524
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0016032534562000428,0.01611437908962323,0.0020063417782822733,0.006496217237668561
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001600465476901504,0.12728538201590386,0.0016557244061821735,0.02055313773103891
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015893149872046022,0.3812511594198983,0.001071131332899559,0.028621288542717307
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0015411275877608818,0.12804892807790383,0.0013228391970002192,0.017723424579084053
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0015316349740905123,0.12804542565854088,0.0017542011817443918,0.01918359877029564
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0014924440947655685,0.38220542005115604,0.0015437716088659902,0.027011449837117306
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0014471594560633788,0.8182777512423959,0.0010653458137898728,0.05019589654679049
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0014279011765075233,0.75716262563706,0.0013896596809107415,0.0482760717058178
39,sett_preprocess_age,sett_preprocess_income,,,,,,,,0.001349042839153921,0.004765684087320943,0.0016629960565213858,0.002222986355287039
