,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.34296517273942395,0.34296517273942395,0.03095994479496372,0.03095994479496372
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2732558488766861,0.7108667025694004,0.040405293470676555,0.0670442999163271
0,sett_cutoff,,,,,,,,,0.09464568095329043,0.09464568095329043,0.01994691389165159,0.01994691389165159
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00943901474433453,0.7353170665188806,0.006479778380178039,0.06370557092695377
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008718797744161903,0.7303751134797899,0.00992234184886773,0.059509866931580856
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0063127225008006455,0.35371983508356386,0.004344838602397172,0.03173093093992771
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.005322191886864453,0.7645618995070823,0.0038889843242174045,0.06138500387085586
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005185019179450407,0.7241399089387355,0.004286295894645944,0.06351421105664529
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.005107389507757281,0.3621201676071238,0.008890058223492333,0.025736987334013656
38,sett_model,sett_stratify_split,,,,,,,,0.004994978599932207,0.3497350137880151,0.004077529304828682,0.028763239150003495
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004897440296889886,0.7672988916312784,0.004582461736509044,0.056320994651237626
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004482269176921723,0.7248694826182176,0.003299361074950756,0.06527529207835231
3,sett_exclude_subgroups,,,,,,,,,0.004441939843339257,0.004441939843339257,0.003452235340621972,0.003452235340621972
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004341340381437882,0.10110207918197506,0.0035194629118124616,0.020683387399311134
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004256686861005705,0.10334430765763539,0.0029085909020647093,0.016499074268457325
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.004244115178464027,0.7221440303628501,0.0034291430210914953,0.06554704541126435
12,sett_cutoff,sett_model,,,,,,,,0.004019772117636374,0.10044031551958578,0.0033684893726600015,0.01867569904897437
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004018020585371869,0.7544141173650675,0.0039685162323206315,0.05514221123401761
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0038940198878858246,0.1159794600664111,0.0032341300012397787,0.017091266090803445
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.00374110687242917,0.3649248467386557,0.003149322745612515,0.029185506445199946
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0035234736692059737,0.3488419096950929,0.005086810023040975,0.02880077994618404
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003447326465915297,0.7569840818916449,0.0032558967998715565,0.05723808569328966
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0032671476195190153,0.7587213504007027,0.002756246944640916,0.05787818996571049
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031754158074425625,0.36038967560677004,0.0032772042131191336,0.0242617154090288
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0030641126432106956,0.3481443432298814,0.002534477616916167,0.028133503093813322
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0029354992392349763,0.3653275982600214,0.00306680249841643,0.02995515203351339
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00293015310694833,0.3646177192043028,0.0034051034524377067,0.031376611346573956
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0028769558285301703,0.718615126685757,0.003719897310700401,0.0689194454958491
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.002738051777251908,0.11377941688981409,0.0017145214246227457,0.013874546506379187
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0026356532359066882,0.7546895497332622,0.0018963157107782784,0.06231989096100939
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0026331842879260946,0.09909640411052725,0.0019787923001913796,0.02062046100892004
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.002582489457748819,0.3473652010664835,0.001875089409105469,0.029902187782595863
2,sett_exclude_features,,,,,,,,,0.002353263286462982,0.002353263286462982,0.0016143810341751217,0.0016143810341751217
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002284734292205259,0.008841731982791262,0.001978708959992794,0.004608131765060905
7,sett_scale,,,,,,,,,0.002263895780235666,0.002263895780235666,0.0027374204784319472,0.0027374204784319472
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0022114502342156037,0.09921039447396901,0.0014273810344065186,0.020447284096333767
6,sett_preprocess_income,,,,,,,,,0.002115057847246746,0.002115057847246746,0.0022422604099592305,0.0022422604099592305
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.002107443686834694,0.748819184123406,0.0014833059817354844,0.05643061084078904
36,sett_model,sett_preprocess_income,,,,,,,,0.0020985938208939294,0.005988514116799643,0.002926785687922733,0.005411030360436044
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002090994058121687,0.008886197187923925,0.002746681339453663,0.006304996703104851
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0020323687997661913,0.3576808254202567,0.003098112317898676,0.026719854126491485
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0020092937360051194,0.7407292975954282,0.0013712119374286564,0.06041085155187852
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.001992184961379656,0.11131365654500353,0.0016350159481286946,0.01839453135293632
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019698520674847697,0.10857739016339257,0.0018087423507195982,0.02053427902163177
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0019528785684714157,0.11094818613763574,0.0015350493988922364,0.020873731066749553
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0019408764548938806,0.3615871806342689,0.0015603312467244728,0.031085806903307537
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0019271747550753877,0.7424855413506032,0.0012993227681311094,0.0633995647595416
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001902422888631451,0.008119225180629675,0.0017035246625814497,0.004724394251564413
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018830657232524035,0.3553687555031111,0.0016602233458383525,0.026604419946380745
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0018427827278980234,0.11184279796433369,0.0014305847904765767,0.015412852107851014
5,sett_preprocess_age,,,,,,,,,0.0018175388693107298,0.0018175388693107298,0.0014905701297232932,0.0014905701297232932
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0018137972017243952,0.3755563941274148,0.0032746777469820024,0.024957630125547005
4,sett_model,,,,,,,,,0.001774862448658968,0.001774862448658968,0.0014445887423365617,0.0014445887423365617
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017497054141563332,0.7426257832025134,0.0019527917396448423,0.06221236945773907
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.001654545363266714,0.35554164495468604,0.001605134690747995,0.027226643540141846
25,sett_exclude_features,sett_model,,,,,,,,0.0016025090556434467,0.005730634790765398,0.0017305956198092895,0.002657945311819083
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00158762783403173,0.8063094200806064,0.0015394630867071868,0.05250053170366338
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0015871722376904897,0.10808129279982008,0.0012015702160958221,0.022037104248819803
44,sett_scale,sett_stratify_split,,,,,,,,0.0015711344603435106,0.3468002029800031,0.0014352392099147924,0.03176575554435341
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001530238228410609,0.813743026081861,0.0013524070469312709,0.053371227118609775
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0015264407687516535,0.0077859194814016396,0.0017942381538488743,0.004623801047632391
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0015135158581496837,0.1079179690403881,0.0019197352394218173,0.021059151149948836
35,sett_model,sett_preprocess_age,,,,,,,,0.001513414505415808,0.005105815823385505,0.0022813663177055476,0.0038771855359049315
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0014124193596282038,0.7466955048353355,0.001289009530837514,0.06613907073602888
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0013444148703910907,0.7364375033999913,0.0014900201872066784,0.06673225230049011
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013378977744040298,0.38323302496499956,0.0014596590823215791,0.029429236973940814
226,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0013370711770350212,0.3771373840646942,0.0016015084710796143,0.0317226636196342
183,sett_cutoff,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,,0.0012227555420681016,0.7330635364019338,0.0012776006985126666,0.06734725956771744
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0012215144653374924,0.7878800170181999,0.0009067926216677059,0.053418049562561985
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001185689527559914,0.13248478881780953,0.0011249146752446712,0.015716787193496323
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0011690779760212928,0.35575820358930355,0.000978426530829421,0.026331338299763366
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010827878244493076,0.7972390139281627,0.0010524731081071495,0.054083194141535285
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010441277410781309,0.38561577858713714,0.0008479512788280851,0.026939427939994303
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.001042784149780748,0.1061154724843284,0.0014153039160276863,0.020502854591179894
15,sett_cutoff,sett_scale,,,,,,,,0.0010364380472471493,0.09794601478077325,0.0008617008397288614,0.019431537361211424
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010236421673580258,0.7812503665951005,0.0009214185888201574,0.04860871693852846
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001023201496378536,0.12776518976276824,0.0009092385614133437,0.015283281407322918
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0010215442898227809,0.37950833065577505,0.0012102567541705546,0.03018761160870496
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0010155412001176584,0.013890879595370859,0.0014476985425275648,0.008457461819858634
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010109783959003152,0.7962688887174478,0.0009371559291228945,0.05359570883489553
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0010030601947044234,0.10530933939517716,0.0005294137680596462,0.02112603685766456
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.00099626539705136,0.10723110352743687,0.0008178502671974464,0.021391144116737794
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009512081823994732,0.37210755501006043,0.0011898391955123566,0.02199823875404894
39,sett_preprocess_age,sett_preprocess_income,,,,,,,,0.0009413182229177048,0.00487391493947518,0.0007080224340318381,0.0029749662697552285
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.000941255470032777,0.7934724139677437,0.0006328834998202272,0.05912915156925971
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0009404942685998963,0.12804160613247909,0.0011128774377274725,0.020686185153108598
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009399181945576156,0.7879564434433656,0.0008707476408867679,0.05626180737642963
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0009269321028043899,0.014780966857912189,0.0011321223207385244,0.007726829351398845
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0009155153594442759,0.1263659040712073,0.0009129422051599548,0.019146818497946104
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0008999956973824042,0.12337590551317319,0.0008188386689061803,0.01828904815429951
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0008917199467491074,0.015057711527606899,0.0009420767986976712,0.008506202925917694
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0008916150018928613,0.10812421687763961,0.001383377029557195,0.01565943763151006
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008624331458604812,0.7408412273493159,0.0006502942479648581,0.06132223179365974
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0008601563250551717,0.1278293496257522,0.0007815781075844093,0.015040797922971924
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0008576901921526492,0.7859676384652976,0.0006586192558713231,0.053996884350904946
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0008522337401549965,0.011113019454598883,0.00110196528602727,0.007527745563462245
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0008347163870060646,0.10509432959761478,0.0014417043193506508,0.01770330463325738
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0008330576022944703,0.015450668743270082,0.0005692618478780339,0.007244516256095955
68,sett_cutoff,sett_preprocess_age,sett_scale,,,,,,,0.0008301419604181219,0.10374967934075549,0.000703628629871971,0.020310829658965225
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000774272305612347,0.12126285946528013,0.0009190255912450935,0.013011243531933203
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.000762122320155561,0.3534117711157059,0.000998003395140117,0.028798987273966375
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0007581919305777983,0.7339032787777724,0.0005433176253452373,0.06544646359113122
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0007533756850299814,0.7817318373389678,0.0008469367091081209,0.06154495737801853
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0007380194479488648,0.35888084516272045,0.0006730448811834747,0.033189440336060895
139,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0007316990703181215,0.7395850344963224,0.0010391326060756434,0.061655093054650216
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0007279004774275162,0.3781433201643513,0.0007203870228397643,0.02894753809153314
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006937381192193488,0.37693412680424204,0.0005585995964574651,0.028339857966587743
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006770338570686031,0.12248359771626985,0.0006435280334010742,0.024043318197111925
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0006746925710152882,0.013651311895123155,0.0006572375882939851,0.007105443131250355
