,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3371805279166221,0.3371805279166221,0.027689112944518646,0.027689112944518646
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2700394269753096,0.6808211024298388,0.034609886985102034,0.04681962668827807
0,sett_cutoff,,,,,,,,,0.07360114753790724,0.07360114753790724,0.014958317469433843,0.014958317469433843
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009424175067770463,0.7003979880181057,0.007360978172101144,0.04645749248451503
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008166151152414935,0.6969767671818037,0.005578487910499641,0.05190515752325663
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00708657167093929,0.7024825039981694,0.0045446029579100196,0.0475776582795426
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0068614782607472734,0.7001407907267463,0.005408671042591619,0.045536095966075836
2,sett_exclude_features,,,,,,,,,0.006572597365439067,0.006572597365439067,0.004439095949737631,0.004439095949737631
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0054778146230020155,0.08283456791672689,0.00352252191403382,0.013166088836292186
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005341409518571507,0.34627754319101123,0.0032597708423208675,0.026330697740545184
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004232154236604351,0.7309598210350227,0.0033378633207730136,0.055644017761927365
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.004137437086685902,0.7349023054344738,0.002530424502381834,0.04366662930851376
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0041191251170497635,0.09925664143478072,0.0029654657092690697,0.015211564885118562
6,sett_preprocess_income,,,,,,,,,0.0040596408816735135,0.0040596408816735135,0.003596462639510942,0.003596462639510942
36,sett_model,sett_preprocess_income,,,,,,,,0.003920724094405114,0.010321745651982761,0.007164310324110761,0.010277207260181878
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0038688135256413608,0.7310377479979717,0.0036583545711759446,0.044976393525146575
