,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3301752767636822,0.3301752767636822,0.025746573397770672,0.025746573397770672
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30300712174950484,0.7264948282932693,0.03546173037589992,0.03993983587630095
0,sett_cutoff,,,,,,,,,0.09331242978008228,0.09331242978008228,0.018203628021409887,0.018203628021409887
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00953413967098496,0.7445450851114594,0.00562310573064493,0.04048897985394084
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.007619493467577764,0.7462462031281262,0.004509089352050209,0.03791559931265063
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005636381632366575,0.7420409839530031,0.003720454942181396,0.03616354265670772
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0049502443850212505,0.10142615734457577,0.005741199328993989,0.01633647597973395
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0049111413285456654,0.1139433518359366,0.008331528457940917,0.02084192380868717
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0043671361269902904,0.7733080321091914,0.003120862774528035,0.03372431114114988
38,sett_model,sett_stratify_split,,,,,,,,0.004106877672191886,0.33535494164117063,0.0029619152428165887,0.024948543246119354
2,sett_exclude_features,,,,,,,,,0.004041249268999304,0.004041249268999304,0.0030423421292354977,0.0030423421292354977
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004018153802785656,0.3373569137459401,0.0023013288336187613,0.02538860244761864
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.004014191999221918,0.7717256368256189,0.00399767530699117,0.038729518084059576
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0038599520346687373,0.7387808447553994,0.0032505379355479425,0.042376651877967325
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.003752036342236085,0.7377520347611641,0.002397118631978026,0.03874277632942684
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003492863608727929,0.10084654265780951,0.0022416171844730002,0.020023567391731296
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0034044254249409583,0.7661030543876801,0.002724811553792325,0.046368099497934946
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.003399556257403894,0.7691291530828397,0.0025756395556086904,0.03676282394144657
6,sett_preprocess_income,,,,,,,,,0.003393011095114897,0.003393011095114897,0.0021570669963193265,0.0021570669963193265
12,sett_cutoff,sett_model,,,,,,,,0.0033364522697166736,0.09772166925509547,0.0019500766307745173,0.01847055980795157
3,sett_exclude_subgroups,,,,,,,,,0.003163483179472241,0.003163483179472241,0.0025039320093081232,0.0025039320093081232
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003011561390131587,0.7717863114228605,0.002219791144170449,0.036517341709856946
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0029870900598476247,0.11336659691339726,0.0018327411187426478,0.02005084222609913
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0028356877618417094,0.09954112863703889,0.0020893169691733136,0.016526335668585947
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.002767376894246063,0.7621249929566983,0.0019857520967450026,0.0373656539763608
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002742210503246985,0.347935271299073,0.0027892959724399946,0.023620291029925237
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0026913902692874145,0.00842985807739706,0.0033106445794619166,0.007182109274038451
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0026055036325427633,0.34781929950853874,0.002259589214837267,0.02535185067065246
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0025905072321310615,0.33534076862445067,0.0014394070466932174,0.024539314110088865
5,sett_preprocess_age,,,,,,,,,0.002574984628637404,0.002574984628637404,0.002820202102533117,0.002820202102533117
