,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.335950461202786,0.335950461202786,0.02847312375332936,0.02847312375332936
16,sett_cutoff,sett_stratify_split,,,,,,,,0.24492349155925103,0.6555585783268638,0.03174166994124544,0.0462769162810111
0,sett_cutoff,,,,,,,,,0.07468462556482687,0.07468462556482687,0.01437603672773872,0.01437603672773872
2,sett_exclude_features,,,,,,,,,0.01147229577778311,0.01147229577778311,0.005911367469443193,0.005911367469443193
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.008352240211233944,0.6845264436888796,0.004749845189232094,0.04446030869363247
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007199704366758843,0.7263222496049684,0.005839652709749116,0.04877596407010669
25,sett_exclude_features,sett_model,,,,,,,,0.006773677117848235,0.02074512932580793,0.0070414537621859155,0.012888821785468688
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006474563665838388,0.6729335857923247,0.002281890410130563,0.04479038189280666
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0062718453378287796,0.6754887977246926,0.004733891590118415,0.04518339381505226
12,sett_cutoff,sett_model,,,,,,,,0.005608611507202984,0.08279239350220644,0.0037302544418875154,0.013153231661054305
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005569712675891988,0.11141967138546122,0.004097736171135848,0.017805669131150035
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005215997339266626,0.7215848690553506,0.0031172883233642145,0.04659104699938801
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005106905438894339,0.08458206878523947,0.0034954368373357834,0.017844323009804743
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.004877704290128963,0.368697707742233,0.004245239234517869,0.03245216700651137
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004811592311731444,0.09096851365434143,0.003796280088232524,0.012535078730078721
6,sett_preprocess_income,,,,,,,,,0.004790537781518251,0.004790537781518251,0.005321607928158114,0.005321607928158114
3,sett_exclude_subgroups,,,,,,,,,0.004749437125753252,0.004749437125753252,0.0030031044333309405,0.0030031044333309405
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.00472133448184644,0.3454212328103857,0.0037620919724315684,0.028935515365129266
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.004631368307763543,0.10845260039826973,0.0027630914685404153,0.016453699921983405
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004592949527519395,0.6739533322541669,0.0022720011770246597,0.042558524164120995
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.004331737061267231,0.35175449404183634,0.003045798204512881,0.031080159618461868
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004187602452400158,0.08362166514298028,0.002299595432234391,0.015920626325917533
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003915678858011362,0.02013741176154772,0.00264464154581622,0.007167615180678458
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0039043611793709966,0.34464536016367525,0.004750778717674206,0.027352533987947014
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.003801328336317044,0.7028991636074868,0.002717877188573534,0.04499843267686895
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003754130344093118,0.7135557740504044,0.0018011444998208203,0.03697589791719349
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.003606987341212691,0.1416673974729818,0.0019181197133468998,0.02309547769182309
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0034483638532973584,0.6641982976714508,0.0019351750470726235,0.04607831197829241
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0033651614636008133,0.3685061059710482,0.002539731998612488,0.03320088465194954
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0032592004246088206,0.010507793980538655,0.0023126561776032725,0.005278116205438031
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0032252653949511353,0.0982138988999198,0.00198475414878401,0.01711741897843897
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032082078867197855,0.00934444942533131,0.004953616923644421,0.011517493601803373
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0031546215151200523,0.7048968701477412,0.0022835644414821708,0.044343623222253235
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003013647321185558,0.7867857620275762,0.0015862582466841108,0.04971787201453007
38,sett_model,sett_stratify_split,,,,,,,,0.0027926758622428115,0.3412422934952054,0.0014988462500627603,0.02756089123743498
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0026721861828196344,0.035341631917001,0.0017317638076976183,0.013422199445320524
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0026555820212180625,0.7020867693475052,0.0037318663643417997,0.04026691350540244
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025136896409299544,0.36499492323311583,0.001372927828801834,0.028267131992955163
4,sett_model,,,,,,,,,0.0024991564301765842,0.0024991564301765842,0.0026788539427144574,0.0026788539427144574
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0023939776229077716,0.35636624315032167,0.0016583608667205235,0.028324736564803523
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0023349158597384956,0.10523271332395277,0.0009240492255580155,0.015467113057469412
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.002320599202460474,0.35918914498090904,0.0016011532575407105,0.03063326579216738
