,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3302547645437391,0.3302547645437391,0.03890512037796876,0.03890512037796876
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2767056149550943,0.6763345977276829,0.044353081007552315,0.06141196532217472
0,sett_cutoff,,,,,,,,,0.06937421822884951,0.06937421822884951,0.015583734850619523,0.015583734850619523
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.014130510405311702,0.7048082662083462,0.007673378066005458,0.060569816079264954
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.008810305383703653,0.7011820115787963,0.008797603089446401,0.05178922244625715
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.008177695449173267,0.08066374487506392,0.005345986018308274,0.016893708355418487
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0072965313143344875,0.6960393084601757,0.004968618398960015,0.05955601315670027
12,sett_cutoff,sett_model,,,,,,,,0.006757802613025455,0.08039536745133982,0.003861838866520919,0.014333526792035365
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.006675789186099785,0.6897554054557581,0.005831349789870618,0.0619704940788993
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006572687814824542,0.6961780149643249,0.003122551731481938,0.05973374292417886
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.005609482666072287,0.7424752050326221,0.003699199342807707,0.05769550686294825
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005558436372864736,0.100519351819049,0.006275830187302089,0.01562885730339608
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0055312509855236554,0.09803078583947103,0.003746357401245619,0.01869249232428658
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.005125005411600483,0.07794963275320976,0.0024036894658271634,0.016545341203818623
2,sett_exclude_features,,,,,,,,,0.004860720040248408,0.004860720040248408,0.003644922152821815,0.003644922152821815
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0047961747310242865,0.33991165931501177,0.003723545651702372,0.038367079351944826
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0047475818211953555,0.3381141775619756,0.0035308794718824895,0.035853778154972885
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004470948123363506,0.7283524752263881,0.004970953321323627,0.05651873091980828
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00445453613798849,0.7452683326831218,0.0046040962584964285,0.05252665386534828
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.004419281177755579,0.7293361026165945,0.0036004949145357337,0.06354615912200903
4,sett_model,,,,,,,,,0.004263346609464858,0.004263346609464858,0.0023637171095076096,0.0023637171095076096
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0038327648937981377,0.337537938550297,0.0024487864907660264,0.038193715287449144
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0036138346505446787,0.0778487729196426,0.0023465136636873153,0.016829991514720834
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0035287528782472913,0.011242508600471927,0.002266198742445755,0.005246578116330469
3,sett_exclude_subgroups,,,,,,,,,0.0034504091127597752,0.0034504091127597752,0.0025454001448537533,0.0025454001448537533
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0034185965476477864,0.0921102503070425,0.0023884494269381324,0.017806397569348743
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003416556834700887,0.7303272231437419,0.0034511915617199376,0.04789645376261015
38,sett_model,sett_stratify_split,,,,,,,,0.0033220088528612937,0.3378401200060653,0.0019166900945866768,0.03725308589365486
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00331409226932733,0.733997314565437,0.0018913974488444763,0.055944557425613536
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0032927415619397843,0.3519447884528103,0.0022541306601417755,0.0384749020031752
36,sett_model,sett_preprocess_income,,,,,,,,0.0032760213486300346,0.010651199155136046,0.0017071672400071137,0.004088148361760591
6,sett_preprocess_income,,,,,,,,,0.0031118311970411523,0.0031118311970411523,0.0016607751913103432,0.0016607751913103432
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0030396467183592987,0.3344178561564432,0.0019327898754446012,0.03849966320782175
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002983959963817718,0.729365483152857,0.0021760883964038373,0.048759263415365316
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002730254623803453,0.08842251797022603,0.0019475876409573267,0.013269774266526778
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002623723700530016,0.09309301195506595,0.0018053426493565491,0.013419274290063751
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0025819269292712875,0.07307959005246559,0.002077137454502972,0.01528760137259419
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.002528428663035239,0.12041251305611518,0.0023923135838651555,0.017697276558072322
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0025100904524668595,0.7216787729508084,0.0022046630351829632,0.05104825809763594
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0024738264699758813,0.7167995152486026,0.0019527255430827968,0.05876544103752575
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0024292617257324336,0.09286636602579096,0.0019090849107466785,0.019262757720053248
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0023659688071475016,0.34596070449738353,0.0018932811312041113,0.03821853918775764
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0023236587641788523,0.35129921313711066,0.0013079357401884189,0.03393541731264553
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023127385431673704,0.35177503818012895,0.0024032215984188194,0.0372310268843809
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022674663153918607,0.010578595468400042,0.0019287399836175345,0.004823138881876613
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002192461784121926,0.09305786194842,0.0014699465602149903,0.017915203203529413
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021571710336687486,0.3512270481011186,0.001957104414905599,0.034485874681484334
