,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3221512900621149,0.3221512900621149,0.04902709855858067,0.04902709855858067
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2685618555135776,0.6604050118251792,0.05404129365350696,0.10202427097498074
0,sett_cutoff,,,,,,,,,0.0696918662494866,0.0696918662494866,0.01834576431405328,0.01834576431405328
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.01097835039579129,0.6831506525249776,0.005130484582774526,0.09843294099911533
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.009705058401294023,0.6855966026424616,0.008330901396424558,0.09869790483891921
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.009546043350900079,0.6854147224070416,0.005923765203998458,0.10023648158363391
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0072129972983226535,0.3331016951612161,0.0055035283598879525,0.04771565934775198
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.007080231892705316,0.7288203709195695,0.0048800127598451915,0.0962712213458353
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0067188958648732285,0.09565665488640938,0.007701925797922956,0.01824086478579092
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.006484630849454899,0.72895455426296,0.0034126356758512,0.08712651584011584
2,sett_exclude_features,,,,,,,,,0.0064366210068576585,0.0064366210068576585,0.006081216463792909,0.006081216463792909
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.005433296549377044,0.6745379807224734,0.003939642103659219,0.10365983179833067
12,sett_cutoff,sett_model,,,,,,,,0.005108489020289269,0.07723643764640692,0.0038274848966066174,0.016503998819193996
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.005087880051032169,0.3336757911200047,0.005470938131081988,0.04584572033204308
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004592278207337752,0.7202684518304882,0.0041391992548497625,0.09714404366678143
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0045205570972129926,0.6720960073662477,0.002783748805891956,0.10017540226497934
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004513262131861203,0.07794253618212638,0.002959359525057286,0.019984632898680015
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004492439147210984,0.07615349683843489,0.003909850479233835,0.018818893443554897
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004280869829328084,0.35219615781808167,0.0026591800875499297,0.04344874371018823
38,sett_model,sett_stratify_split,,,,,,,,0.004222718907086925,0.3288100913458329,0.002153622170340359,0.04814936004735667
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.004140012999302291,0.34735116088672585,0.002520821318851464,0.04377386843654626
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.004081126929397069,0.7093986195465338,0.0041821642482938225,0.09633966813025141
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0039620313580986605,0.08009051861444293,0.003300586944488043,0.021466101181707206
