,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3518907313907612,0.3518907313907612,0.036310236757385046,0.036310236757385046
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2539878644235904,0.6670533104830965,0.036283765591712196,0.0506477066786691
0,sett_cutoff,,,,,,,,,0.06117471466874487,0.06117471466874487,0.013610248617483363,0.013610248617483363
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.01048391991483942,0.699161557061621,0.0063644853169993465,0.049227007188477785
10,sett_cutoff,sett_exclude_features,,,,,,,,0.01037837654490569,0.079099044807075,0.006326556128475751,0.012579447200474783
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.00869534171845641,0.07589479645581505,0.006221161351118716,0.012521821039757925
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008153931522583037,0.6939345327406774,0.003624067809473157,0.041462138980555674
2,sett_exclude_features,,,,,,,,,0.007545953593424442,0.007545953593424442,0.005334454933632044,0.005334454933632044
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007483937751292566,0.6863173467607293,0.003688207038738611,0.04108715090358644
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.007268533918821862,0.7482282306433992,0.004639344903553733,0.044864629592380974
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.007019922855550446,0.1049544199921257,0.004635107932235546,0.014390602361049842
3,sett_exclude_subgroups,,,,,,,,,0.006024740068613776,0.006024740068613776,0.0027670808714619394,0.0027670808714619394
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.005967372741555269,0.6864828719771254,0.003354004206015294,0.0504158661757906
12,sett_cutoff,sett_model,,,,,,,,0.005829624862184466,0.06927969612453767,0.007020828278846938,0.012342949769863113
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005083273426353773,0.07121658836622118,0.003987575166494201,0.012190281810173963
6,sett_preprocess_income,,,,,,,,,0.00495860027112254,0.00495860027112254,0.003637273837869477,0.003637273837869477
