,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3707019956455627,0.3707019956455627,0.007643506903478662,0.007643506903478662
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3113438177411997,0.7582322917977499,0.008016993082615739,0.012621489770142057
0,sett_cutoff,,,,,,,,,0.07618647841098747,0.07618647841098747,0.005088404882415441,0.005088404882415441
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006429878782411058,0.7710118817596003,0.001809365749976919,0.013066573116695736
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0050423541684731215,0.08442612753446892,0.0013728433874443838,0.0056380840547136145
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004872395526030708,0.09621983111193083,0.0014731136565192427,0.006306419638902495
2,sett_exclude_features,,,,,,,,,0.004343112062406308,0.004343112062406308,0.001084976471026415,0.001084976471026415
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003806621030996332,0.7966050022556288,0.0009759472627906328,0.01355217027141902
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0036382941160917315,0.7923400566239982,0.0015607440712154183,0.015765200817536153
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0035476391004357092,0.769156807501912,0.0011246780941379562,0.013528444916478269
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0033690049558186557,0.7688399732987254,0.0013798898706256768,0.011438595934732895
3,sett_exclude_subgroups,,,,,,,,,0.003294275597098417,0.003294275597098417,0.0013076218031005497,0.0013076218031005497
12,sett_cutoff,sett_model,,,,,,,,0.0032717618946443605,0.07996121157893775,0.0008016744635605128,0.004774406969711523
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0032110381985175386,0.7897310979430369,0.0006917162000266579,0.012149744461262508
25,sett_exclude_features,sett_model,,,,,,,,0.0032109620420672598,0.008057045377779494,0.0008906371278519952,0.00106130261573137
6,sett_preprocess_income,,,,,,,,,0.003197294955008336,0.003197294955008336,0.0012873682386790421,0.0012873682386790421
36,sett_model,sett_preprocess_income,,,,,,,,0.0031465748834809144,0.006846841111795177,0.0008052563985891301,0.002014414210705007
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0029225334314842964,0.11085324746045244,0.0011666949940268025,0.008264786111448657
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028969120874953206,0.7885611719508987,0.0010883685949253155,0.012038442424165229
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002815178591680204,0.8273343512066043,0.000778405837202984,0.015271809684517352
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0027458025097087074,0.010383190169213432,0.0008037043311439602,0.0024525733389631397
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0026848912290768833,0.09147362347693722,0.0011687706883743555,0.006070387525855577
38,sett_model,sett_stratify_split,,,,,,,,0.0025749780114891043,0.3737799449303577,0.0008264979553819367,0.007505835789292043
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025720713211599007,0.7704659891986958,0.0007164390762842078,0.0125604581583881
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002279477372989029,0.014141877015039911,0.0009423800617755769,0.0034667835025363604
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0022052978365265027,0.3849007206485626,0.0006431320221557069,0.008531606895666864
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0020408486302978235,0.0922664604203323,0.0005500251082278293,0.00577634401452606
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002010842013521254,0.7858779898668953,0.0008372799491367812,0.010872844440361644
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0019835824457184173,0.0814643364538043,0.0006807180194098628,0.004983202378608876
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001973605848291262,0.8151687964157612,0.0007866695168805208,0.011862693365450871
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001968919601625428,0.3863763276959464,0.0006801498080947489,0.008180817461241573
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001960818502339979,0.3759570897450011,0.00043754047535367926,0.007312377269783
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019554433117480426,0.8184073867360421,0.0007751291578490977,0.013700864043370328
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001925883668874682,0.8263688597808596,0.000662191500147328,0.015960028349653738
7,sett_scale,,,,,,,,,0.0019196499719055593,0.0019196499719055593,0.0007414947493240398,0.0007414947493240398
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019106867025978798,0.8234904570369228,0.0008313865199581187,0.011974718027740179
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001891822646830626,0.10609392572060275,0.0008027847199322233,0.006254911917883379
42,sett_preprocess_income,sett_scale,,,,,,,,0.0017622298966435885,0.006879174823557484,0.0008774044566712787,0.0019221618613086489
10,sett_cutoff,sett_exclude_features,,,,,,,,0.001672360764115172,0.08220195123750895,0.0006239574848427425,0.005460561098760771
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001669503203158829,0.40026981500102654,0.0005252377643407993,0.008009007471746854
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.001659215912975469,0.7766421818632194,0.0005292830841812065,0.012737117508566632
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015864676654800077,0.8791019502012003,0.0004876391013957763,0.014670329437621862
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0015859159865634165,0.774948720628454,0.0006192551579103926,0.011477703377756531
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0015617202224338057,0.7852643844920557,0.00032988713812262023,0.013208836682630667
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015457453344442842,0.38166292295884013,0.0005326562078454954,0.006754110336238462
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015338316545744604,0.383079623379726,0.0002906672140060759,0.008186643606950613
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0014769646905095305,0.7610107963426216,0.0006515050648215984,0.012937674054114057
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001428053227772372,0.7802927287833208,0.0006489106290449038,0.012636791028766726
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0014221681049575734,0.8005348547804697,0.000812396711279339,0.013128005972943254
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014219769563046094,0.37532126755687567,0.0007277636860415357,0.007960218271433221
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0014168126737835395,0.08773802089013781,0.0005939547123312561,0.004897115007161163
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0013614037772048098,0.37640651148517384,0.0006358944158444452,0.008416753896342409
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001349105165550439,0.09053675161307692,0.00045656014733674584,0.005625653675068896
37,sett_model,sett_scale,,,,,,,,0.001333678661706556,0.003756299906918042,0.0005554528641908096,0.0011820845334151535
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012611095503140607,0.7980725141528859,0.0005296935339692798,0.011172541538096733
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0012334315085624392,0.7764601680424903,0.0005069210931357739,0.0137714170597583
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0012218633812096842,0.38233900520173264,0.0005275734701494192,0.00742036838091837
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0011911222787820378,0.778442326132621,0.0006043147190845241,0.012498957605323444
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.001140312231893757,0.10987129666824186,0.0003787052510883066,0.006855736861397775
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0011018910094886016,0.016281153088674907,0.0003853503511076907,0.00222613424174924
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0010866054091458917,0.8000506008521857,0.0004795567306877564,0.01162257789997819
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0010821385945996866,0.00487938546500403,0.0003977860911703222,0.0012418655584934065
