,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37390778747154524,0.37390778747154524,0.010855711054431288,0.010855711054431288
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30282478798095525,0.7555541666586896,0.012952211522434118,0.015824974613658453
0,sett_cutoff,,,,,,,,,0.07882159120618906,0.07882159120618906,0.004491314723094619,0.004491314723094619
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007766913229623334,0.7700556961679179,0.002245966646088434,0.01399286866052208
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005288577734362344,0.08879274563830955,0.0014182092046874407,0.004869771379274012
2,sett_exclude_features,,,,,,,,,0.005206912997141379,0.005206912997141379,0.0009723206056842069,0.0009723206056842069
6,sett_preprocess_income,,,,,,,,,0.004682576697758135,0.004682576697758135,0.0015986548787595449,0.0015986548787595449
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004117167862760722,0.10005747330360176,0.0016045949153495965,0.005698256203471844
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004012386460514005,0.7705244537698832,0.00138977923901451,0.014787374029490215
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036455104388233794,0.7980081355179671,0.001529818450454025,0.012428688818499808
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0035755201782945497,0.7900390096863261,0.0017181159107960164,0.014556005563531477
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003436217510252728,0.11733682432866173,0.0016447345424167885,0.010050374756320646
36,sett_model,sett_preprocess_income,,,,,,,,0.0034103691667048143,0.00902026138832538,0.0016655766619452666,0.002320755508971586
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0032971216178915544,0.765072776099089,0.0011335396994051421,0.015622465849819607
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0030965465301573377,0.09769481280763903,0.0016066255345009923,0.006378922683364842
38,sett_model,sett_stratify_split,,,,,,,,0.002997425643778315,0.377832528639186,0.0009848777728555702,0.010177732403206356
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002939647074452138,0.7868061921517636,0.0011792409221351816,0.013921516136510569
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002812591037498421,0.7664207350615302,0.0007272262137974489,0.01601093915153739
12,sett_cutoff,sett_model,,,,,,,,0.0028098751119642676,0.08255878184201576,0.0009875060052692579,0.0046314656756862305
25,sett_exclude_features,sett_model,,,,,,,,0.0027419260439439366,0.008876154564947749,0.0011154249185525826,0.0016340449403397792
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026861784900823675,0.8219628046421121,0.0011568011764307874,0.015280353535480299
7,sett_scale,,,,,,,,,0.002646669725637169,0.002646669725637169,0.001085140401298346,0.001085140401298346
3,sett_exclude_subgroups,,,,,,,,,0.0025296608522220494,0.0025296608522220494,0.0007621187706631954,0.0007621187706631954
