,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37480175127383286,0.37480175127383286,0.008464256527019761,0.008464256527019761
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30273652240637094,0.7551768926596871,0.012777204881741179,0.013232535006300835
0,sett_cutoff,,,,,,,,,0.07763861897948325,0.07763861897948325,0.004806435506086698,0.004806435506086698
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0071294900627817265,0.7701358828805335,0.0021339774223723806,0.014712847585008331
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006555286274342008,0.10146193743367361,0.0023648057323408986,0.0061111898621718725
2,sett_exclude_features,,,,,,,,,0.0055379403875493866,0.0055379403875493866,0.0014702652759455857,0.0014702652759455857
6,sett_preprocess_income,,,,,,,,,0.005187553867991985,0.005187553867991985,0.001262663496598008,0.001262663496598008
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00463585384823411,0.7957032303915537,0.0020441754060833333,0.015228622788819016
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00430885736922174,0.08713503021669698,0.0012059971327695327,0.004808045618046285
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004247646385344446,0.12149864951950393,0.0020425448564630683,0.010925447161549008
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004222028514663953,0.7680114075596931,0.002243018975227799,0.012520537639354533
12,sett_cutoff,sett_model,,,,,,,,0.003961078315739776,0.08207170749952615,0.0011236544442985062,0.004735357762556027
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0037869656369142954,0.09705535876518194,0.001483737094457136,0.006492703641644741
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037841233188945556,0.7701471391864755,0.0020543809432857743,0.01474480799896061
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036539402004340813,0.8002247467725466,0.001855568246622586,0.017549510071354694
25,sett_exclude_features,sett_model,,,,,,,,0.0036291390370349324,0.00963908962888743,0.0009343171231574672,0.0018158012198509139
3,sett_exclude_subgroups,,,,,,,,,0.003420299844700711,0.003420299844700711,0.0009048709104938127,0.0009048709104938127
38,sett_model,sett_stratify_split,,,,,,,,0.0033964116380217945,0.3786701731161577,0.0012118874116684006,0.008195022966981146
36,sett_model,sett_preprocess_income,,,,,,,,0.003338532422591734,0.00899809649488683,0.0010620058005124786,0.0016815597078527313
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003334024025962651,0.8320534194480413,0.0011939895005944898,0.01597283099784934
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0030751610519912658,0.7884740223109382,0.000870880078829464,0.014779504274640677
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030401113286551876,0.011998351560905285,0.0007677838219474803,0.0022136499272504026
42,sett_preprocess_income,sett_scale,,,,,,,,0.0028312761943976696,0.010407373687353588,0.001690923444297698,0.0030947273104383922
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0026480442501887747,0.765327851632762,0.00086857544057466,0.012943271274804895
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0025965975116616965,0.018915977901672758,0.0012172618561494192,0.0045516511147039454
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00248053889820497,0.39218652377143937,0.0005759206435822066,0.00844600914142139
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0024008807856057577,0.7874057613019574,0.0008482353533542316,0.011858251577389903
7,sett_scale,,,,,,,,,0.002388543624963933,0.002388543624963933,0.0009003751203724106,0.0009003751203724106
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002209966080448429,0.380432017198982,0.0009786696160267608,0.007914582211828102
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021953683818749705,0.4103018254332014,0.0008481250682088504,0.007608419672258558
37,sett_model,sett_scale,,,,,,,,0.0021014640757626296,0.004962017905029674,0.0006771814955551167,0.0015108648154059108
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020059293701554567,0.39288473061783435,0.0008655895306875273,0.007885948808347554
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019873008275402464,0.09443190141695101,0.0007114056271558275,0.0046344604450220565
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001965361584870479,0.8334613793269405,0.0006825920096952274,0.017122238273305803
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0018793076374924306,0.38798582261081827,0.0008307554549160324,0.0072383205037035905
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001872648797737055,0.08293156762192103,0.0006843950407225918,0.003930662647352176
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018687323324923584,0.38220842399387456,0.0008958915743841802,0.00863149488539951
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018518976157780478,0.8268975778334708,0.00046191911255853897,0.01752076662238756
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0018060759320189296,0.005698385981022752,0.0009087859007551013,0.0013597534070435128
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0017964732847730674,0.09451190628819896,0.0007568669005074883,0.0035118267491667243
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016897119706801402,0.38167901711250496,0.0007653765884165328,0.008401456494044295
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0016810193626398719,0.11103340888971894,0.0006118841935454174,0.004403851407415523
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016587955391801983,0.7840356283196157,0.0005109408900899145,0.014684481388383958
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001607408687538198,0.8266116215030914,0.0006328787032034962,0.01856008807607069
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015708584678569162,0.3904568298452785,0.0005598215765661816,0.00864518118169133
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0015582430864158933,0.01946381982067815,0.0005836200809081331,0.0032997918388016716
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014429677458359662,0.8852351794494676,0.00038667403127219674,0.01714339031463376
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.001426635835827202,0.09059736790981004,0.000455238274771592,0.00366787686848964
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0014047839282001471,0.8102125073662118,0.0007429137394629894,0.019222454289550644
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0013797050589961393,0.8125349722781253,0.0005689528919800614,0.012638230379076592
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0013010260115633692,0.7860006385230912,0.0004592648157287148,0.013840480605359775
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0012598158044791487,0.7825673125137724,0.0007646095747562634,0.014424307172348138
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.001219683656933217,0.7746517212381065,0.0005937529340294756,0.015171379687546737
10,sett_cutoff,sett_exclude_features,,,,,,,,0.001205813665300301,0.08438237303233295,0.0006967761610558829,0.004174827296606758
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011706755645765833,0.08864593385703837,0.0006618154704275588,0.0048251541967955
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011036393145025126,0.40678337130050435,0.00037517579631285094,0.008746317950642365
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0010888797271912808,0.7728452775586294,0.000702513986306221,0.014890005178456655
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010833111625062866,0.40277736167557443,0.0004315200256852134,0.007964570930824026
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010649571680295847,0.8044353058683253,0.000515269779014543,0.016173905486821964
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0010513612464445254,0.11282112513125164,0.0003489240974196398,0.005748624054119541
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0010254965736690171,0.7790905938168218,0.000594802330323303,0.013697150533510668
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0010062831166666457,0.11648056626293918,0.0005015600801308335,0.005970279131909918
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0009443493251691964,0.7739573983756136,0.0003473683372493889,0.01443044866302116
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009215744235467222,0.7971011400874257,0.0004400247382444441,0.014735861590784287
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.000920277191359603,0.7689608660225586,0.00048004538268157823,0.012482821222767984
15,sett_cutoff,sett_scale,,,,,,,,0.0009135430922090657,0.08094070569665625,0.000542115288924343,0.004703960670636481
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0009071600257607316,0.388620262765058,0.0003602461737614931,0.00805007576376992
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008774385747033929,0.4305008553236115,0.00040156958943135453,0.008462820254011776
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008760453438543234,0.756872206254273,0.00029443029922435307,0.013023684156904528
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0008634396954067475,0.13852095909591877,0.00035166678242042125,0.0062264996037043425
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008402075371342296,0.802070632248439,0.0003319498963069972,0.0127163266691692
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008371485456889605,0.8488340338090765,0.00032066616900116316,0.01609748795593417
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0008344325691975818,0.7947830290714231,0.00028706775890691594,0.011319393612941852
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0008055069095713401,0.1074963221356281,0.0002829680837219023,0.004249090377221784
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0007930336565543552,0.8539815586187196,0.0004054635851155916,0.011577198898929905
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0007907721524359257,0.7715204646005577,0.00035324392329675664,0.012312675744091308
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0007871296662732403,0.39398476262097054,0.0004134471271865619,0.009040387592681476
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007834499830668696,0.4034217489627645,0.0003634575563888396,0.008220178080773438
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0007677548934812371,0.09359955345425912,0.0003171229094943805,0.00432512704389158
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007381365022801829,0.1046436728042214,0.0005153076633732567,0.006481006256711483
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007336317439113891,0.7914154661341313,0.0002966206415998493,0.013917120877376486
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.000730197753980402,0.7716982670558328,0.00035649070571399353,0.01209041254529377
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007184362209244926,0.850907840988054,0.0003136738363113847,0.019325799272997112
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007173110020292882,0.7932304280166931,0.0003551751980292529,0.013500278006375415
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006966292202511229,0.844277178119144,0.00027102208959362646,0.018644973354193836
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0006838309785899767,0.4022992251577077,0.00029497375258923737,0.008136143687498947
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006763745228883791,0.7978252675257741,0.00041567471271761175,0.010049969365328338
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0006567654294970409,0.38025316995364034,0.0002728458631730399,0.008355233061124132
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0006408232205966646,0.39021722472726406,0.00017199826838114183,0.008601390452164457
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0006278946148646596,0.8000423045095,0.0003646985111469852,0.014225094181373637
28,sett_exclude_features,sett_scale,,,,,,,,0.0006178808324337979,0.008544364844947116,0.0004906436258193724,0.0014302933623431618
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0006105914457252343,0.01523888341897484,0.0002476545673910209,0.0023004143335079393
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.0005970023325193631,0.39958965024718607,0.0004992438994050701,0.008178267345522945
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0005946005148952643,0.8084333425084965,0.0003021894310575618,0.013020853739320314
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0005905252222813547,0.0063993686919459995,0.0005328630587699154,0.0015874389231193304
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0005870978196154111,0.8053302905740434,0.00031249848255125127,0.017746550314076945
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0005864235303290387,0.09495591947399631,0.00021247537528770486,0.0045266517932025276
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0005853690197624715,0.7739261624944798,0.00033069892305082776,0.011513633547833121
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0005828081343189751,0.39542268511564715,0.0003001018606594178,0.006897664150817365
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0005750165907243925,0.01923090418431616,0.00028334048663805806,0.002426141526606158
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0005623301420461858,0.08342518186897038,0.00028608421895152605,0.004844460298909729
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005588481641016318,0.8265750534428501,0.0002124888800197899,0.01163905464897099
