,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3775271486001774,0.3775271486001774,0.011365574029589761,0.011365574029589761
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30148771206381997,0.7572328094923408,0.008464105337184802,0.011855225117839973
0,sett_cutoff,,,,,,,,,0.07821794882834349,0.07821794882834349,0.005066275865593733,0.005066275865593733
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00589219483854067,0.7689098384433928,0.0015960500924317581,0.011202883177780378
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005179458445994394,0.7923924454846044,0.0021919934495490674,0.0127022531288761
2,sett_exclude_features,,,,,,,,,0.005027197031554097,0.005027197031554097,0.0015497984617746437,0.0015497984617746437
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0049505986019988315,0.08632657184265148,0.001344417808761803,0.005220360931924431
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004502189073058967,0.0971355598695079,0.0013289010830598125,0.005801127083496076
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0043911249799477485,0.7717369287820628,0.0020722129040329626,0.010441896995146905
25,sett_exclude_features,sett_model,,,,,,,,0.004078559186664097,0.009528717857134125,0.001326517675503961,0.0021593799054658944
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003710011380558857,0.7957330309341232,0.0010095349572847403,0.01036983431115355
3,sett_exclude_subgroups,,,,,,,,,0.0036926466951305815,0.0036926466951305815,0.000897596427811798,0.000897596427811798
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033797559656066215,0.0120995996922913,0.0014444706161405205,0.0030546295598979523
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0033357874411054115,0.7673960524332061,0.0006642260425188291,0.012120993893728232
