,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36630255913299437,0.36630255913299437,0.012548967885354388,0.012548967885354388
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31104692147347246,0.7569299397790719,0.00807681769411309,0.014874907311166473
0,sett_cutoff,,,,,,,,,0.07958045917260508,0.07958045917260508,0.0042509614912163715,0.0042509614912163715
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006285501102122433,0.7968191416587084,0.002410759233906989,0.014886154266980915
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006046710090851858,0.7688368094677782,0.0018988939554947662,0.013983277534339852
2,sett_exclude_features,,,,,,,,,0.005705716776321389,0.005705716776321389,0.0011626624431968348,0.0011626624431968348
25,sett_exclude_features,sett_model,,,,,,,,0.004799906793765682,0.011072518893710283,0.0019715641324753925,0.0026504120352530205
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004463701296242031,0.09763699986502768,0.0014043611648500863,0.004706152823902829
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00436169162925599,0.08652227913656704,0.001530418217455715,0.004813040176631988
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0038366310174399844,0.8324231325739166,0.0016017619045677566,0.013607840494192506
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003563474067145001,0.7941813756310817,0.001116773394171926,0.012680123880914168
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034461658659869004,0.7693496602453593,0.00123452328071493,0.014224837289920182
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0034136798235227888,0.7848863795986758,0.001314384300566557,0.012601859878815284
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003308483354859005,0.7690254471155892,0.0013450975971304139,0.01472742290107811
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003247798433805008,0.3847775291943807,0.001394929404347394,0.012954400750894797
36,sett_model,sett_preprocess_income,,,,,,,,0.0032282862806412823,0.006375309938970478,0.0011566458362836567,0.0016359482522616477
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003144979365052853,0.011601197021276013,0.0008860781054823772,0.002065118778675556
12,sett_cutoff,sett_model,,,,,,,,0.0028558378279541097,0.08300319232418239,0.0010032505887077744,0.0037583312167280393
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002784978032102618,0.7871651311929858,0.001000285860594829,0.013914551969909737
3,sett_exclude_subgroups,,,,,,,,,0.0027505008799017703,0.0027505008799017703,0.000940304898935802,0.000940304898935802
6,sett_preprocess_income,,,,,,,,,0.0025801283347059835,0.0025801283347059835,0.001001947382420309,0.001001947382420309
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0025687824994293507,0.8328150022135681,0.0011276427511864096,0.014101139959097576
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0024518117769183933,0.38358922634008275,0.0008553703512623304,0.012380388510751485
38,sett_model,sett_stratify_split,,,,,,,,0.002437426446277085,0.3693068809028946,0.0008016856371846037,0.011948167471187229
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0023587102262415827,0.11087227887534076,0.0011646130241460525,0.007150982165720317
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023563576759062987,0.7650808932278581,0.0006631925085122499,0.014520348010140455
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002195668104107895,0.01413755457326292,0.0008747236246170814,0.0031882861156048714
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021738241436495263,0.40191318716903873,0.0007735189600468461,0.013549016005952949
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0020317346363385087,0.3709144221040388,0.0010316443375284234,0.011770628857269996
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019903480220825314,0.8150684309948555,0.0010474194002509435,0.012732770140059581
7,sett_scale,,,,,,,,,0.001947403079667188,0.001947403079667188,0.0008243371782141246,0.0008243371782141246
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019464706071537158,0.8185014413376148,0.0007067423085511664,0.01325663419564835
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0019433649293385089,0.09258437206471029,0.0011990707243049938,0.006497520020916964
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0018934718321425793,0.7859695944292727,0.0008145123443509897,0.014159221290918577
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0018190387390433541,0.020325263106562033,0.0006152344718256886,0.003902425464584672
37,sett_model,sett_scale,,,,,,,,0.0018162021691687166,0.004330500572459118,0.0008380947387489086,0.0016861297173619367
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00181572855339153,0.8852548336594845,0.0006280729443511698,0.01576291143551563
42,sett_preprocess_income,sett_scale,,,,,,,,0.001802971281348641,0.006330502695721813,0.0009755032274594009,0.002287162785272614
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001740845719938322,0.3768528848528886,0.0007298728089165679,0.011483518333103798
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0017361962555673706,0.11175594594116248,0.0006899473454783862,0.005116556817355265
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001717226287593955,0.3737255021969097,0.0011059054018488336,0.012243536090201432
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0016706266123532386,0.8119081316115525,0.0007141040109615468,0.01501544463735207
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0016693840529878067,0.3788164142075682,0.0006709852052679802,0.01101076855075762
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.00162660252118511,0.7812031879526101,0.0005843287780972697,0.014349042497907489
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0016069614545366905,0.09568036133783858,0.0007571836041894982,0.0043694596688780875
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00155361852471987,0.09642651533673219,0.000996999294345923,0.0044537708243379765
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015382252288537734,0.004855621432378756,0.0006586715083875561,0.0013271896611569346
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0015381051381206197,0.7769870235868181,0.0006535945348180727,0.012858574019127841
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0015276627716779658,0.08385862282418481,0.0004473122538235822,0.004225678481339456
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015164321213000892,0.3705694921341962,0.0007051156543498856,0.012362942852675241
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014517736251032408,0.7782739411430277,0.0007904388800252086,0.014650474119796024
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0014039423878037937,0.3981881108747046,0.0005776776866869989,0.012197908767341909
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00137928870648348,0.11470739826200023,0.0005920236013828818,0.0042631737856485
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0013640809177428489,0.0866502568666693,0.0006293405864186936,0.004131044361197398
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0012090510789537923,0.8570830788753744,0.00038164133138171997,0.011482177301271587
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0012058659097965098,0.09002544711441242,0.0005531514817166822,0.0035712801729479164
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0011441506280310352,0.7983832100564211,0.0005158551821891084,0.010902228099067325
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0011380222877577786,0.38005961720535725,0.000628887009459373,0.01132201225389388
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011280127902158535,0.8017782996686429,0.0006458542553216478,0.013207646022214173
