,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3742015440200466,0.3742015440200466,0.011241287484249962,0.011241287484249962
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30226426442343074,0.7477857623297388,0.0067662785012168394,0.018707672457967593
0,sett_cutoff,,,,,,,,,0.07131995388626142,0.07131995388626142,0.005615129465268195,0.005615129465268195
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007629840363953155,0.7624322955656023,0.0015495612151243696,0.017902706066989266
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005524391438854599,0.09503078364051755,0.002330298398451651,0.005954364478022882
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005433956534225645,0.07997001018223535,0.001840769144811392,0.005220101622846976
2,sett_exclude_features,,,,,,,,,0.004844749917364019,0.004844749917364019,0.0011691231806935773,0.0011691231806935773
36,sett_model,sett_preprocess_income,,,,,,,,0.004812013124513432,0.009412834270261457,0.001838920536296624,0.00237588962074352
25,sett_exclude_features,sett_model,,,,,,,,0.0040199738019471905,0.010249445103310967,0.0019511007593902992,0.0028280439509418935
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003985978624543288,0.7926275081023323,0.0012779616986993093,0.017030059123780607
7,sett_scale,,,,,,,,,0.003567424762531175,0.003567424762531175,0.0010669641205516844,0.0010669641205516844
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.003564412252267591,0.7832925457855078,0.0016559756059811995,0.01660894492787949
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034004786292930606,0.7616523813295906,0.0019723636517959458,0.01743834879458635
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0033519109061781833,0.11380516025435006,0.0011268245390371957,0.008842744562522719
12,sett_cutoff,sett_model,,,,,,,,0.0033396475109144287,0.07604432278117561,0.001140468300540422,0.005186674433174428
3,sett_exclude_subgroups,,,,,,,,,0.0032458385998523727,0.0032458385998523727,0.001138295828469666,0.001138295828469666
6,sett_preprocess_income,,,,,,,,,0.003216099761748269,0.003216099761748269,0.0008849687914482079,0.0008849687914482079
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0028894284007174274,0.08973667844960456,0.0008031313170749772,0.005263885464962962
42,sett_preprocess_income,sett_scale,,,,,,,,0.0028182819209244974,0.00960180644520394,0.0009560200269624897,0.001781419503182381
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002807740298212411,0.010898328815428803,0.0010510405269480376,0.00280085228418071
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002612459704925545,0.020279250165054025,0.0008953819418990883,0.004602495977723506
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025528352604663024,0.7575816946425478,0.0008717002142794298,0.018248294569192837
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024874785207313474,0.8169221752579263,0.0008963008882036135,0.01551870638797057
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002431805734331541,0.7789055745828254,0.0008596594676441081,0.016066898638809078
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002431099520871359,0.77570065102168,0.000926675017749859,0.01724548862377729
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023657355800758297,0.3905493954970862,0.001092533717968985,0.011269634914111697
