,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36850080694877135,0.36850080694877135,0.016214397800750194,0.016214397800750194
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30756992811675743,0.7589991212189636,0.017038399031572084,0.02456781024675919
0,sett_cutoff,,,,,,,,,0.08292838615343481,0.08292838615343481,0.005433462931204678,0.005433462931204678
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007498272911343022,0.773846077094557,0.0022421638325058565,0.0241188470049595
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0050209158620787,0.7972841241869385,0.0019564422384435814,0.022649900327328453
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00466297132961613,0.10284886287628814,0.0015641312710916878,0.007403140922757832
2,sett_exclude_features,,,,,,,,,0.004506204826791749,0.004506204826791749,0.0010546096095216313,0.0010546096095216313
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004472007833361153,0.8020662580267304,0.0020037949128834,0.02224498922871095
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004325498618571411,0.09084467497197833,0.0011945790980348017,0.005540677524674998
25,sett_exclude_features,sett_model,,,,,,,,0.0040316430341048835,0.009460099095491732,0.0021501514522986815,0.001962873871727865
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0038858150250288426,0.11936175054530468,0.0019324801660444062,0.01168278594249683
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037791166909937096,0.7722461255262932,0.0022614933378076753,0.022528198108850907
6,sett_preprocess_income,,,,,,,,,0.003590790199972102,0.003590790199972102,0.0010966584190317313,0.0010966584190317313
38,sett_model,sett_stratify_split,,,,,,,,0.003576484795333702,0.37299954297870014,0.0012287865633578683,0.016044659100607626
36,sett_model,sett_preprocess_income,,,,,,,,0.003569018405777031,0.00808205984034423,0.0011800996353299906,0.002060935248356602
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0030878713636368093,0.7891746478305982,0.001376367115178202,0.022329364774701634
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002950319853472436,0.7674180424935994,0.0018235705887044288,0.024041062932112448
12,sett_cutoff,sett_model,,,,,,,,0.0028499469343215523,0.08670058432235148,0.0009804964982961393,0.005924248683585733
3,sett_exclude_subgroups,,,,,,,,,0.002845706301302503,0.002845706301302503,0.00110258200524579,0.00110258200524579
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002781883433132779,0.3864080758214778,0.001163377993402648,0.01588908558445108
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002601984145296364,0.8259289712386578,0.0009605819413033369,0.021096509706873094
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002544699421576573,0.7692898797510327,0.0009755636859220256,0.024296392482973772
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002450464465086316,0.0979595281815358,0.0009361752209203715,0.007090882826008723
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00242314580876726,0.016411658318574995,0.0010065915805459195,0.004057447254050483
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0022691790560895133,0.38398012943833126,0.0008066368212909359,0.014679761594312281
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022004262361824496,0.8340080643490169,0.0011521701986528282,0.01856579842323744
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00214812559411723,0.8268189450781751,0.000675486085898232,0.02386646678675609
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0021452958092566888,0.7846491987637649,0.0009149505586317888,0.0239213200533349
42,sett_preprocess_income,sett_scale,,,,,,,,0.0021226819005376865,0.007711707036369881,0.0011032491745754187,0.0023387012919659335
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0020888015487482417,0.37509581332431136,0.0011706252767942889,0.01627253981389888
7,sett_scale,,,,,,,,,0.001998234935860092,0.001998234935860092,0.0009936925309699126,0.0009936925309699126
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0018677217485074421,0.009219632876601694,0.0005698980456437336,0.0020195034737737136
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018634288439819732,0.8260355933004266,0.0006689295647238495,0.018026306725134507
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.001820512139311394,0.7848466909597336,0.0010948480200957587,0.020294495551466157
