,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3678565735156602,0.3678565735156602,0.008192256668871281,0.008192256668871281
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3015298953227622,0.7532307205224533,0.011886406694280614,0.01417874212768885
0,sett_cutoff,,,,,,,,,0.08384425168403078,0.08384425168403078,0.0047964763142593885,0.0047964763142593885
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007946104628698988,0.7694951414481348,0.0014866420003517783,0.013528486513793058
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006139316699179382,0.7945869710511706,0.0017088686808534456,0.012676356393557258
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005288079875711537,0.10671784199371168,0.0018060600524250966,0.004363404060094975
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00510419801313721,0.09282919703943374,0.0020114285095721826,0.003650030012734045
2,sett_exclude_features,,,,,,,,,0.0044606222960239085,0.0044606222960239085,0.00104878521767711,0.00104878521767711
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0043655299067415654,0.7679565664721097,0.0027649737178166607,0.012109134510670893
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004081598921919032,0.12766045193375167,0.0015627375095599453,0.00670536198188275
6,sett_preprocess_income,,,,,,,,,0.00388074734226574,0.00388074734226574,0.00147069248230922,0.00147069248230922
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0038479987174933512,0.10356712658247788,0.0016195867926124688,0.00478031067405416
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036391241151937813,0.7977949841647243,0.0011936981092305983,0.011570556169659863
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0036007809889053704,0.8296919395253205,0.0009421447583630931,0.013056938242447852
12,sett_cutoff,sett_model,,,,,,,,0.0035853830615584256,0.08923213008321325,0.001283627963613786,0.00539133893354069
3,sett_exclude_subgroups,,,,,,,,,0.003525131296055564,0.003525131296055564,0.0008587738776399629,0.0008587738776399629
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003496140062312251,0.7641764267664375,0.00122230337455073,0.013414623206178106
25,sett_exclude_features,sett_model,,,,,,,,0.0033619530527661872,0.009625070686414126,0.0017078244386113136,0.0026241414665923233
