,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3740493202057451,0.3740493202057451,0.014885151678497063,0.014885151678497063
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30131586025511903,0.7507016170784492,0.014689975620230758,0.018861711051097626
0,sett_cutoff,,,,,,,,,0.07533643661758511,0.07533643661758511,0.004984187587472893,0.004984187587472893
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006609061818059987,0.08403473040482624,0.002053145916726988,0.0045812636617358045
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006553208487686689,0.7656564559257969,0.0018096231367986072,0.01953561087964107
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005882260997751353,0.10019787051142917,0.0019925231073651896,0.0063821066646083885
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005370512199234196,0.12543870991452327,0.001211428572558291,0.008633601944392557
36,sett_model,sett_preprocess_income,,,,,,,,0.005239099478302012,0.008298542256223732,0.0015152902145884734,0.002255588499996382
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004971754485115007,0.7868673590287232,0.0025219454695372227,0.020218743757761986
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004624936198264438,0.021988128662767167,0.0016358699801785254,0.00602898148208364
2,sett_exclude_features,,,,,,,,,0.004593592712163717,0.004593592712163717,0.0012339754777843394,0.0012339754777843394
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0044835728557659806,0.7665328878179279,0.0035686297547585484,0.015646026115006408
12,sett_cutoff,sett_model,,,,,,,,0.004071568821808995,0.0803782162481347,0.001374786030713948,0.005636649804582026
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003971374412960146,0.7985110236095703,0.0011166515375220707,0.015894406253759378
42,sett_preprocess_income,sett_scale,,,,,,,,0.003531086897338405,0.008752882286056248,0.0014948580928262076,0.002913901524541901
38,sett_model,sett_stratify_split,,,,,,,,0.0033598507291114302,0.3783793817435971,0.00117511300161051,0.014499855405771915
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0032561436986812595,0.09486370584623771,0.0010149818381653306,0.0047403506885643045
7,sett_scale,,,,,,,,,0.003132563419536707,0.003132563419536707,0.0012489414396571188,0.0012489414396571188
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0030374524517074696,0.7610530415927332,0.0010665318995198283,0.018092312427405922
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026578224088248895,0.8129935409095377,0.0011469283668404707,0.02258922899474819
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002649404096471614,0.37878795627139783,0.0014473819660743962,0.015533072108409865
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002624548542129949,0.7790922354730225,0.001059717687645915,0.020942294295625125
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002421092437250703,0.833268092942798,0.0009419065984210208,0.015264479042291685
37,sett_model,sett_scale,,,,,,,,0.0024009998914038813,0.006503774119681173,0.0009678191535337096,0.0018986079819461195
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0023170943834735624,0.8290315224983676,0.0008149372313713113,0.016497312985205192
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022619587321590588,0.7579527630289771,0.0008499547522198873,0.019665191389680235
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0022558663907317235,0.7747596894689628,0.000734044883414082,0.01863119700130544
25,sett_exclude_features,sett_model,,,,,,,,0.002216315862737255,0.007780119383641557,0.0008556126211147169,0.0015041534471956868
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0021547761832387278,0.3890077393731548,0.000826596239812465,0.01389402555133782
6,sett_preprocess_income,,,,,,,,,0.002089231969181135,0.002089231969181135,0.001100064093793888,0.001100064093793888
