,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3658455577002829,0.3658455577002829,0.007611844626964957,0.007611844626964957
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30370425179615435,0.7544225932057754,0.013648606261711025,0.016047428886931496
0,sett_cutoff,,,,,,,,,0.08487278370933815,0.08487278370933815,0.005760292442416789,0.005760292442416789
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008170082947649173,0.7710149778742236,0.0021332198129201223,0.01730864354537629
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0054230053060385225,0.1066322859891333,0.00232967033572569,0.007591344471130851
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0052066999611875536,0.09275318520822096,0.001707900581930234,0.005538082172145297
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004080615591160552,0.8002509207082797,0.0012358084538382854,0.01859480808737386
2,sett_exclude_features,,,,,,,,,0.0040298164052439715,0.0040298164052439715,0.000620636194862598,0.000620636194862598
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0039019679899748227,0.7682992682973049,0.0021489798487691583,0.015040523298930955
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0036680782482079724,0.12452930577491447,0.0013838939078867109,0.0074223973888341
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0036231074147816383,0.7900761635379538,0.0011306038503794513,0.018181640346701153
36,sett_model,sett_preprocess_income,,,,,,,,0.0036056489302348027,0.007801996399751838,0.0014939093120143446,0.0022889289801533764
38,sett_model,sett_stratify_split,,,,,,,,0.003571855176159968,0.37094005880826464,0.0016789109328815789,0.007796157019693796
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033762341950518988,0.7640708785624839,0.00113236870583499,0.01576864628485876
12,sett_cutoff,sett_model,,,,,,,,0.0033278006128172333,0.08972323025397716,0.0012355082951108684,0.005836297452669163
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0030604837139556317,0.1013828713626065,0.0011267936796652046,0.004865697239136163
7,sett_scale,,,,,,,,,0.0027277904774803507,0.0027277904774803507,0.0010690523036069378,0.0010690523036069378
3,sett_exclude_subgroups,,,,,,,,,0.0027176566124456234,0.0027176566124456234,0.000992994113305814,0.000992994113305814
6,sett_preprocess_income,,,,,,,,,0.0026737015376952483,0.0026737015376952483,0.0009786117004897108,0.0009786117004897108
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002636024623243302,0.01754943124000297,0.00099449072381417,0.003231553317525011
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026160941719032956,0.8173149686090003,0.0009260026671522339,0.018264235393280544
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0024967011819758186,0.7627867893421221,0.0006342782958421313,0.01591504915908995
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0024606400760506884,0.7853300385537668,0.0008060933191302166,0.017260884848213583
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0024553889738951266,0.8274345129931021,0.001260586509294563,0.018507811924647222
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0023930574217708982,0.8284530577412423,0.0008144799144830509,0.020257252522242867
42,sett_preprocess_income,sett_scale,,,,,,,,0.0023867130346703477,0.007788205049845947,0.0006380838597594442,0.0018711573749970512
25,sett_exclude_features,sett_model,,,,,,,,0.0022821947172750605,0.007834657054340818,0.0008855750003271532,0.0012956274637735705
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0022499979150927374,0.38156371279395934,0.0008277388579950607,0.007532555244908912
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002133483793673876,0.8234867296066799,0.0006041412046771697,0.017873434494402287
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0020943056026719044,0.37061356484065,0.000868092778070011,0.007215540370421093
