,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3648946094151232,0.3648946094151232,0.007377578329625791,0.007377578329625791
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29717450480239227,0.7371241878500203,0.012127399756727903,0.017441964839226946
0,sett_cutoff,,,,,,,,,0.07505507363250469,0.07505507363250469,0.004897130693689572,0.004897130693689572
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007268488407072397,0.752920530645764,0.001481848819498876,0.01721603206511619
2,sett_exclude_features,,,,,,,,,0.0057969998004829375,0.0057969998004829375,0.001281864734934118,0.001281864734934118
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00551141545135163,0.09897832200322693,0.0017206438736910605,0.006776348678045978
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005139969216999208,0.08291333593729813,0.001449455854833354,0.005049136447700662
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005111946732491015,0.7798107891255632,0.0026057937142499404,0.018499400735092875
36,sett_model,sett_preprocess_income,,,,,,,,0.005040977389745102,0.009000635486361036,0.002211786484968167,0.0030302169348408255
25,sett_exclude_features,sett_model,,,,,,,,0.004990495021214408,0.012028859830519052,0.002625074601611241,0.0035314629061178092
12,sett_cutoff,sett_model,,,,,,,,0.004271228216010369,0.08056766685733677,0.0006908090723561424,0.00507587414651672
3,sett_exclude_subgroups,,,,,,,,,0.004177039601587524,0.004177039601587524,0.0013167675201587225,0.0013167675201587225
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037837578143521925,0.7803015239076561,0.0015229728829139057,0.017094841698761114
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003503552407946025,0.385279786723982,0.0017529306368116585,0.009824174361925725
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003486866317075593,0.11666208245356408,0.0015421104433701815,0.009919031554541298
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003359436076033142,0.7489883381368598,0.001733239151617014,0.01715877858150747
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003131422816021606,0.013105462218092067,0.0014070029520915558,0.002638617394792164
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003053068324233804,0.7487831809480049,0.0011888637523608568,0.01735352947460059
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0030459291837605,0.7728102580782288,0.001039538374830158,0.0170308126806355
38,sett_model,sett_stratify_split,,,,,,,,0.003015261163839343,0.3691512355877843,0.0007864926675495921,0.007536254933364136
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002905517338492603,0.8173114677933767,0.0010998036902936412,0.019993922113626054
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0028935055632818845,0.09094847327052519,0.0014076409686113297,0.005709933280659157
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002739582222361794,0.7703858631753813,0.001052912442542832,0.01784182146704689
6,sett_preprocess_income,,,,,,,,,0.0027182930877942273,0.0027182930877942273,0.0012738331733728636,0.0012738331733728636
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002698205693842384,0.01857949677053789,0.001902258724402328,0.005654496998492978
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002565194998200052,0.7487075037070223,0.0013089256790881508,0.017246640236654686
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0024932570504643055,0.8164769574729247,0.0011781738240246602,0.018603076302215315
7,sett_scale,,,,,,,,,0.0024554847990927832,0.0024554847990927832,0.0008709046108906172,0.0008709046108906172
37,sett_model,sett_scale,,,,,,,,0.0023422132454545847,0.006039063053369075,0.001035032410517317,0.002104518575580458
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0022246738422011195,0.08145678707629334,0.0009541406195430862,0.004438075351273943
