,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36783939567058266,0.36783939567058266,0.014482351399903079,0.014482351399903079
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31650177558996884,0.7660658994729138,0.009308659715684469,0.017461347955924147
0,sett_cutoff,,,,,,,,,0.08172472821236232,0.08172472821236232,0.005122762381476046,0.005122762381476046
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006921903016342657,0.7797071562662472,0.0017155797182678261,0.016808905648192752
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005039735645427325,0.0882238642274585,0.001792513453154521,0.004634754834858838
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004940438680601511,0.10094934752304753,0.0019910806308947857,0.005541586379098914
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0043356789173446975,0.8005052817673097,0.0024295095209107397,0.013185298297902218
2,sett_exclude_features,,,,,,,,,0.0038844864612218237,0.0038844864612218237,0.0009161775017342898,0.0009161775017342898
36,sett_model,sett_preprocess_income,,,,,,,,0.0037829117749393487,0.006045756413257962,0.001743287876802106,0.002156178303819141
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0037292870240990894,0.7758230793665837,0.0012867172831971384,0.01649224228675758
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003707620082745896,0.8344457035204806,0.0014996242191565386,0.010994536973455423
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0034161597027010638,0.7966856203359872,0.0009766688409449543,0.01476123212007726
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003383487900767937,0.8048879815744767,0.0011885426228474521,0.01880554709246308
12,sett_cutoff,sett_model,,,,,,,,0.0031986885713984176,0.08572686105241051,0.0010582673485745107,0.0046998930784284175
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031587682654911726,0.3830578437388498,0.0020632366405887357,0.012708792422666168
