,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3756169971449615,0.3756169971449615,0.01206285979776221,0.01206285979776221
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3016623405534732,0.7546592950083939,0.011043299454922958,0.019261573357688935
0,sett_cutoff,,,,,,,,,0.07737995730995922,0.07737995730995922,0.006509593122357991,0.006509593122357991
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0076174606183338125,0.769686659617479,0.001803997384916295,0.018107333157483346
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006414881240763744,0.7941767049136903,0.002532305845000677,0.017681344792250493
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0049902853949339,0.08620809993380099,0.0014193601443583362,0.006147950224048523
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004289113339627358,0.09898525052491783,0.0016553483081113234,0.0054243962387590244
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004242799757595648,0.7970895500036306,0.0007133497208858363,0.015343876335840332
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.004054403379698472,0.8293123933090231,0.002176980127923032,0.01419533402095298
6,sett_preprocess_income,,,,,,,,,0.0038378572289078554,0.0038378572289078554,0.0014420479343131463,0.0014420479343131463
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003790188377274286,0.7864482379137068,0.0015619931789732154,0.015858701284239992
12,sett_cutoff,sett_model,,,,,,,,0.003730883292238519,0.08234586022918547,0.001500099973161819,0.005410770425329448
2,sett_exclude_features,,,,,,,,,0.0036337060424782054,0.0036337060424782054,0.0010377465212363696,0.0010377465212363696
25,sett_exclude_features,sett_model,,,,,,,,0.003594619736914012,0.008463345406379944,0.0015507254301557528,0.0019979625257092355
36,sett_model,sett_preprocess_income,,,,,,,,0.003522134332263228,0.008595011188158811,0.0010010675804675863,0.002047361378474398
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003356003938781944,0.11488088378136363,0.0013016984816929642,0.006517251992371503
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003241486253540829,0.7630571863548536,0.0007078595945231066,0.01851266153154702
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0032174682106319323,0.7642407703442985,0.0008972457247353186,0.019296505305673842
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0031515250354642184,0.09392774472104339,0.0014504049243961863,0.005631965794829414
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002854140886155182,0.3908615902431447,0.0013371208318601693,0.010541934642018537
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0028078750230895577,0.7813742486759945,0.0008543361621748975,0.01773701614816078
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025413745487071378,0.7680986675078587,0.0011245029401755354,0.017438153928278525
38,sett_model,sett_stratify_split,,,,,,,,0.0024440010715250397,0.3792960178434742,0.0009012944211519175,0.011612074357243658
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002288229113722278,0.016194248128071097,0.0008715930645179738,0.0038802703093606386
3,sett_exclude_subgroups,,,,,,,,,0.0022840872770593683,0.0022840872770593683,0.000719092979287517,0.000719092979287517
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00226827394402475,0.8229057600889721,0.0009525200538199499,0.011005005400791416
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0022331559356620063,0.8207488206660134,0.0009557119237783878,0.01540514564947886
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002203474514801377,0.00812126783433895,0.000677639971017214,0.001767282963573051
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00218530724659937,0.10722158521433572,0.0009321013185497872,0.005791563649710257
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002159816409751751,0.829989912963348,0.0007952172892547977,0.013799700719583963
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002080757750280826,0.4048444310902939,0.0010513037079051472,0.01022113726646914
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002069855326915876,0.3815247097007852,0.0007122254145344147,0.011799785272439934
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0020449280964736976,0.09286630945372276,0.0010281125566807148,0.006033531712187459
42,sett_preprocess_income,sett_scale,,,,,,,,0.0019956219561044737,0.007781885799943055,0.0009438689226956414,0.0022873978885043582
7,sett_scale,,,,,,,,,0.0019484066149307259,0.0019484066149307259,0.0006852154972287012,0.0006852154972287012
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019094704572006165,0.3906353351887618,0.0005589897211498823,0.011648177288118044
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001906127466213379,0.3858384936499426,0.0007302941579748083,0.011073469982284584
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0018861594090368848,0.09044540137155187,0.0006367249467161241,0.0063989795528437525
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018380780383083837,0.38812094509804607,0.0006995984600664218,0.011261191709061326
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0018108214695454364,0.08147486605656404,0.0005242312666993306,0.006237157436384326
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0017896983477296517,0.780550815398722,0.00051128837218313,0.015428510971952365
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001702010277341607,0.806228948453831,0.0005383345351023741,0.014114325927128022
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0016682795848024638,0.7579080712375501,0.0008568832043419309,0.020209729194483137
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0016636509566784054,0.7812791796902353,0.0005752141638777029,0.01706070469012603
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016576909797342914,0.8818917084582027,0.0007062049900941562,0.011014546452536255
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0015271313268874298,0.7761168106152203,0.0007171233222848631,0.019669934376104436
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0014831057341230872,0.3807338089215627,0.0006657959069328407,0.011706665581380015
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0014600026556859068,0.7930809096614745,0.0009580541706030452,0.02102247030070528
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.001376606389398826,0.0891081400820706,0.0005930472971432917,0.004479381120478824
37,sett_model,sett_scale,,,,,,,,0.0013669792551548078,0.00455040549707326,0.0006347471206391151,0.001305953893660654
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001318054737290225,0.015559726652412405,0.0007306529921384402,0.00362970379379888
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.001310071263188127,0.7984168176970043,0.0004430663383321838,0.017722494642022295
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0012974450298268096,0.7701526220733634,0.0009006951572954955,0.021161717495273725
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0012907647168814915,0.004809871620928587,0.0007327023078476846,0.0015462381671653724
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0012855760783184432,0.7786141633465556,0.0007152059650742677,0.017031156280026313
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0012644449100660744,0.7689517660722863,0.0007181575319407466,0.01978889097715371
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0012471953486713626,0.0822608587011088,0.00044050753833212907,0.006522095915544925
4,sett_model,,,,,,,,,0.0012350196269877265,0.0012350196269877265,0.0006649970466472108,0.0006649970466472108
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011801128836503205,0.8523941869847569,0.0005580929542591693,0.017592085001593337
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011647761615443681,0.08745011344155837,0.0005138991346976732,0.0048737205741304305
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011557658027304654,0.8058764542941117,0.0005588045296276686,0.020484305047853854
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011455899627854241,0.40010010764035336,0.00047931472005788436,0.01120312574992313
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011268138331510912,0.8080188578723181,0.0007072419469329951,0.017699496344474847
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0010780287001112402,0.10867597579601175,0.0004917785335668994,0.005672686025604234
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.001073002735048313,0.11224305775204137,0.00048431898903156164,0.006709662851298061
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010697708228142896,0.4050421387295112,0.0004701723838900738,0.010207824758025175
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0010614963463141205,0.37896258076833494,0.00042408332798083976,0.01175795605188423
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0010377807774436393,0.4007462237065838,0.0004153923511830668,0.01207828305443553
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0010137708637235484,0.7734178105323166,0.0007022226131294323,0.018874127508838268
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.001009963078051903,0.7775085059823335,0.00034638527764126626,0.017901382463052836
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.000996334152124917,0.09164494276071466,0.0006408450609593776,0.005691766006328111
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0009327497666306891,0.1321848016652492,0.00049607627349853,0.009126342329641057
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0009226241163650832,0.38613851736870775,0.0003213366360658224,0.011328822298480756
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008563915515956549,0.798551874715714,0.0005801606663636433,0.01607619893326656
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0008475316466916622,0.397790642651246,0.00031962224754129306,0.010614198538457421
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008462196722546394,0.424537268382313,0.00036273072706500897,0.010814961275315007
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0008290321261722087,0.10298363445728356,0.0002605243197574775,0.006055316214680375
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.000806313341447859,0.7907638807152052,0.0004166660057061343,0.01770787783480327
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0007844298516903504,0.7949018146654441,0.0004440345410358042,0.01486195918201455
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0007797214716753733,0.3879042909462314,0.0003283901866650778,0.011186914601429395
