,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.38376058459445717,0.38376058459445717,0.006905938057391783,0.006905938057391783
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2986808810416047,0.7601735491996275,0.00959043932447481,0.013954884703732124
0,sett_cutoff,,,,,,,,,0.07773208356356562,0.07773208356356562,0.006370449230433582,0.006370449230433582
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007592293922146438,0.7740417824088219,0.0022171755638459105,0.013226963100127054
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005089314797859567,0.8013791188104629,0.0015633419718128771,0.012312985621330876
2,sett_exclude_features,,,,,,,,,0.0046975402109837435,0.0046975402109837435,0.0011564099587207152,0.0011564099587207152
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004331856953370124,0.7979632131299168,0.0020777061318364132,0.013767220851381415
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004169566704512091,0.094907519709802,0.0008678320998152392,0.005839254186775582
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003961910503216275,0.7730019071533577,0.0012636780278481516,0.012590619806142742
25,sett_exclude_features,sett_model,,,,,,,,0.003887900825072309,0.009135642063544867,0.0014623499198494405,0.0018381467988481258
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0038676413488423094,0.7719107330799901,0.0012159108243283213,0.012927799138211848
3,sett_exclude_subgroups,,,,,,,,,0.0036875060987542445,0.0036875060987542445,0.0010027289893838921,0.0010027289893838921
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0035588417344771766,0.08427433926941941,0.0011579370549337274,0.0061133615668382294
36,sett_model,sett_preprocess_income,,,,,,,,0.0030785727378815114,0.006612187736746937,0.001011118326558251,0.0016002630192907825
6,sett_preprocess_income,,,,,,,,,0.002983413971376611,0.002983413971376611,0.0010700262609823375,0.0010700262609823375
38,sett_model,sett_stratify_split,,,,,,,,0.0028908982890591232,0.38720168391100507,0.0011443144922762946,0.006955553367222727
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002868554397499087,0.8304793667975611,0.0011062402154945125,0.01082987717457977
12,sett_cutoff,sett_model,,,,,,,,0.002834839970500173,0.08111712456155462,0.0008560953095103442,0.006272848216580548
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0027413518196820036,0.7700158104981645,0.0013674191542442009,0.012137999707116948
