,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3716568104892034,0.3716568104892034,0.012928088104226418,0.012928088104226418
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3042686328158583,0.7578344545574857,0.00925476373315935,0.02358928187738206
0,sett_cutoff,,,,,,,,,0.0819090112524239,0.0819090112524239,0.0045636904977380665,0.0045636904977380665
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006144921948469671,0.7714827632916325,0.0011348420261344254,0.022943057962496384
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0055727794687672385,0.10334476321256111,0.0017084798541824244,0.0070740643558794124
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004772433752037098,0.7932504870413791,0.002121989229011974,0.022005323122679235
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004341067750117358,0.08929488813374098,0.0016243711781402808,0.005136167057694723
2,sett_exclude_features,,,,,,,,,0.004147181474408668,0.004147181474408668,0.001127294461677586,0.001127294461677586
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004097664797417515,0.797154683485573,0.0011077579002105647,0.022660684773846865
25,sett_exclude_features,sett_model,,,,,,,,0.003946736556524388,0.009709448869094629,0.0018219106794086894,0.0024655660014071138
3,sett_exclude_subgroups,,,,,,,,,0.0037380866838675948,0.0037380866838675948,0.0019836601333163583,0.0019836601333163583
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0036515766733366305,0.1203439116387886,0.0015927430012071806,0.011746851854210167
12,sett_cutoff,sett_model,,,,,,,,0.0035801449341057332,0.08710468702469121,0.0007922832612944813,0.004552027460410902
36,sett_model,sett_preprocess_income,,,,,,,,0.0032814198377855964,0.007941759807146884,0.0011137609727193448,0.001908323872368474
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003167023714630573,0.011052291872906836,0.0011479457349008724,0.0035003065236873486
6,sett_preprocess_income,,,,,,,,,0.003044809131199716,0.003044809131199716,0.0007897586075969946,0.0007897586075969946
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002790169727061374,0.8268669038191621,0.0010296165539689182,0.019606019172723147
7,sett_scale,,,,,,,,,0.0026710769686920134,0.0026710769686920134,0.0011903127327389793,0.0011903127327389793
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0026029327941239147,0.387834337131857,0.0010282007543433104,0.011347701511156034
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025656474327294247,0.7682973032093279,0.0008916929603212836,0.021124281309716386
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0025191053567364483,0.01744408799255807,0.001227642369693705,0.004295441090219897
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002325066991206573,0.7686906102626014,0.0014651193551023622,0.022457033745143407
38,sett_model,sett_stratify_split,,,,,,,,0.0023077110134098926,0.37558005234077485,0.0010998933219896925,0.011909023301056016
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0022809410174764134,0.7862718187100834,0.0010265382136525945,0.017813235903811578
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002261582321161424,0.3776564794942324,0.00098379738021724,0.011035865694966292
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002258973807967252,0.38878709245726406,0.0007102532527706367,0.009254208835792827
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0022305561682486224,0.09682247592660763,0.001042230107989671,0.007065662570106612
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0022246672988975374,0.8227559500621238,0.0008817508449325412,0.024002908011804044
42,sett_preprocess_income,sett_scale,,,,,,,,0.0022047310922534524,0.007920617192145183,0.0012039745784673437,0.0023093702956999062
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002194299064357152,0.7881439510963408,0.0006202099627491856,0.020014488561896304
37,sett_model,sett_scale,,,,,,,,0.0021074147677292744,0.00639402257458286,0.0009156407906692537,0.0016754664968812998
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001986117903262991,0.4055677087141164,0.0008905088769702849,0.010291077905473484
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.001973613381303502,0.7668222753805871,0.0005793711410498112,0.022071764772406945
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001972439029845799,0.8264586458240941,0.0007438824998770488,0.021459599074443194
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019494008131759326,0.8223354673194249,0.0007344602926221122,0.018683386231507573
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0018975322140837643,0.08754463015037527,0.0012250320302674273,0.003533948350966172
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018639003848542873,0.3849153935272066,0.0006169812665800986,0.011957351644646267
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0018254053728788576,0.7831026797729823,0.0008666622047282775,0.018669986675822918
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016533279777173932,0.01951529891096764,0.0008502391701441962,0.005605471487836222
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016268303529330553,0.7797165564048414,0.0008277815325921656,0.02216287811421215
4,sett_model,,,,,,,,,0.0016155308381615723,0.0016155308381615723,0.0007109315624080733,0.0007109315624080733
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001557433966025136,0.3773614259296372,0.0008541301519558947,0.011803659003768459
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001555012034778871,0.8078724882675743,0.0006582050638157428,0.014790442602578748
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0015389186873789326,0.11382383487672032,0.0005803430820654055,0.006614120755292832
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0014577998239596532,0.09796599688094815,0.0008782518048213268,0.004501552243416902
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014208475079948036,0.38424798051945613,0.0007296303233253383,0.009810956143788824
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.001335780914856679,0.0953234985031567,0.0006023507878536698,0.003924045064576836
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0013095920013642204,0.0873657847281968,0.0004161369618954811,0.004217240240464623
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0012858790094696332,0.7808567469758767,0.0007045959128808565,0.020739291804021082
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00128265144180917,0.8752833544385761,0.000448343507910319,0.018078427312655188
