,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37254848102165194,0.37254848102165194,0.011486612061023044,0.011486612061023044
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30859281720328147,0.7606942912949723,0.009354565660256168,0.015563203755861255
0,sett_cutoff,,,,,,,,,0.07955299307003885,0.07955299307003885,0.005359366928604148,0.005359366928604148
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006735370448387257,0.774380169305331,0.001650196533684386,0.015456910265884635
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0064260707862666445,0.08799315255415541,0.001608425134005276,0.0055230561882425346
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005492195239717293,0.10143769300376804,0.0015724618269109764,0.007035866795493257
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005368701477509902,0.7970425607526663,0.0018209423316947555,0.015880604887003897
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004699289720129776,0.7760098196044857,0.00253086845602245,0.015138438140839925
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004401429672807286,0.8049795244535238,0.0016384341145877159,0.014994958311563552
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00407536283664469,0.12046229411462867,0.0012524791709898862,0.009578077440779471
2,sett_exclude_features,,,,,,,,,0.003653481789728586,0.003653481789728586,0.0009071256566264942,0.0009071256566264942
36,sett_model,sett_preprocess_income,,,,,,,,0.0035254336416563324,0.006503756981958238,0.0012520531565831821,0.0018367629258347578
12,sett_cutoff,sett_model,,,,,,,,0.0034626769257870135,0.08397990463827784,0.0010443258737907657,0.00540109404670504
25,sett_exclude_features,sett_model,,,,,,,,0.003334537873800293,0.007952254305980858,0.00110269708334654,0.0016725329162808594
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0028044805656836777,0.38768919918214917,0.0009648979732936457,0.010189844042701169
42,sett_preprocess_income,sett_scale,,,,,,,,0.0027638142168308066,0.00746700512595644,0.0011773444051638958,0.0022298368688494796
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0027159988713628524,0.09665282830375627,0.001181274376154138,0.005642055137483779
7,sett_scale,,,,,,,,,0.002689102211275707,0.002689102211275707,0.001045244823897588,0.001045244823897588
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002685695661385837,0.017097799518361947,0.0009706264776851787,0.004599404759178327
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002599807383485665,0.7700491105728807,0.0008141773542604718,0.015722843209378137
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025630365754822073,0.7682106771433836,0.0009361539631607166,0.015412219991455499
38,sett_model,sett_stratify_split,,,,,,,,0.0025235959937324717,0.3760363116578364,0.0009334180379391419,0.011108811574677075
37,sett_model,sett_scale,,,,,,,,0.0024554304469113558,0.0061087673006390425,0.0010677020325177721,0.0019915578494654443
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0024312124233712446,0.8333734822493027,0.0009016899839458071,0.012862958890728658
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023894444580067355,0.7876097899362412,0.0010998267318026898,0.014433150768044864
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002334925091465688,0.7846073698794345,0.0005826461637487193,0.015226802680852228
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022084356087082825,0.8364577159666438,0.0010685520900790802,0.0168758806348701
3,sett_exclude_subgroups,,,,,,,,,0.0022051647102320025,0.0022051647102320025,0.0005602324386985673,0.0005602324386985673
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002176079105267021,0.37673864882476893,0.0010459684542534907,0.011577814683977993
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0020579882441740614,0.007916634744134649,0.0007442407634674486,0.0014779757810335704
6,sett_preprocess_income,,,,,,,,,0.002014088697849927,0.002014088697849927,0.0006283487228080023,0.0006283487228080023
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0020140440687036465,0.8223770054710546,0.0006959479233707757,0.014458534345644543
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001864768284498471,0.3856166813871082,0.0006855104953014385,0.010829012321668802
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018603872951001798,0.37806235010648076,0.0007196832566222919,0.01124035490225121
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0018437353422412206,0.7883269890977072,0.001038390026443725,0.013069537815301393
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017998522524329374,0.09400891936383368,0.0008540535582527542,0.0058726003323512745
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0017785898869662716,0.787363358183814,0.0007452349045882585,0.015379400282576313
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017312190109222906,0.8260476228712741,0.0005272532423034487,0.013669479980267903
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017076214163014264,0.7891110952076623,0.0007642302653661139,0.015500647752193161
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0015723867122320182,0.08333054449250286,0.0006986181203289381,0.005260590414615388
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.001562698395065316,0.7846860396371739,0.0009348484498011287,0.013699371803887373
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001496162078363616,0.8108745366546999,0.0005108746696427261,0.01575433670311598
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0013914694798905182,0.38489277039124237,0.0005395828104067516,0.01041467713971404
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0013100057679593775,0.7791560972764483,0.0012041919806383234,0.015151125803209955
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001257490642612105,0.09154064797861164,0.0005960446509165558,0.005254374364580438
10,sett_cutoff,sett_exclude_features,,,,,,,,0.001241142809594028,0.08444761766936146,0.0006155508340216484,0.005314648866754476
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0011878194981808348,0.11446382139204173,0.0007376084840760168,0.008007169927165911
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0011757978504650232,0.37592944358234903,0.00034933579171431866,0.01133313697841286
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011484364163178993,0.0907636341629143,0.00046568342033118164,0.005084168022225096
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0011443317086853077,0.004313731061369289,0.0005726097104872963,0.0010175211686985054
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001111892892157773,0.1053858879242112,0.0006157596277981973,0.005700045162338629
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0011013749826155768,0.8755570595465183,0.00034432136698329713,0.015179133762485478
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.001090941787692035,0.0899927295571192,0.0005705549029025696,0.004863221696429917
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0010885168281148507,0.3816501227553336,0.00028283776472688075,0.010761524557220976
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001073446511325123,0.40028348376069073,0.0003904658950244973,0.010604446628444128
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.001070646869177646,0.8143091119353614,0.000537275978471258,0.014621856766924997
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0010486203209526894,0.39886575991220025,0.00036140611633717984,0.009992883495667518
