,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37630805049571725,0.37630805049571725,0.010298341741131065,0.010298341741131065
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2910005313744122,0.7570707152918866,0.018512653527132026,0.021345973692087985
0,sett_cutoff,,,,,,,,,0.08976213342175718,0.08976213342175718,0.0058744981802688135,0.0058744981802688135
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007627988563029092,0.7715112936361669,0.0015407051050243144,0.021348465110735
2,sett_exclude_features,,,,,,,,,0.0057717281167780805,0.0057717281167780805,0.001890013977728007,0.001890013977728007
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00506962917971785,0.7965173846236303,0.0019630195589137155,0.022223346316928055
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003627938362630846,0.7902879753830042,0.0012444962197956924,0.02036668359936609
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0036269694429999825,0.769740062530737,0.0012580171071442724,0.02114522209635007
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0034426153328555543,0.09547605062069059,0.001202057811229055,0.005937039134701537
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0033584391263765424,0.767621675059816,0.0018601013784988812,0.020691440268826463
25,sett_exclude_features,sett_model,,,,,,,,0.0033203008474198374,0.009763501871142236,0.0006669003438486412,0.0019779303706007924
3,sett_exclude_subgroups,,,,,,,,,0.003302572184641121,0.003302572184641121,0.0010165478208483943,0.0010165478208483943
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0032576514770796807,0.8327056939786297,0.0009342571131958748,0.020344695221158997
38,sett_model,sett_stratify_split,,,,,,,,0.003076280064762591,0.3800558034674242,0.0010348371103415235,0.010206083410971553
12,sett_cutoff,sett_model,,,,,,,,0.003064836809544319,0.09349844313824582,0.0011165425512146897,0.00605922527079496
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003026628681389929,0.012100928982809131,0.0007237048055508263,0.0024363404142746883
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002886890377097439,0.10439101951460857,0.0018939405904859837,0.006985726756021489
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0027928674127189173,0.7911774428335108,0.000960165452243948,0.02305460185604203
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027820774866490518,0.767171337698578,0.0009624459462032542,0.02133632682670026
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002654020032513328,0.78963399833259,0.0009799327003248007,0.0196742679185806
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0025688633541323938,0.39331533311736927,0.000676182896277656,0.009735266021047604
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0024764129582698032,0.3820870356386282,0.0007301609220683225,0.010720248460608598
36,sett_model,sett_preprocess_income,,,,,,,,0.002291768800331894,0.00523454357335407,0.0014179209237595736,0.002152770928833098
6,sett_preprocess_income,,,,,,,,,0.0022713018660778577,0.0022713018660778577,0.0010295772807537651,0.0010295772807537651
7,sett_scale,,,,,,,,,0.0021739640619320697,0.0021739640619320697,0.0008614752828114788,0.0008614752828114788
