,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3719681522727823,0.3719681522727823,0.00883274839567926,0.00883274839567926
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2976567993805278,0.7449911702639193,0.008710509669487623,0.014397258236186814
0,sett_cutoff,,,,,,,,,0.07536621861060917,0.07536621861060917,0.005061531638128476,0.005061531638128476
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006789074495718634,0.758694202453252,0.0016550386686768695,0.013875212842677693
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005539103686424025,0.7841210916261615,0.0020072125255732485,0.01647054850859395
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005161017189911088,0.0953060324028912,0.0018089358707494012,0.005684558165106378
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004518689368039943,0.08165785972369027,0.0014593578033423775,0.0051155089568199865
2,sett_exclude_features,,,,,,,,,0.004459844768023318,0.004459844768023318,0.0013153739930918237,0.0013153739930918237
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004033872003182564,0.7570348237387879,0.0013781357981701228,0.012674282623938686
36,sett_model,sett_preprocess_income,,,,,,,,0.004022448960274681,0.006404281113079846,0.0013470381722726261,0.0018017538340685817
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038869040140872236,0.7861802864921462,0.0013078751530241069,0.014469533980690988
12,sett_cutoff,sett_model,,,,,,,,0.0038558261212511572,0.07983092513962434,0.0012913838091224406,0.005058669980875482
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0037165906984752183,0.01171610965064668,0.001331742350347352,0.003315478308972617
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003705998516408348,0.7565224039509364,0.0010559950308263106,0.015111178582570014
3,sett_exclude_subgroups,,,,,,,,,0.0035396741841481442,0.0035396741841481442,0.0014619669333709854,0.0014619669333709854
25,sett_exclude_features,sett_model,,,,,,,,0.003471986494095118,0.00854071166988244,0.0014565098279162626,0.0021688062275630514
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003353143699572377,0.7577472248799464,0.0012917111608419787,0.013927225634771195
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0032103586418587406,0.7801713674185573,0.0009961751956376976,0.0126381356153144
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.003111269803373614,0.3768523738211971,0.0012413864535086678,0.00865498057957257
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0029721535947086564,0.3879087755648135,0.0010353219119513652,0.008514779853384575
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002945523706419966,0.8222721838867287,0.0008179311579319366,0.014606231574844393
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002799602104558081,0.390793477545495,0.0012782625092334725,0.007114116155225018
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00266873201035785,0.10877525210100851,0.0016063764927955102,0.008503494605727687
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0026680536851479844,0.8231589734788601,0.0015072815345406497,0.01776145986021357
38,sett_model,sett_stratify_split,,,,,,,,0.0024492511645989833,0.37502628384514525,0.0006669965016437207,0.008672078345931939
7,sett_scale,,,,,,,,,0.002422311588619288,0.002422311588619288,0.0008977733611068723,0.0008977733611068723
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.002420273391901613,0.7747792724354787,0.0008769609837669123,0.01454297215194038
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0023452386226912193,0.7750211093513817,0.0010527380069767249,0.011303229987165654
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0023311066546667764,0.3778389331115972,0.0009004757164229983,0.007947444762739847
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002329260556616857,0.814664963570178,0.00105405328829242,0.012255102045381681
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023071175004909872,0.7767933006057509,0.0007015501620333814,0.011870023842218734
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.002221535368862033,0.8087490892627653,0.0009302174404407513,0.010488453735453134
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.002139000632871172,0.0810448934276285,0.0006967737289222599,0.00468336967800511
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002132745976418187,0.4066363342092805,0.0009400767441464485,0.00910835489647085
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020379391872250574,0.8083523995715238,0.0010362642545990515,0.01648697634481088
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019785068628411493,0.3784065039036467,0.0012315323176382872,0.008259419239004898
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019124117106645096,0.0910620516521516,0.0008723738265511406,0.006187335724756159
37,sett_model,sett_scale,,,,,,,,0.0019005802171901454,0.004931772213573439,0.0009688084629656414,0.0017372701103647089
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0018999199201563581,0.8809386047378907,0.000886026804015095,0.0157848795265904
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0018848571727735435,0.0880146307630342,0.001398095318154768,0.005663517797641375
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0018787585478601437,0.09248697098173149,0.0006591613606785825,0.005139490346334187
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0017835100972321304,0.7679368138840639,0.001026959047844388,0.014217904325710046
6,sett_preprocess_income,,,,,,,,,0.0017729517450411594,0.0017729517450411594,0.0008370467924283044,0.0008370467924283044
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001756662213349589,0.10788009390050127,0.0007610464993986367,0.007503841870429557
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0017544044057490999,0.014098699608307121,0.0009474605079803374,0.004368719068396726
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0016596592585940663,0.3855926136124288,0.0010421224186647395,0.008642786490874799
42,sett_preprocess_income,sett_scale,,,,,,,,0.0016171222836687416,0.005812385617329189,0.0011841418331095242,0.0023001923325315357
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016117522191284222,0.01843209215408415,0.0008568615555210081,0.004899873455377682
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015727234246222315,0.38349315149103236,0.0007454869345483476,0.008093184384858877
