,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3730010411031431,0.3730010411031431,0.007723677168043813,0.007723677168043813
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3058548031621769,0.760678280545491,0.00947638163967044,0.014677065865311756
0,sett_cutoff,,,,,,,,,0.08182243628017112,0.08182243628017112,0.005216496303089241,0.005216496303089241
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008434194502555361,0.7773476848808453,0.0023730559823406925,0.01455930443943574
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0046442059632008925,0.08869328366204422,0.0011945063808968166,0.005466574363581015
36,sett_model,sett_preprocess_income,,,,,,,,0.004310004039490917,0.007461068167156163,0.0013284725875317845,0.0016099089770638456
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004242650679479348,0.10201510362012361,0.0009484994524151229,0.00510928735790967
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004009539172008657,0.796157551290787,0.001811675729512369,0.016804028511731087
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0039021789692647575,0.8042744144736196,0.0009293586088726984,0.013441949248723798
12,sett_cutoff,sett_model,,,,,,,,0.003844742530116082,0.08659160151928022,0.0012357882467921699,0.005569762237322279
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003551567547017759,0.11824537076652725,0.0011620127116480875,0.005301922339406695
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034709603523943406,0.7732762175341683,0.0011961378215703436,0.014250099272177713
38,sett_model,sett_stratify_split,,,,,,,,0.003466044593689737,0.3773915084058258,0.0016944783364213837,0.007820847165777706
2,sett_exclude_features,,,,,,,,,0.003224109079012832,0.003224109079012832,0.0008783394005846126,0.0008783394005846126
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0031451063068141947,0.7937040978222323,0.0015988243031958703,0.013924447571524194
25,sett_exclude_features,sett_model,,,,,,,,0.0029607263674119506,0.007109258155417811,0.0012359691094543889,0.0017071752354190532
3,sett_exclude_subgroups,,,,,,,,,0.002719202016634447,0.002719202016634447,0.0008855516107722348,0.0008855516107722348
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002459719060076869,0.8251937053277826,0.0008820995093011968,0.018131379997791297
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002442108992173998,0.7693062572540552,0.0007436717892329682,0.015065537450643988
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00236898452451283,0.09593198656232999,0.0008175214465373043,0.004960932651946388
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002355534460003141,0.7849338979678571,0.0007778913784609583,0.01492168074571654
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0023027734424287192,0.01608991616035846,0.0008444250027254788,0.003372364501031653
7,sett_scale,,,,,,,,,0.0022867116316765777,0.0022867116316765777,0.0006410980852384461,0.0006410980852384461
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002256129254409686,0.377483811776225,0.0007986384402405291,0.007758436776049289
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022533683091292027,0.8305354756182637,0.0009216274582454813,0.012121909791197316
6,sett_preprocess_income,,,,,,,,,0.002226641418672219,0.002226641418672219,0.0007737488113208105,0.0007737488113208105
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00217848522774689,0.7696391214013083,0.00044352014372510656,0.014001352439543615
42,sett_preprocess_income,sett_scale,,,,,,,,0.002077697548853956,0.006591050599202752,0.0008520569747916748,0.0014993825372876597
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020733286905272653,0.8286747929013086,0.0008701355684349028,0.013581011436173374
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0020561495045232255,0.08659778780132879,0.0009012098135180166,0.004907301445267302
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0020153160600372925,0.7865905621678296,0.0008215205428408202,0.013124028437570765
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002007004106912699,0.37772724722669027,0.0006656646263526281,0.0075212752996634
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.001981378445867858,0.387431171738496,0.0008613873284376421,0.009384650843246798
37,sett_model,sett_scale,,,,,,,,0.001961665370243043,0.005172799710912649,0.0007220611531946035,0.001423124167061234
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018739589158622012,0.38805824203426087,0.0004772257898241245,0.007988731263065848
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018734494403775041,0.37809859962253345,0.0009599675322459761,0.008331065678853191
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00182740791671174,0.831004863508053,0.0009189884196625679,0.016416338659174957
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017240745204504348,0.3849755709535634,0.0007541455377893207,0.007462334201316229
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.001717649581207712,0.007660960676854992,0.000782125787906683,0.0016609275623563362
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0016279672936134618,0.8093962200516618,0.0007538130960802056,0.014573777754579227
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0015335105761867308,0.783702168405131,0.0005157962384844017,0.014034709503121153
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.001503149281015556,0.816680785190125,0.0006447608956723361,0.0139757560967193
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0014221770481085457,0.11297268987827119,0.0005916155501182468,0.005014642665946042
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0014167609907353358,0.7856005254530383,0.0007707561066583724,0.014491400302439268
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014157997123814597,0.8773811186902749,0.0004730359446842543,0.01837325611949522
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.001392609354565176,0.09389334429874302,0.0005122491496706402,0.0055815363456291536
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013746379389206777,0.40048585192795966,0.00048453678172771553,0.009544709040780424
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0013551990786790915,0.38589765440596735,0.000605636359555187,0.008075203270720248
