,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36689476848210356,0.36689476848210356,0.007220592198113713,0.007220592198113713
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3078416593778194,0.7601985747416367,0.015148813388929263,0.019168607193820766
0,sett_cutoff,,,,,,,,,0.08546214688171369,0.08546214688171369,0.004215747446488481,0.004215747446488481
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007569276865609393,0.7769306111394347,0.002811665469899586,0.018000587252828094
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005178207118021187,0.10841268110377844,0.0010779338992031428,0.005683947527008426
2,sett_exclude_features,,,,,,,,,0.005167286884055588,0.005167286884055588,0.001581037733725753,0.001581037733725753
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004847557781156404,0.8000241731144776,0.0023070450507251287,0.01876546948882016
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0047794393292205995,0.09376638304785298,0.0015976150483980576,0.004438509434808337
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004597000649562218,0.13050304513493285,0.0014731490025794633,0.0076763527065273505
36,sett_model,sett_preprocess_income,,,,,,,,0.004273362000285796,0.009197358679052296,0.0010492409900202504,0.001744216016772894
38,sett_model,sett_stratify_split,,,,,,,,0.003968030594570104,0.37226199891852146,0.0014714307899956237,0.006712599099661872
12,sett_cutoff,sett_model,,,,,,,,0.003795529095770672,0.09065687581933218,0.0007575961118989652,0.004579569865203786
7,sett_scale,,,,,,,,,0.003781113373743159,0.003781113373743159,0.000769595758863509,0.000769595758863509
6,sett_preprocess_income,,,,,,,,,0.0035247968369186864,0.0035247968369186864,0.0009304876598322274,0.0009304876598322274
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034910085136355636,0.10465506592798335,0.001054309566979572,0.0054552417256651395
25,sett_exclude_features,sett_model,,,,,,,,0.0032910638779336545,0.009857550603837056,0.0012098568660456233,0.0023621037081284733
42,sett_preprocess_income,sett_scale,,,,,,,,0.00310977658330681,0.010415686793968655,0.0009360456603337011,0.0020125256735966032
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0030908552373815476,0.7683295349316792,0.0006837971918770841,0.0192894329448762
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0028346040616998164,0.8029808588332086,0.0009248054104279084,0.018063816530670525
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0027410552625644594,0.021352568811274522,0.0010575928455397192,0.003536672852088376
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002565223711912243,0.7916636662384581,0.0008380356666075656,0.018024920293319403
37,sett_model,sett_scale,,,,,,,,0.0025232649126077995,0.007703578128198771,0.0008260530047288065,0.0011813331122288552
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002509060635004259,0.7711545058291942,0.0006526518169888848,0.019726968514189498
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0024347398007804563,0.7723848368998538,0.0008203034543660688,0.0188100674652582
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002418885382324222,0.828124640431082,0.000882821127301828,0.01888979575059658
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0023021168179017523,0.8348559523304268,0.0008148819072161051,0.016564285773706302
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002217526516053968,0.3850448778846124,0.0008201336366674755,0.006881223584512909
3,sett_exclude_subgroups,,,,,,,,,0.002185603953528164,0.002185603953528164,0.0005020175343913532,0.0005020175343913532
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002169646385823137,0.00952253722340689,0.0006649572500027743,0.002331791660471187
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002107001688047728,0.3741690570542069,0.0006749298262541424,0.0076939973646019495
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.002045204321976171,0.7895817213789074,0.0006371345184164227,0.017394437184860827
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0018638694714586668,0.08951162030670053,0.00041696622434133176,0.003930824427805254
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0018630272529195086,0.7861157952299809,0.0004828725735995574,0.019728963683237146
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017814827123413244,0.10206929117411274,0.0008463042753528826,0.005217482194309868
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016377533095045292,0.7872010701714105,0.0007446811318185765,0.01787701385317525
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016136823059066355,0.39740574758765324,0.0005471575325826809,0.006766673710667936
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015778123555499424,0.3830852563025734,0.0005639299280512271,0.0062127534529541695
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014667617328281645,0.3782052905984566,0.0005496937305795253,0.006387872906475993
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014472861912975003,0.37186685151031973,0.0007016922917358875,0.007073284871447599
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0014169680179667826,0.8115479514046634,0.0006143158584541995,0.01738360494964807
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0014053856855850743,0.38092032460681746,0.00043570591199121366,0.007563780128220844
4,sett_model,,,,,,,,,0.0013991998418478127,0.0013991998418478127,0.0006402621365288965,0.0006402621365288965
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001392269886416398,0.09941340534344564,0.0004851804888523698,0.004203822217452425
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013494584226187109,0.8241575584689763,0.0004221509704879108,0.018466910214791986
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.001340360326289578,0.09880839884141755,0.0006978863629907017,0.004859935604376925
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0013175790393722044,0.8613656799979141,0.0005489547081832998,0.01701544079212534
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0013002944659045695,0.004885098261280547,0.0004734687611436372,0.0011020149370509543
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012873222083721928,0.8314706450084721,0.0007425458213400634,0.01922984463183126
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0012756516728152,0.11475530565418554,0.0004999680133772036,0.0055892892741146415
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0012743489270302263,0.8189152741534345,0.0006587280353639004,0.017003250898257664
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0012698149983358322,0.09727645870855942,0.0003432016487587755,0.004434653217937957
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.001259828875561482,0.7819578794318951,0.0005756369681751888,0.018025687667777304
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0012288636457908426,0.016741959054883772,0.0004467999446504398,0.003541813552200599
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0012040927307764558,0.783531857206649,0.000356037795007949,0.019042484358834644
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0011978789065954943,0.8017627253767343,0.0005871245709091387,0.019233373483042094
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.001176793843715762,0.777048632450569,0.0011664866651254796,0.019032274472683745
10,sett_cutoff,sett_exclude_features,,,,,,,,0.00117258188045,0.09180201564621929,0.0006639134263344491,0.0041484389118965756
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011437313162103728,0.8093537630703649,0.0005073277738898455,0.018585799418055677
44,sett_scale,sett_stratify_split,,,,,,,,0.0010136685281456868,0.37168955038399243,0.000459736261382466,0.007287316003500409
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001007660537792163,0.8709560990114495,0.0004708992458396042,0.020046043395561174
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00100427009877669,0.8129946416068493,0.00042814891295529057,0.018931323768286996
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0009906315276742002,0.37007100396330594,0.00033699763679276697,0.007127018505747852
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0009887660234685458,0.7856420475392778,0.0005614701352892067,0.01920291020235359
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0009576727687477833,0.38966850273120934,0.00047389419550394917,0.0070944101733173
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0009521949232495018,0.7802529536329027,0.0006299132090323999,0.019352260969936995
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0009327224688405636,0.7776744190332445,0.0002673291104266805,0.019078749173746776
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.000930961231327383,0.3981783037876435,0.0004318374626427407,0.0073497667829168145
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009228712862397275,0.8008936655684012,0.0003489361296289262,0.018123367823124615
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0009069346973435508,0.7623229274772858,0.0004202081798876364,0.019025221199027168
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0009059787191471479,0.8059774128382325,0.00029035697031619276,0.019185071452468092
