,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3647482164216431,0.3647482164216431,0.010250575842974079,0.010250575842974079
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29916887684656474,0.7466216147989431,0.014135775394043615,0.017533843241134103
0,sett_cutoff,,,,,,,,,0.08270452153073517,0.08270452153073517,0.00460236813543939,0.00460236813543939
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006492550278604207,0.7606263159937006,0.0013972107773513336,0.015950693758191647
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005321739834042695,0.0902843317902397,0.0012102655186198262,0.0047235617419854005
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005106680580988782,0.10473477126549356,0.0018300067696138329,0.006154934336440186
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004571065112243646,0.7594003264902035,0.0011679803777035556,0.017083420987015756
3,sett_exclude_subgroups,,,,,,,,,0.004416305284168063,0.004416305284168063,0.0008891410020563084,0.0008891410020563084
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004341076363474449,0.7813210901853781,0.00198027570957533,0.01574463763068298
36,sett_model,sett_preprocess_income,,,,,,,,0.004295889651630695,0.007604616533227828,0.0016583459169761325,0.0019803025852839985
12,sett_cutoff,sett_model,,,,,,,,0.003997212786499091,0.08775239077336956,0.001050882520220345,0.005219715356123747
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037860458796693183,0.759993246341341,0.0013078478634864262,0.018186550365332597
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003767173076406657,0.7892031274339852,0.0012379311130020344,0.015855182640782922
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0035112120130446354,0.12148252788113782,0.0019171605564630996,0.011253912844835899
2,sett_exclude_features,,,,,,,,,0.0035103046482663327,0.0035103046482663327,0.00115571323767231,0.00115571323767231
25,sett_exclude_features,sett_model,,,,,,,,0.003154931589536442,0.007715892693938079,0.0012989794643802103,0.0019648178471306167
