,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37344146231385833,0.37344146231385833,0.007073017659554746,0.007073017659554746
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30944846278900756,0.7634973969977419,0.009576982430720273,0.014513132058072444
0,sett_cutoff,,,,,,,,,0.08060747189487594,0.08060747189487594,0.004586776574235635,0.004586776574235635
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006074505142971762,0.10347757574201497,0.0019477306130914122,0.005229596829346912
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.005701261261041585,0.7755427925874335,0.0014726702049486793,0.015133353311971676
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0050700067402361946,0.08927459784400506,0.0017367900577009078,0.0041260685499769885
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004239063050135679,0.8070788411064326,0.0014630080791931026,0.015215345680172136
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004231873443365612,0.7789009783333115,0.0024806364038759267,0.012487351265694481
2,sett_exclude_features,,,,,,,,,0.004160211388379836,0.004160211388379836,0.0010221594496362333,0.0010221594496362333
36,sett_model,sett_preprocess_income,,,,,,,,0.0040669588092435574,0.008713083666715124,0.000860621301732763,0.0013345293741658679
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004042633650122578,0.7957680996001191,0.0020388839095230355,0.016395411201345092
6,sett_preprocess_income,,,,,,,,,0.0035971192088929188,0.0035971192088929188,0.001161401018644134,0.001161401018644134
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0035756772874080372,0.12098400876776852,0.0014246210014167058,0.009100219308398737
12,sett_cutoff,sett_model,,,,,,,,0.0030125082972159403,0.08466898584067054,0.0011092785609390318,0.004538342338390502
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002903364145236073,0.7736641949935084,0.0007717710163281567,0.014235282140112618
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0029011115252158158,0.7714781741252386,0.0007546654034632135,0.014660909361224592
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0026743811494332973,0.789221881591531,0.0008836547276732117,0.01539999256039566
25,sett_exclude_features,sett_model,,,,,,,,0.0026574480255595295,0.007866665062518013,0.0015122113752325634,0.0022992326912353155
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0026485198270842147,0.0972485162023532,0.0014426431499987187,0.0055193233009489945
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002617811343099627,0.01799757590495054,0.0011956395105951906,0.003897660833148001
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002504581943074958,0.3795431634658262,0.0013401935997223748,0.007577703729348943
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0024507417631597253,0.3879857448261879,0.0011878946187217148,0.006713807930404051
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0024402333110540046,0.836974802286347,0.001032826243361295,0.013792001822218227
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002362376175590223,0.8226361234541639,0.0006969617180500855,0.01827066172218251
38,sett_model,sett_stratify_split,,,,,,,,0.0022826203828555003,0.37677308834529244,0.0011000550505926635,0.0069918946799446225
7,sett_scale,,,,,,,,,0.0022470561431389997,0.0022470561431389997,0.001000285504410829,0.001000285504410829
37,sett_model,sett_scale,,,,,,,,0.0022439645337011547,0.005540026325418804,0.0010167610422267053,0.0015972832637157193
3,sett_exclude_subgroups,,,,,,,,,0.0022163488769619214,0.0022163488769619214,0.0007572396894165762,0.0007572396894165762
42,sett_preprocess_income,sett_scale,,,,,,,,0.0021756602182956336,0.008019835570327552,0.001044569855196603,0.002367046228383762
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002094230037461552,0.7889343977629095,0.0006405049896800403,0.014841996772915152
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019442553037963346,0.3795459290060345,0.0009372395310231903,0.0066687860258089395
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0018845100330149868,0.79070370912112,0.0011338390497953738,0.013089054419604123
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.001764051374074548,0.7932767684018847,0.0007683388891488973,0.010939642592181359
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001751940181078434,0.38869368848758235,0.000716246210763685,0.007542453506339696
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0017383929270662311,0.008114953192407987,0.0007810654734048295,0.0016421244552330054
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0017342231258395033,0.8321256386988968,0.0007722904046702841,0.018186220654743627
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0016875847401259863,0.08451140551196384,0.0005666258845099369,0.0046346768446469955
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0016785627648648323,0.8162336536371398,0.0007206536455763542,0.012544448263030195
