,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3673438113360644,0.3673438113360644,0.011638735256265288,0.011638735256265288
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29459409174176926,0.743921852667043,0.011201787664708907,0.01973438653490892
0,sett_cutoff,,,,,,,,,0.08198394958920933,0.08198394958920933,0.006265721520233177,0.006265721520233177
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009052168975274728,0.7616409158369767,0.0021876764931445148,0.021511273717398735
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006789097548269802,0.7926641496838731,0.0019321293516112183,0.017610975006768153
2,sett_exclude_features,,,,,,,,,0.006480851884335786,0.006480851884335786,0.0011659676126874767,0.0011659676126874767
25,sett_exclude_features,sett_model,,,,,,,,0.004907332149374616,0.012189607005756286,0.0015641412328600377,0.002083864201351805
38,sett_model,sett_stratify_split,,,,,,,,0.004518789101693304,0.3726640234098036,0.0014878749706073518,0.011786264278439634
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004394176725689973,0.08892049415817427,0.001113367784762346,0.006674435067830105
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.004388663595415173,0.8346143655415073,0.001207490129677561,0.0157200878749757
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004205316535509492,0.7583294302366377,0.002609300045994387,0.018131434860897456
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003997420726166332,0.7821542051160643,0.0010629825626127477,0.020776940499950103
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003995802863696617,0.7567283970701603,0.0012585939230548506,0.01954348183337969
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0036660571827733506,0.7806869444742608,0.0008086275574640129,0.01715140856668038
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0036472915556924257,0.09976998456574482,0.0014755245451172593,0.008237991697521171
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0036355054655168007,0.7549427266824642,0.001151053742660151,0.019602073682246406
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0034011548357287145,0.786293817195327,0.0012946642107740877,0.02113657137697794
3,sett_exclude_subgroups,,,,,,,,,0.00339551411453604,0.00339551411453604,0.0007235507110789622,0.0007235507110789622
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003387866886251449,0.013264232885123276,0.0010398689215573669,0.00242567178909874
12,sett_cutoff,sett_model,,,,,,,,0.003346682120919805,0.08613205468217501,0.0012473490370791798,0.006759470999557261
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033219059037438332,0.390139631270019,0.0008430179316095204,0.010520548183600481
36,sett_model,sett_preprocess_income,,,,,,,,0.00305409375891243,0.006397884574233286,0.001138945003594436,0.001346843302179647
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002765517922761159,0.37659018114316134,0.0008533412679143235,0.011439812458339743
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0027400118101339474,0.09628783840861044,0.001144885482532248,0.007173761623137706
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0026511963209420743,0.11385001523670633,0.0012574890113917106,0.010578978531376808
6,sett_preprocess_income,,,,,,,,,0.0025423678432749727,0.0025423678432749727,0.0007703039843453258,0.0007703039843453258
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0024971246533618662,0.3879788869068236,0.0005687858582074162,0.010958841660940494
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002307308174071839,0.40952902382542866,0.0008528704849717939,0.009831387878878422
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0021978610892226754,0.8269457551593838,0.0008677751278621667,0.015379396186576964
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0021668321673159407,0.3821091516457827,0.0006947095909154542,0.011303045750654375
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0021082001095128165,0.37284752556011325,0.0004944192910641948,0.011518922556410231
7,sett_scale,,,,,,,,,0.0020752289115455996,0.0020752289115455996,0.0008117004849144432,0.0008117004849144432
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001891366678846765,0.7677961541968354,0.0006745039028664185,0.019704651357151753
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001881654325855598,0.08726111802960096,0.0005717128237118259,0.006140271366454516
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0018741969704557204,0.3717603761497951,0.000752663971210012,0.011285520335173334
42,sett_preprocess_income,sett_scale,,,,,,,,0.0018186282480512539,0.006436225002871826,0.0007922983292088544,0.0015155900180787649
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001785591499815156,0.09987131952699166,0.0004782065169422207,0.006279011376660422
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001774581844614296,0.005971518931196219,0.0007574684854658089,0.001092212462613888
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001751964605745378,0.022499534456903447,0.0007784462995402397,0.004076843561560471
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001743816804899359,0.38187849878734614,0.0006904152969338746,0.011186963441743743
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017319005162986399,0.775616258774575,0.0007761149905587753,0.017033811156909974
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0017073810062645867,0.8081545205928873,0.0006946195234102545,0.021599400545987343
37,sett_model,sett_scale,,,,,,,,0.001681552312612243,0.004558204196203727,0.0007496895418308028,0.0016781939125277518
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0016523499811124385,0.1172565544022871,0.0005088982414808663,0.00835256916391567
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0016220102545639703,0.013595304301006353,0.0007301551221041613,0.0032164811132625224
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0015973206759133242,0.10007345061878703,0.0004680764709290437,0.007010845499816064
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0015535805255697008,0.09473738549275065,0.0005316286341864558,0.006896095091354596
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015338405195508978,0.8135684614985367,0.00037698876344830374,0.0198130302655355
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0014679182737170505,0.7671263397334105,0.0006008998309844245,0.021646797229412592
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0014535069594248792,0.804442538918393,0.0005985248357381156,0.015471341043505716
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001399163930746578,0.8825377430455756,0.0005159775229096964,0.013292064949797101
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013832269673382499,0.8033526006219092,0.0005888239017630283,0.01758363495740458
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0013643640609511298,0.7708324792822683,0.0005312337677299818,0.019051413089547713
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011939435827907833,0.4029876941190523,0.0006529365772054994,0.0097078545028396
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0011768769447428524,0.11706823357828751,0.0004351927619371962,0.008580807509561082
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0011481458529178454,0.38286665148000776,0.0007495106400169855,0.010965599875755582
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011481145210319402,0.8545731478343144,0.0004626690416394002,0.0176985216287615
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011332380948948844,0.7966528160993785,0.00048502186240917075,0.021866575412994686
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.001059453524306217,0.7461635108462396,0.0004156451951220252,0.019685970109916
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010540317103764599,0.7920600789635032,0.00045323715879763205,0.02185429393646123
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.001039305184557021,0.7847868081710945,0.0006001922063108065,0.017715144117120017
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0010238337318546431,0.7892271284577381,0.00038470948106581284,0.017535167580364917
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0010206348797404015,0.7652150384624736,0.000694372571786639,0.017927887947283234
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0010146063838438232,0.7613416374132554,0.0006098737780608074,0.019943394472501583
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0010135854903100473,0.8062322459460982,0.0007193483632660767,0.0161825289937013
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.000999671945938794,0.7927028080863122,0.00041044688849387403,0.016715665047901625
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009852193337185045,0.858561336008504,0.00045158873357347865,0.013636542872028578
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009558912269882983,0.0894206927005334,0.0003375390371055663,0.0062270255554696475
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0009484795819268434,0.7591415854811652,0.0004107611131967458,0.019955684624700536
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0009179593964867195,0.3917633654722579,0.0004588404866423609,0.011274304036794256
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009073029231183657,0.39373901333943306,0.00034916129306834337,0.01047088454948624
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0009040649708320365,0.7627058687851376,0.0003478278754854849,0.017923319850624078
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0008884780954056617,0.0979574750351019,0.00051366812204628,0.006587967561874755
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008875295121926625,0.8469601648709426,0.00028489397267670495,0.01686745942434242
