,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36507191459222577,0.36507191459222577,0.008120629251203404,0.008120629251203404
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3051050705215493,0.7520216692984758,0.011375965383616505,0.015692247064823892
0,sett_cutoff,,,,,,,,,0.08184468418470064,0.08184468418470064,0.005702165797973988,0.005702165797973988
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007127506523695159,0.7667610518913734,0.0012564888220587891,0.01613685462009539
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005607905112325664,0.10371493432526666,0.001546077158101853,0.006592135455483439
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0053931552708794805,0.7919394046766104,0.002456520280868374,0.01748221335082518
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004717751478632255,0.08975185361134325,0.0013471199491137656,0.006300639241383563
2,sett_exclude_features,,,,,,,,,0.004669706930158437,0.004669706930158437,0.0010466845721818178,0.0010466845721818178
25,sett_exclude_features,sett_model,,,,,,,,0.0045247166035375245,0.009989276238828674,0.002283160110516395,0.0023552026254261976
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004083367263003864,0.7654161049984917,0.002788055665605427,0.015206092267207942
36,sett_model,sett_preprocess_income,,,,,,,,0.003913775370573653,0.007898046023716715,0.001246209716638944,0.0017007696188964382
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003908423202972433,0.7951121083472978,0.0012807209848584983,0.0155750515886739
42,sett_preprocess_income,sett_scale,,,,,,,,0.003839299169094942,0.010195558715651672,0.0015351214225844344,0.003292175426122731
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003742161679417428,0.12427322190419679,0.0012628829969387675,0.010820078662596525
12,sett_cutoff,sett_model,,,,,,,,0.0036465475258913734,0.08628608441572472,0.0007662474842846618,0.005737809674174641
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0033466466954982263,0.824308160874365,0.001350625864287616,0.020054024392812467
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0032933871643374066,0.783247137614969,0.0011785949503084322,0.016035323366624485
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031897399307086044,0.38306015946100913,0.0012310077338920362,0.009508100689859075
6,sett_preprocess_income,,,,,,,,,0.0031894179480103516,0.0031894179480103516,0.001379483509060342,0.001379483509060342
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0031769812484340075,0.10064587541462927,0.0012238796003404514,0.008161595053454844
38,sett_model,sett_stratify_split,,,,,,,,0.003170475838178404,0.36903724313553693,0.0010007034544721916,0.008621188460512234
7,sett_scale,,,,,,,,,0.0031668415985463784,0.0031668415985463784,0.0011030843845886648,0.0011030843845886648
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003163508176636369,0.7627280769085496,0.0011565187276545463,0.016494501118529604
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0028691052976786164,0.7610505209260305,0.0010460153153334989,0.014722993518245703
3,sett_exclude_subgroups,,,,,,,,,0.0028467016614439396,0.0028467016614439396,0.0005031972860358788,0.0005031972860358788
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0026534597153764616,0.019516264316647984,0.0012247050888445946,0.004219828045921406
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002624926086379999,0.010141334677982377,0.0009349621797186148,0.00179226546256915
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0022890134242959425,0.7795738438111386,0.0007831261412680234,0.015196234547098193
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0020171721710984707,0.08670855801724305,0.0010479336522268925,0.005260480249484894
37,sett_model,sett_scale,,,,,,,,0.001958617809913487,0.005920312113592577,0.0007505162167632988,0.0016525474295111158
