,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3632279003450243,0.3632279003450243,0.005966952029609717,0.005966952029609717
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2950121487984618,0.7377755941028132,0.012329204750081162,0.01719551966986742
0,sett_cutoff,,,,,,,,,0.07953554495932716,0.07953554495932716,0.005156179261766597,0.005156179261766597
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007347079246072817,0.7524016361141205,0.0018377784698648777,0.01892599948878493
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0058314705165479885,0.7792548426843476,0.0020226433422982568,0.0175478928257974
2,sett_exclude_features,,,,,,,,,0.005215956137187271,0.005215956137187271,0.0012778872078382916,0.0012778872078382916
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005161830795964487,0.7802544247669743,0.0016969338359127755,0.01926183934624017
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004680766784050313,0.08628717312350193,0.001029006141133999,0.005662494681720066
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004212013350992901,0.7497934042533847,0.0020474176214400363,0.015943556195112812
25,sett_exclude_features,sett_model,,,,,,,,0.0040995480950096926,0.010678349257563318,0.0015145836096099865,0.002292107062267368
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004059582320040403,0.7509843473609328,0.0017140652043713485,0.017434442886629934
36,sett_model,sett_preprocess_income,,,,,,,,0.003810935815171384,0.007244642220662184,0.001545932503301686,0.0015328890336326264
12,sett_cutoff,sett_model,,,,,,,,0.003697046869517958,0.08459543685421148,0.0009131551368929774,0.005253029562932542
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00358066588147851,0.8202279464773359,0.0011898873664576515,0.019420440273273734
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00342672286369918,0.0985847236972568,0.0012707767719225673,0.005435175095491288
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003376560809266323,0.7733773587783024,0.0013339217624658728,0.014866226167676688
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033289996310799748,0.7495760980544491,0.0015860518695863161,0.01551366779447864
3,sett_exclude_subgroups,,,,,,,,,0.0033120146728314037,0.0033120146728314037,0.0008985930844137787,0.0008985930844137787
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003257439897672309,0.011785410707690982,0.001265415813296013,0.0027768413029786543
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031812551477353418,0.38175802778932677,0.001129869391229409,0.005650172891797892
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002953312687076746,0.7720231100024814,0.0011218700820860388,0.018298303079579893
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0028827245160554975,0.1129998970822429,0.0017599544193884875,0.008207821660589443
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0026243346131496837,0.3824563458753034,0.0010405355524060198,0.004607278524314797
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002525115253193609,0.09677670102088898,0.000991147153694115,0.003952138129307802
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002451452168653698,0.37089530865086523,0.0013217944954860641,0.004841583939937076
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002428662554945665,0.8097495143910342,0.0010227025582479575,0.01811106673307782
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0023975427739044083,0.3676963044990531,0.0008810331760860682,0.006425095392123539
42,sett_preprocess_income,sett_scale,,,,,,,,0.0023739633587518414,0.006445409653693652,0.0010869617208729655,0.002075039899751601
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0023672480407847685,0.36890716305864046,0.0009385702569225851,0.00555024846421396
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022880455849530234,0.40064905828185193,0.0011011087860360188,0.00742032565286955
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0022445459198990464,0.3773337021298401,0.0009303376801223712,0.006165922770889495
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00223158870382726,0.09337697841965763,0.0011175525282826747,0.006237322061685778
38,sett_model,sett_stratify_split,,,,,,,,0.002219070870350101,0.3668098162407407,0.0012574798465470826,0.006214407110997022
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022153956999439884,0.8175137628516183,0.0011680151759512584,0.018024176457249668
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0021265340859623993,0.08497409371812097,0.0006643964951209059,0.004437441066737655
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0021160315031857418,0.7626924096434688,0.001333321524692597,0.018625459546770067
6,sett_preprocess_income,,,,,,,,,0.002070861380124444,0.002070861380124444,0.0008357839822278664,0.0008357839822278664
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0020373271439799922,0.01517408518353217,0.001380871871145785,0.0047698405283466295
7,sett_scale,,,,,,,,,0.0020005849148173665,0.0020005849148173665,0.0007189139086587395,0.0007189139086587395
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0019817345467749523,0.767721178788223,0.0007929727580523553,0.015202922754371557
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019404288592982776,0.09665546596042153,0.0007420537065043737,0.0054261214142973056
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0019263273255468742,0.8775348222745802,0.000703720788079408,0.01934976289677487
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0018946800904068048,0.800318605286847,0.0006402982821930988,0.013947189685785594
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.001890653150679207,0.7672243375793951,0.0008257650331823534,0.015607023613514157
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018564431866470352,0.803669271375629,0.0006816461470598811,0.02159336760097454
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001855754023276293,0.11452906021899142,0.0005322358912879446,0.005787425760134336
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0018437138416376184,0.02059242294448461,0.0008897999629554545,0.004328424467265276
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016973285667164048,0.37568731279585327,0.0005659796860616595,0.005854613416148467
37,sett_model,sett_scale,,,,,,,,0.0015175675453207838,0.004880997485504508,0.0013030543648990787,0.0016505105973877569
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015009052747799617,0.006175764972977722,0.0004977930183994809,0.0010326238942978795
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0014521172092162918,0.09298700809700153,0.0004817480827521918,0.004453563577244477
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0013818370097073728,0.389815700105687,0.00042598278522422786,0.006109380298866051
4,sett_model,,,,,,,,,0.0013628450253663567,0.0013628450253663567,0.0007026573710807783,0.0007026573710807783
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013269050637623324,0.7835236640916495,0.0005534514977451928,0.01961535516660834
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.001265055422442994,0.1145891609084887,0.0006039219772019853,0.005940739181997641
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0012541968415906188,0.396312248408647,0.0005368373896539249,0.006473688576524921
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0012469807211884746,0.7580382988058685,0.0004742328826900631,0.01958697212305627
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001228002424089243,0.7554474707144214,0.0008451427289636422,0.016048079869353384
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0012161343103850174,0.7899480637432511,0.0005628085201479703,0.018685226804704764
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0012112176536788108,0.7563555459650089,0.0007709235422698588,0.01768001072955428
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011994645082400984,0.842411579430018,0.0005732725611564992,0.02172870625820278
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0011972349892048423,0.7840530213126966,0.0004880710540810763,0.014868190610554517
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011651209174424063,0.7913753871297862,0.0006083853679059554,0.01977511647687051
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011369984772520774,0.7781524822678794,0.0007220663770725248,0.015516047719296431
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0011289919422539222,0.7420354149847468,0.0008643685739573668,0.01694510412081729
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001117167108102433,0.11010001646745408,0.0005202925320785192,0.004617453623014238
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0010915644111408464,0.39212295747492243,0.00039328331858741255,0.005239968912985204
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0010632287247946564,0.13887244484523625,0.000354605280251994,0.006448618543979198
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.001048741492959572,0.37487446262864355,0.0003011378227953827,0.005920908292392192
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0010305854927596253,0.008317403010071339,0.0006380822351357879,0.0017688372030257038
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010231000959418251,0.7777988305667067,0.0005357164215626609,0.015386348146458376
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0010209754007023503,0.10834305242244163,0.0005013288708495055,0.0041919541501427154
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0010103963210856455,0.3774046946187394,0.0005865445141584364,0.005344954888660028
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0009911500722407545,0.3883543843115286,0.0005425640579592386,0.007631455028175471
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009757999164096528,0.42207690867473047,0.00032126622831438336,0.009039356808011321
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009737436314334038,0.83848076235259,0.0004923716878283212,0.01933006811635252
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0009704215448713726,0.7839848001343402,0.0005494276734117003,0.011955997634366684
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0009561374479005396,0.7406131254387314,0.00037812532722736276,0.017299708476304066
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009476186027913688,0.8319656110208776,0.000526771760548835,0.01913855101037777
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0009306062522935604,0.7546847675834526,0.00036072118894819427,0.015538054965304372
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0009136111150341785,0.09425142188319781,0.0007878165413306077,0.004662558135198396
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.000887748883474112,0.08948500651658299,0.0004928583019849124,0.005050703424708355
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0008673926889632216,0.8409940542708447,0.0004388227860113393,0.014096560008042665
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0008326315012372946,0.09300850730654772,0.0003031847386320764,0.0048714223396956365
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008271429388923404,0.8207747670104837,0.0002669281731058329,0.01310558824038518
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008069673727633902,0.7606005964032496,0.0002543421608274211,0.018691318675424826
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008040960147148203,0.08555559711122925,0.00047768634384403994,0.004500344938469262
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0007478388833744521,0.7841289134370103,0.0004638756886471887,0.01674976768981046
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0007448976845923706,0.7558063793532902,0.0005349635779092224,0.01456777771840244
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0007351560747850439,0.018325888020403816,0.0006777573995228203,0.0034952926127278503
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0007268556056372762,0.3717014000126191,0.0006861260873703007,0.006175971794006699
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0007266578348376698,0.37344408631356296,0.00032377556142618586,0.006487695544944059
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0007237689950528122,0.013231485086341064,0.0003231427410755498,0.0021824573564013378
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0007201579874058248,0.36452253957568737,0.00042032629046238835,0.005976010268193857
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007154211189527204,0.10267282890376385,0.0003650077242028446,0.0052041284961408165
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0006895931587728761,0.3858275732440187,0.0003278711379710311,0.005525148501105982
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0006876636625721196,0.7824052459930558,0.00038766414872961117,0.015312986400089353
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0006860353319110917,0.7558853140771529,0.00047779903969517347,0.014596409480125068
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0006845710294082696,0.09713644769366428,0.0002963352862403943,0.004451988447374048
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0006706151746730579,0.9190630074144319,0.0001922921044723997,0.021493040779061903
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0006695601959178015,0.7912243174301421,0.0003352919509526508,0.015966879643177025
362,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006650984147402949,0.4087200498986566,0.00032558492669234164,0.007670500369098929
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0006606864137084129,0.3798885228869921,0.00027333572136386375,0.005842202761603045
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0006484701398628747,0.08672777116681403,0.0003052875738476259,0.005225015937453298
44,sett_scale,sett_stratify_split,,,,,,,,0.0006465757061028985,0.3658750609659445,0.00026924744960265824,0.005771291172678611
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006429035516692525,0.8404994867955056,0.00031133846586544516,0.018358071737386666
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0006399331242947724,0.1223169852936086,0.0003145535897655274,0.005930286482614801
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0006381663691193036,0.1181762118052042,0.0005508991845968419,0.00437119830380478
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0006349982206436587,0.030615648650666044,0.0003389718569857899,0.005694752323687302
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0006311922117999345,0.37116881247586975,0.00040532147502542805,0.005422213020667753
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006281666672469067,0.37891984822642755,0.0004176569294159541,0.005768617758231761
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006252446441008088,0.38138472879943774,0.00033813917493322074,0.005904258359185174
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0006215225144630487,0.08709267010796201,0.0002611235976067484,0.004198712868979696
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006022928791281397,0.09689783356372123,0.000435157168237889,0.004587966804245853
159,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006004776130263006,0.09788200521672294,0.0003551890735672589,0.004602565636308894
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0005913320782032173,0.1006425704906662,0.00029127748063424616,0.0037017040867665034
226,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0005882966625244982,0.386523237806785,0.00022597598452903008,0.004473458866093069
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0005867546573544734,0.08069678085993892,0.00018465623891912749,0.005033384551448227
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.000581052222650583,0.3690081359661823,0.00026712941181830104,0.006194322064129577
5,sett_preprocess_age,,,,,,,,,0.0005744812432572987,0.0005744812432572987,0.0003093999496747521,0.0003093999496747521
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0005714290677139729,0.12464256088372516,0.0003954054347237063,0.005450399664521421
28,sett_exclude_features,sett_scale,,,,,,,,0.0005698570368307155,0.007786398088835352,0.0003076829363305461,0.0015985892082898702
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0005667658046297601,0.015903777308219513,0.0002662135240105404,0.003175472518870109
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0005581650893984043,0.37303329958291664,0.00027310198684257086,0.004781357121067341
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0005546328624439487,0.782805175267171,0.0003234225927141979,0.01565871284368422
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0005537158968818423,0.1019503801993441,0.0004350758152084722,0.003726748434222131
376,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005474742751381556,0.3977757836823024,0.00032330297896622317,0.005864699108878856
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0005446785060506818,0.847418766223184,0.00033633394308406865,0.018434545253968482
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0005435964751756137,0.12207442697763668,0.0002498210041919377,0.005938041281069968
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0005414118358230355,0.10044985982932975,0.00027811615471722164,0.005409178363810559
